og_coord,closest_coord,dist,avg_dist
"(889.0, 9626.976)","(887.222, 9634.977)",8.196,38.466
"(887.222, 9634.977)","(889.0, 9626.976)",8.196,0.0
"(5169.532, 2539.872)","(5159.753, 2541.65)",9.939,0.0
"(5159.753, 2541.65)","(5169.532, 2539.872)",9.939,0.0
"(3612.894, 4129.403)","(3603.115, 4126.736)",10.136,0.0
"(3603.115, 4126.736)","(3612.894, 4129.403)",10.136,0.0
"(2218.054, 5694.042)","(2218.054, 5704.71)",10.668,0.0
"(2218.054, 5704.71)","(2218.054, 5694.042)",10.668,0.0
"(3679.569, 3975.606)","(3690.237, 3973.828)",10.815,0.0
"(3690.237, 3973.828)","(3679.569, 3975.606)",10.815,0.0
"(2760.344, 4950.838)","(2760.344, 4939.281)",11.557,0.0
"(2760.344, 4939.281)","(2760.344, 4950.838)",11.557,0.0
"(4653.912, 2256.281)","(4659.246, 2266.949)",11.927,0.0
"(4659.246, 2266.949)","(4653.912, 2256.281)",11.927,0.0
"(3796.917, 3823.587)","(3786.249, 3818.253)",11.927,0.0
"(3786.249, 3818.253)","(3796.917, 3823.587)",11.927,0.0
"(3716.018, 5229.984)","(3708.017, 5221.094)",11.96,0.0
"(3708.017, 5221.094)","(3716.018, 5229.984)",11.96,0.0
"(3792.472, 2378.963)","(3803.14, 2372.74)",12.35,0.0
"(3803.14, 2372.74)","(3792.472, 2378.963)",12.35,0.0
"(3730.242, 2907.028)","(3740.91, 2914.14)",12.821,0.0
"(3740.91, 2914.14)","(3730.242, 2907.028)",12.821,0.0
"(2772.79, 4942.837)","(2760.344, 4939.281)",12.944,0.0
"(3301.744, 2724.784)","(3307.967, 2713.227)",13.126,0.0
"(3307.967, 2713.227)","(3301.744, 2724.784)",13.126,0.0
"(3870.704, 4275.199)","(3866.259, 4262.753)",13.216,0.0
"(3866.259, 4262.753)","(3870.704, 4275.199)",13.216,0.0
"(1703.323, 4957.95)","(1708.657, 4945.504)",13.541,0.0
"(1708.657, 4945.504)","(1703.323, 4957.95)",13.541,0.0
"(1267.713, 8691.748)","(1277.492, 8681.969)",13.83,0.0
"(1277.492, 8681.969)","(1267.713, 8691.748)",13.83,0.0
"(2855.466, 5404.228)","(2843.02, 5410.451)",13.915,0.0
"(2843.02, 5410.451)","(2855.466, 5404.228)",13.915,0.0
"(1311.274, 7641.84)","(1303.273, 7630.283)",14.056,0.0
"(1303.273, 7630.283)","(1311.274, 7641.84)",14.056,0.0
"(2868.801, 5399.783)","(2855.466, 5404.228)",14.056,0.0
"(2963.035, 3748.911)","(2976.37, 3743.577)",14.362,0.0
"(2976.37, 3743.577)","(2963.035, 3748.911)",14.362,0.0
"(2930.142, 4132.959)","(2920.363, 4122.291)",14.472,0.0
"(2920.363, 4122.291)","(2930.142, 4132.959)",14.472,0.0
"(3868.926, 4421.884)","(3883.15, 4424.551)",14.472,0.0
"(3883.15, 4424.551)","(3868.926, 4421.884)",14.472,0.0
"(1281.048, 8667.745)","(1277.492, 8681.969)",14.662,0.0
"(2703.448, 5253.987)","(2717.672, 5257.543)",14.662,0.0
"(2717.672, 5257.543)","(2703.448, 5253.987)",14.662,0.0
"(2056.256, 9306.047)","(2062.479, 9292.712)",14.716,0.0
"(2062.479, 9292.712)","(2056.256, 9306.047)",14.716,0.0
"(3890.262, 4080.508)","(3894.707, 4066.284)",14.902,0.0
"(3894.707, 4066.284)","(3890.262, 4080.508)",14.902,0.0
"(1963.8, 6389.24)","(1978.024, 6384.795)",14.902,0.0
"(1978.024, 6384.795)","(1963.8, 6389.24)",14.902,0.0
"(3578.223, 5325.107)","(3592.447, 5320.662)",14.902,0.0
"(3592.447, 5320.662)","(3578.223, 5325.107)",14.902,0.0
"(1175.257, 8736.198)","(1161.033, 8741.532)",15.191,0.0
"(1161.033, 8741.532)","(1175.257, 8736.198)",15.191,0.0
"(3860.036, 4434.33)","(3868.926, 4421.884)",15.295,0.0
"(2897.249, 5435.343)","(2882.136, 5432.676)",15.347,0.0
"(2882.136, 5432.676)","(2897.249, 5435.343)",15.347,0.0
"(969.009, 9214.48)","(975.232, 9228.704)",15.526,0.0
"(975.232, 9228.704)","(969.009, 9214.48)",15.526,0.0
"(1283.715, 9674.982)","(1297.05, 9666.981)",15.551,0.0
"(1297.05, 9666.981)","(1283.715, 9674.982)",15.551,0.0
"(3500.88, 5025.514)","(3499.991, 5009.512)",16.027,0.0
"(3499.991, 5009.512)","(3500.88, 5025.514)",16.027,0.0
"(3863.592, 4246.751)","(3866.259, 4262.753)",16.223,0.0
"(2180.716, 5683.374)","(2196.718, 5680.707)",16.223,0.0
"(2196.718, 5680.707)","(2180.716, 5683.374)",16.223,0.0
"(925.449, 8781.537)","(913.003, 8792.205)",16.392,0.0
"(913.003, 8792.205)","(925.449, 8781.537)",16.392,0.0
"(4124.069, 1300.606)","(4119.624, 1316.608)",16.608,0.0
"(4119.624, 1316.608)","(4124.069, 1300.606)",16.608,0.0
"(3511.548, 4949.949)","(3506.214, 4965.951)",16.868,0.0
"(3506.214, 4965.951)","(3511.548, 4949.949)",16.868,0.0
"(3654.677, 4066.284)","(3637.786, 4066.284)",16.891,0.0
"(3637.786, 4066.284)","(3654.677, 4066.284)",16.891,0.0
"(3757.801, 2913.251)","(3740.91, 2914.14)",16.914,0.0
"(3836.922, 3611.116)","(3838.7, 3628.007)",16.984,0.0
"(3838.7, 3628.007)","(3836.922, 3611.116)",16.984,0.0
"(4705.474, 2467.863)","(4705.474, 2450.083)",17.78,0.0
"(4705.474, 2450.083)","(4705.474, 2467.863)",17.78,0.0
"(1705.101, 4975.73)","(1703.323, 4957.95)",17.869,0.0
"(975.232, 9650.979)","(993.012, 9648.312)",17.979,0.0
"(993.012, 9648.312)","(975.232, 9650.979)",17.979,0.0
"(3506.214, 2860.8)","(3499.991, 2843.909)",18.001,0.0
"(3499.991, 2843.909)","(3506.214, 2860.8)",18.001,0.0
"(4834.379, 1826.005)","(4819.266, 1815.337)",18.499,0.0
"(4819.266, 1815.337)","(4834.379, 1826.005)",18.499,0.0
"(3592.447, 5301.993)","(3592.447, 5320.662)",18.669,0.0
"(4746.368, 2040.254)","(4762.37, 2030.475)",18.753,0.0
"(4762.37, 2030.475)","(4746.368, 2040.254)",18.753,0.0
"(3749.8, 2794.125)","(3765.802, 2803.904)",18.753,0.0
"(3765.802, 2803.904)","(3749.8, 2794.125)",18.753,0.0
"(3733.798, 3952.492)","(3727.575, 3970.272)",18.838,0.0
"(3727.575, 3970.272)","(3733.798, 3952.492)",18.838,0.0
"(1219.707, 9622.531)","(1233.042, 9609.196)",18.859,0.0
"(1233.042, 9609.196)","(1219.707, 9622.531)",18.859,0.0
"(3975.606, 5700.265)","(3987.163, 5685.152)",19.025,0.0
"(3987.163, 5685.152)","(3975.606, 5700.265)",19.025,0.0
"(3835.144, 4065.395)","(3826.254, 4082.286)",19.088,0.0
"(3826.254, 4082.286)","(3835.144, 4065.395)",19.088,0.0
"(2044.699, 9152.25)","(2058.034, 9166.474)",19.497,0.0
"(2058.034, 9166.474)","(2044.699, 9152.25)",19.497,0.0
"(938.783, 9238.483)","(946.784, 9220.703)",19.497,0.0
"(946.784, 9220.703)","(938.783, 9238.483)",19.497,0.0
"(2943.477, 5346.443)","(2953.256, 5329.552)",19.518,0.0
"(2953.256, 5329.552)","(2943.477, 5346.443)",19.518,0.0
"(2392.298, 5063.741)","(2372.74, 5066.408)",19.739,0.0
"(2372.74, 5066.408)","(2392.298, 5063.741)",19.739,0.0
"(3714.24, 2895.471)","(3730.242, 2907.028)",19.739,0.0
"(973.454, 8269.474)","(957.452, 8281.031)",19.739,0.0
"(957.452, 8281.031)","(973.454, 8269.474)",19.739,0.0
"(4585.46, 2251.836)","(4603.24, 2260.726)",19.879,0.0
"(4603.24, 2260.726)","(4585.46, 2251.836)",19.879,0.0
"(3970.272, 3131.945)","(3973.828, 3112.387)",19.879,0.0
"(3973.828, 3112.387)","(3970.272, 3131.945)",19.879,0.0
"(3289.298, 3606.671)","(3280.408, 3624.451)",19.879,0.0
"(3280.408, 3624.451)","(3289.298, 3606.671)",19.879,0.0
"(3842.256, 4443.22)","(3860.036, 4434.33)",19.879,0.0
"(4044.948, 1350.39)","(4063.617, 1357.502)",19.978,0.0
"(4063.617, 1357.502)","(4044.948, 1350.39)",19.978,0.0
"(3860.036, 4292.09)","(3870.704, 4275.199)",19.978,0.0
"(2737.23, 5194.424)","(2756.788, 5189.979)",20.057,0.0
"(2756.788, 5189.979)","(2737.23, 5194.424)",20.057,0.0
"(3787.138, 4052.949)","(3806.696, 4048.504)",20.057,0.0
"(3806.696, 4048.504)","(3787.138, 4052.949)",20.057,0.0
"(3617.339, 4148.961)","(3612.894, 4129.403)",20.057,0.0
"(1071.244, 10021.692)","(1058.798, 10005.69)",20.272,0.0
"(1058.798, 10005.69)","(1071.244, 10021.692)",20.272,0.0
"(4646.8, 2282.951)","(4659.246, 2266.949)",20.272,0.0
"(2154.046, 4947.282)","(2134.488, 4941.948)",20.272,0.0
"(2134.488, 4941.948)","(2154.046, 4947.282)",20.272,0.0
"(1277.492, 9716.765)","(1265.046, 9732.767)",20.272,0.0
"(1265.046, 9732.767)","(1277.492, 9716.765)",20.272,0.0
"(2931.92, 4271.643)","(2922.141, 4253.863)",20.292,0.0
"(2922.141, 4253.863)","(2931.92, 4271.643)",20.292,0.0
"(1946.02, 6437.246)","(1946.02, 6416.799)",20.447,0.0
"(1946.02, 6416.799)","(1946.02, 6437.246)",20.447,0.0
"(975.232, 8355.706)","(975.232, 8335.259)",20.447,0.0
"(975.232, 8335.259)","(975.232, 8355.706)",20.447,0.0
"(3978.273, 4214.747)","(3979.162, 4235.194)",20.466,0.0
"(3979.162, 4235.194)","(3978.273, 4214.747)",20.466,0.0
"(3747.133, 2814.572)","(3749.8, 2794.125)",20.62,0.0
"(3884.928, 4253.863)","(3866.259, 4262.753)",20.678,0.0
"(4987.287, 1895.347)","(4966.84, 1891.791)",20.754,0.0
"(4966.84, 1891.791)","(4987.287, 1895.347)",20.754,0.0
"(917.448, 9622.531)","(901.446, 9609.196)",20.83,0.0
"(901.446, 9609.196)","(917.448, 9622.531)",20.83,0.0
"(4637.021, 2243.835)","(4653.912, 2256.281)",20.981,0.0
"(2971.925, 3804.029)","(2954.145, 3792.472)",21.206,0.0
"(2954.145, 3792.472)","(2971.925, 3804.029)",21.206,0.0
"(2218.054, 5672.706)","(2218.054, 5694.042)",21.336,0.0
"(1962.022, 6451.47)","(1946.02, 6437.246)",21.41,0.0
"(4006.721, 4000.498)","(3987.163, 4009.388)",21.484,0.0
"(3987.163, 4009.388)","(4006.721, 4000.498)",21.484,0.0
"(3765.802, 2760.344)","(3787.138, 2757.677)",21.502,0.0
"(3787.138, 2757.677)","(3765.802, 2760.344)",21.502,0.0
"(2777.235, 4964.173)","(2760.344, 4950.838)",21.52,0.0
"(2915.029, 4233.416)","(2922.141, 4253.863)",21.649,0.0
"(784.987, 9851.004)","(772.541, 9833.224)",21.703,0.0
"(772.541, 9833.224)","(784.987, 9851.004)",21.703,0.0
"(4004.943, 5666.483)","(4000.498, 5645.147)",21.794,0.0
"(4000.498, 5645.147)","(4004.943, 5666.483)",21.794,0.0
"(1139.697, 8745.977)","(1161.033, 8741.532)",21.794,0.0
"(3103.497, 5145.529)","(3083.05, 5153.53)",21.957,0.0
"(3083.05, 5153.53)","(3103.497, 5145.529)",21.957,0.0
"(4761.481, 1799.335)","(4749.924, 1818.004)",21.957,0.0
"(4749.924, 1818.004)","(4761.481, 1799.335)",21.957,0.0
"(3990.719, 3139.946)","(3970.272, 3131.945)",21.957,0.0
"(3884.928, 4142.738)","(3862.703, 4141.849)",22.243,0.0
"(3862.703, 4141.849)","(3884.928, 4142.738)",22.243,0.0
"(3421.759, 2841.242)","(3419.981, 2863.467)",22.296,0.0
"(3419.981, 2863.467)","(3421.759, 2841.242)",22.296,0.0
"(3897.374, 4113.401)","(3917.821, 4122.291)",22.296,0.0
"(3917.821, 4122.291)","(3897.374, 4113.401)",22.296,0.0
"(3926.711, 4374.767)","(3923.155, 4352.542)",22.508,0.0
"(3923.155, 4352.542)","(3926.711, 4374.767)",22.508,0.0
"(4830.823, 1848.23)","(4834.379, 1826.005)",22.508,0.0
"(1603.755, 7518.269)","(1624.202, 7528.048)",22.665,0.0
"(1624.202, 7528.048)","(1603.755, 7518.269)",22.665,0.0
"(1231.264, 9644.756)","(1253.489, 9649.201)",22.665,0.0
"(1253.489, 9649.201)","(1231.264, 9644.756)",22.665,0.0
"(2072.258, 5877.176)","(2050.033, 5882.51)",22.856,0.0
"(2050.033, 5882.51)","(2072.258, 5877.176)",22.856,0.0
"(1036.573, 10000.356)","(1058.798, 10005.69)",22.856,0.0
"(3522.216, 5324.218)","(3511.548, 5303.771)",23.063,0.0
"(3511.548, 5303.771)","(3522.216, 5324.218)",23.063,0.0
"(3748.022, 2949.7)","(3725.797, 2943.477)",23.08,0.0
"(3725.797, 2943.477)","(3748.022, 2949.7)",23.08,0.0
"(1365.503, 8267.696)","(1377.949, 8287.254)",23.182,0.0
"(1377.949, 8287.254)","(1365.503, 8267.696)",23.182,0.0
"(4990.843, 1872.233)","(4987.287, 1895.347)",23.386,0.0
"(1223.263, 9666.981)","(1231.264, 9644.756)",23.621,0.0
"(1135.252, 8082.784)","(1127.251, 8105.009)",23.621,0.0
"(1127.251, 8105.009)","(1135.252, 8082.784)",23.621,0.0
"(4046.726, 2170.048)","(4027.168, 2156.713)",23.671,0.0
"(4027.168, 2156.713)","(4046.726, 2170.048)",23.671,0.0
"(4629.021, 2266.949)","(4646.8, 2282.951)",23.92,0.0
"(2020.696, 5844.283)","(2000.249, 5856.729)",23.937,0.0
"(2000.249, 5856.729)","(2020.696, 5844.283)",23.937,0.0
"(4834.379, 2028.697)","(4815.71, 2013.584)",24.019,0.0
"(4815.71, 2013.584)","(4834.379, 2028.697)",24.019,0.0
"(906.78, 9649.201)","(887.222, 9634.977)",24.183,0.0
"(3965.827, 5582.917)","(3946.269, 5597.141)",24.183,0.0
"(3946.269, 5597.141)","(3965.827, 5582.917)",24.183,0.0
"(1648.205, 7524.492)","(1624.202, 7528.048)",24.265,0.0
"(3820.92, 3827.143)","(3796.917, 3823.587)",24.265,0.0
"(4657.468, 2230.5)","(4637.021, 2243.835)",24.411,0.0
"(4183.632, 1301.495)","(4204.079, 1314.83)",24.411,0.0
"(4204.079, 1314.83)","(4183.632, 1301.495)",24.411,0.0
"(3915.154, 4096.51)","(3897.374, 4113.401)",24.524,0.0
"(1090.802, 9923.013)","(1085.468, 9947.016)",24.589,0.0
"(1085.468, 9947.016)","(1090.802, 9923.013)",24.589,0.0
"(1818.004, 6133.208)","(1794.001, 6138.542)",24.589,0.0
