og_coord,closest_coord,dist,avg_dist
"(3631.0, 2496.0)","(3626.0, 2492.0)",6.403,63.0
"(3626.0, 2492.0)","(3631.0, 2496.0)",6.403,0.0
"(2016.0, 1936.0)","(2021.0, 1928.0)",9.434,0.0
"(2021.0, 1928.0)","(2016.0, 1936.0)",9.434,0.0
"(3879.0, 2668.0)","(3869.0, 2670.0)",10.198,0.0
"(3869.0, 2670.0)","(3879.0, 2668.0)",10.198,0.0
"(1579.0, 907.0)","(1579.0, 919.0)",12.0,0.0
"(1579.0, 919.0)","(1579.0, 907.0)",12.0,0.0
"(2980.0, 1846.0)","(2977.0, 1858.0)",12.369,0.0
"(2977.0, 1858.0)","(2980.0, 1846.0)",12.369,0.0
"(1549.0, 941.0)","(1547.0, 928.0)",13.153,0.0
"(1547.0, 928.0)","(1549.0, 941.0)",13.153,0.0
"(3508.0, 2521.0)","(3491.0, 2522.0)",17.029,0.0
"(3491.0, 2522.0)","(3508.0, 2521.0)",17.029,0.0
"(2222.0, 1884.0)","(2205.0, 1888.0)",17.464,0.0
"(2205.0, 1888.0)","(2222.0, 1884.0)",17.464,0.0
"(2174.0, 1665.0)","(2164.0, 1650.0)",18.028,0.0
"(2164.0, 1650.0)","(2174.0, 1665.0)",18.028,0.0
"(1301.0, 1510.0)","(1317.0, 1501.0)",18.358,0.0
"(1317.0, 1501.0)","(1301.0, 1510.0)",18.358,0.0
"(2231.0, 1902.0)","(2222.0, 1884.0)",20.125,0.0
"(3466.0, 3242.0)","(3486.0, 3239.0)",20.224,0.0
"(3486.0, 3239.0)","(3466.0, 3242.0)",20.224,0.0
"(2902.0, 2072.0)","(2915.0, 2089.0)",21.401,0.0
"(2915.0, 2089.0)","(2902.0, 2072.0)",21.401,0.0
"(3151.0, 1992.0)","(3170.0, 1980.0)",22.472,0.0
"(3170.0, 1980.0)","(3151.0, 1992.0)",22.472,0.0
"(880.0, 1415.0)","(880.0, 1392.0)",23.0,0.0
"(880.0, 1392.0)","(880.0, 1415.0)",23.0,0.0
"(2997.0, 2601.0)","(3021.0, 2597.0)",24.331,0.0
"(3021.0, 2597.0)","(2997.0, 2601.0)",24.331,0.0
"(2808.0, 2190.0)","(2821.0, 2211.0)",24.698,0.0
"(2821.0, 2211.0)","(2808.0, 2190.0)",24.698,0.0
"(1881.0, 1223.0)","(1904.0, 1213.0)",25.08,0.0
"(1904.0, 1213.0)","(1881.0, 1223.0)",25.08,0.0
"(3558.0, 2367.0)","(3533.0, 2365.0)",25.08,0.0
"(3533.0, 2365.0)","(3558.0, 2367.0)",25.08,0.0
"(3327.0, 2854.0)","(3301.0, 2852.0)",26.077,0.0
"(3301.0, 2852.0)","(3327.0, 2854.0)",26.077,0.0
"(3101.0, 2569.0)","(3082.0, 2551.0)",26.173,0.0
"(3082.0, 2551.0)","(3101.0, 2569.0)",26.173,0.0
"(3651.0, 3063.0)","(3663.0, 3038.0)",27.731,0.0
"(3663.0, 3038.0)","(3651.0, 3063.0)",27.731,0.0
"(3909.0, 3290.0)","(3881.0, 3289.0)",28.018,0.0
"(3881.0, 3289.0)","(3909.0, 3290.0)",28.018,0.0
"(3172.0, 2466.0)","(3174.0, 2438.0)",28.071,0.0
"(3174.0, 2438.0)","(3172.0, 2466.0)",28.071,0.0
"(3473.0, 2261.0)","(3479.0, 2290.0)",29.614,0.0
"(3479.0, 2290.0)","(3473.0, 2261.0)",29.614,0.0
"(3796.0, 2422.0)","(3809.0, 2395.0)",29.967,0.0
"(3809.0, 2395.0)","(3796.0, 2422.0)",29.967,0.0
"(3468.0, 3272.0)","(3466.0, 3242.0)",30.067,0.0
"(1063.0, 1330.0)","(1074.0, 1358.0)",30.083,0.0
"(1074.0, 1358.0)","(1063.0, 1330.0)",30.083,0.0
"(3239.0, 3387.0)","(3210.0, 3396.0)",30.364,0.0
"(3210.0, 3396.0)","(3239.0, 3387.0)",30.364,0.0
"(853.0, 764.0)","(847.0, 734.0)",30.594,0.0
"(2021.0, 1043.0)","(2015.0, 1073.0)",30.594,0.0
"(2015.0, 1073.0)","(2021.0, 1043.0)",30.594,0.0
"(847.0, 734.0)","(853.0, 764.0)",30.594,0.0
"(1477.0, 1563.0)","(1460.0, 1537.0)",31.064,0.0
"(1460.0, 1537.0)","(1477.0, 1563.0)",31.064,0.0
"(2681.0, 3074.0)","(2648.0, 3069.0)",33.377,0.0
"(2648.0, 3069.0)","(2681.0, 3074.0)",33.377,0.0
"(2046.0, 1004.0)","(2080.0, 1006.0)",34.059,0.0
"(2080.0, 1006.0)","(2046.0, 1004.0)",34.059,0.0
"(2973.0, 1892.0)","(2977.0, 1858.0)",34.234,0.0
"(1199.0, 535.0)","(1199.0, 570.0)",35.0,0.0
"(1199.0, 570.0)","(1199.0, 535.0)",35.0,0.0
"(1835.0, 1001.0)","(1813.0, 1030.0)",36.401,0.0
"(2509.0, 3086.0)","(2531.0, 3057.0)",36.401,0.0
"(1813.0, 1030.0)","(1835.0, 1001.0)",36.401,0.0
"(2531.0, 3057.0)","(2509.0, 3086.0)",36.401,0.0
"(1443.0, 1576.0)","(1477.0, 1563.0)",36.401,0.0
"(1060.0, 1392.0)","(1074.0, 1358.0)",36.77,0.0
"(2940.0, 3094.0)","(2970.0, 3116.0)",37.202,0.0
"(2970.0, 3116.0)","(2940.0, 3094.0)",37.202,0.0
"(1473.0, 1502.0)","(1460.0, 1537.0)",37.336,0.0
"(2652.0, 1554.0)","(2641.0, 1590.0)",37.643,0.0
"(2951.0, 1822.0)","(2980.0, 1846.0)",37.643,0.0
"(2641.0, 1590.0)","(2652.0, 1554.0)",37.643,0.0
"(2077.0, 1044.0)","(2080.0, 1006.0)",38.118,0.0
"(724.0, 967.0)","(750.0, 996.0)",38.949,0.0
"(750.0, 996.0)","(724.0, 967.0)",38.949,0.0
"(2918.0, 1801.0)","(2951.0, 1822.0)",39.115,0.0
"(2680.0, 1582.0)","(2652.0, 1554.0)",39.598,0.0
"(883.0, 717.0)","(847.0, 734.0)",39.812,0.0
"(1163.0, 1931.0)","(1129.0, 1952.0)",39.962,0.0
"(1129.0, 1952.0)","(1163.0, 1931.0)",39.962,0.0
