og_coord,closest_coord,dist,avg_dist
"(2734.956, 2074.647)","(2726.886, 2073.286)",8.184,33.0
"(2726.886, 2073.286)","(2734.956, 2074.647)",8.184,0.0
"(3483.132, 3098.329)","(3492.132, 3101.077)",9.41,0.0
"(3492.132, 3101.077)","(3483.132, 3098.329)",9.41,0.0
"(2139.0, 1351.0)","(2149.0, 1355.0)",10.77,0.0
"(2149.0, 1355.0)","(2139.0, 1351.0)",10.77,0.0
"(3775.633, 2376.19)","(3774.708, 2365.139)",11.09,0.0
"(3774.708, 2365.139)","(3775.633, 2376.19)",11.09,0.0
"(2971.031, 3122.462)","(2959.947, 3121.021)",11.177,0.0
"(2959.947, 3121.021)","(2971.031, 3122.462)",11.177,0.0
"(827.062, 577.844)","(822.216, 567.703)",11.239,0.0
"(822.216, 567.703)","(827.062, 577.844)",11.239,0.0
"(3035.721, 1938.955)","(3031.107, 1949.44)",11.455,0.0
"(3031.107, 1949.44)","(3035.721, 1938.955)",11.455,0.0
"(3033.711, 1960.711)","(3031.107, 1949.44)",11.568,0.0
"(2427.0, 3173.732)","(2418.389, 3165.844)",11.678,0.0
"(2418.389, 3165.844)","(2427.0, 3173.732)",11.678,0.0
"(3865.482, 2603.661)","(3858.409, 2613.466)",12.09,0.0
"(3858.409, 2613.466)","(3865.482, 2603.661)",12.09,0.0
"(3964.068, 3154.699)","(3953.237, 3148.602)",12.429,0.0
"(3953.237, 3148.602)","(3964.068, 3154.699)",12.429,0.0
"(3003.044, 3051.176)","(2992.921, 3058.592)",12.549,0.0
"(2992.921, 3058.592)","(3003.044, 3051.176)",12.549,0.0
"(3932.418, 3117.238)","(3939.625, 3127.786)",12.775,0.0
"(3939.625, 3127.786)","(3932.418, 3117.238)",12.775,0.0
"(2650.5, 2076.5)","(2640.343, 2084.433)",12.888,0.0
"(2640.343, 2084.433)","(2650.5, 2076.5)",12.888,0.0
"(3205.781, 1942.029)","(3195.328, 1949.621)",12.919,0.0
"(3195.328, 1949.621)","(3205.781, 1942.029)",12.919,0.0
"(2980.836, 3063.25)","(2992.921, 3058.592)",12.952,0.0
"(2004.633, 1078.633)","(1991.667, 1076.464)",13.146,0.0
"(1991.667, 1076.464)","(2004.633, 1078.633)",13.146,0.0
"(1991.762, 1089.675)","(1991.667, 1076.464)",13.211,0.0
"(3955.106, 3164.602)","(3964.068, 3154.699)",13.356,0.0
"(3495.944, 3088.042)","(3492.132, 3101.077)",13.581,0.0
"(2110.0, 1323.0)","(2120.0, 1333.0)",14.142,0.0
"(2120.0, 1333.0)","(2110.0, 1323.0)",14.142,0.0
"(2064.065, 1294.032)","(2071.174, 1281.603)",14.318,0.0
"(2071.174, 1281.603)","(2064.065, 1294.032)",14.318,0.0
"(981.397, 743.564)","(988.889, 756.037)",14.55,0.0
"(988.889, 756.037)","(981.397, 743.564)",14.55,0.0
"(3676.256, 2567.081)","(3667.198, 2578.593)",14.648,0.0
"(3667.198, 2578.593)","(3676.256, 2567.081)",14.648,0.0
"(3823.941, 3301.613)","(3830.28, 3314.989)",14.802,0.0
"(3830.28, 3314.989)","(3823.941, 3301.613)",14.802,0.0
"(1362.433, 1425.344)","(1347.89, 1422.233)",14.872,0.0
"(1347.89, 1422.233)","(1362.433, 1425.344)",14.872,0.0
"(1079.45, 744.212)","(1075.321, 729.595)",15.189,0.0
"(1075.321, 729.595)","(1079.45, 744.212)",15.189,0.0
"(2943.284, 2011.98)","(2950.0, 1998.11)",15.41,0.0
"(2950.0, 1998.11)","(2943.284, 2011.98)",15.41,0.0
"(1513.265, 880.614)","(1525.434, 890.221)",15.504,0.0
"(1525.434, 890.221)","(1513.265, 880.614)",15.504,0.0
"(3438.186, 3221.559)","(3423.721, 3214.456)",16.115,0.0
"(3423.721, 3214.456)","(3438.186, 3221.559)",16.115,0.0
"(745.272, 1301.087)","(746.394, 1317.468)",16.419,0.0
"(746.394, 1317.468)","(745.272, 1301.087)",16.419,0.0
"(3785.868, 3062.33)","(3776.0, 3049.0)",16.585,0.0
"(3776.0, 3049.0)","(3785.868, 3062.33)",16.585,0.0
"(1054.89, 1081.561)","(1054.776, 1098.303)",16.742,0.0
"(1054.776, 1098.303)","(1054.89, 1081.561)",16.742,0.0
"(1929.0, 1807.885)","(1918.061, 1795.152)",16.787,0.0
"(1918.061, 1795.152)","(1929.0, 1807.885)",16.787,0.0
"(3305.6, 2970.667)","(3296.146, 2984.562)",16.806,0.0
"(3296.146, 2984.562)","(3305.6, 2970.667)",16.806,0.0
"(3455.0, 3224.288)","(3438.186, 3221.559)",17.034,0.0
"(3926.125, 2824.5)","(3921.237, 2841.171)",17.373,0.0
"(3921.237, 2841.171)","(3926.125, 2824.5)",17.373,0.0
"(3364.634, 3314.95)","(3375.091, 3329.071)",17.571,0.0
"(3375.091, 3329.071)","(3364.634, 3314.95)",17.571,0.0
"(987.935, 809.258)","(970.404, 807.292)",17.641,0.0
"(970.404, 807.292)","(987.935, 809.258)",17.641,0.0
"(872.738, 829.679)","(886.881, 819.0)",17.722,0.0
"(886.881, 819.0)","(872.738, 829.679)",17.722,0.0
"(3887.771, 2583.229)","(3891.648, 2600.657)",17.854,0.0
"(3891.648, 2600.657)","(3887.771, 2583.229)",17.854,0.0
"(3164.568, 1969.568)","(3146.878, 1972.224)",17.888,0.0
"(3146.878, 1972.224)","(3164.568, 1969.568)",17.888,0.0
"(3284.542, 3019.711)","(3301.506, 3013.078)",18.215,0.0
"(3301.506, 3013.078)","(3284.542, 3019.711)",18.215,0.0
"(3864.645, 2583.224)","(3850.297, 2571.945)",18.251,0.0
"(3850.297, 2571.945)","(3864.645, 2583.224)",18.251,0.0
"(728.756, 1322.333)","(746.394, 1317.468)",18.297,0.0
"(3183.564, 1963.752)","(3195.328, 1949.621)",18.387,0.0
"(757.108, 592.622)","(739.129, 588.398)",18.469,0.0
"(739.129, 588.398)","(757.108, 592.622)",18.469,0.0
"(2409.213, 3149.468)","(2418.389, 3165.844)",18.772,0.0
"(3902.471, 2843.431)","(3921.237, 2841.171)",18.902,0.0
"(3884.171, 2618.057)","(3891.648, 2600.657)",18.938,0.0
"(2139.0, 1329.0)","(2120.0, 1333.0)",19.416,0.0
"(1033.028, 792.917)","(1026.632, 811.461)",19.616,0.0
"(1026.632, 811.461)","(1033.028, 792.917)",19.616,0.0
"(2091.262, 1316.954)","(2110.0, 1323.0)",19.689,0.0
"(1055.389, 1118.167)","(1054.776, 1098.303)",19.873,0.0
"(3931.172, 3145.793)","(3939.625, 3127.786)",19.892,0.0
"(999.433, 1306.837)","(1007.864, 1324.864)",19.901,0.0
"(1007.864, 1324.864)","(999.433, 1306.837)",19.901,0.0
"(980.545, 723.545)","(981.397, 743.564)",20.037,0.0
"(3510.451, 2856.531)","(3490.683, 2860.402)",20.143,0.0
"(3490.683, 2860.402)","(3510.451, 2856.531)",20.143,0.0
"(982.814, 1667.257)","(969.89, 1651.233)",20.586,0.0
"(969.89, 1651.233)","(982.814, 1667.257)",20.586,0.0
"(567.433, 1010.041)","(586.115, 1019.541)",20.959,0.0
"(586.115, 1019.541)","(567.433, 1010.041)",20.959,0.0
"(717.68, 616.893)","(712.278, 637.443)",21.248,0.0
"(712.278, 637.443)","(717.68, 616.893)",21.248,0.0
"(1004.623, 1285.82)","(999.433, 1306.837)",21.648,0.0
"(905.24, 1629.76)","(926.0, 1622.888)",21.868,0.0
"(926.0, 1622.888)","(905.24, 1629.76)",21.868,0.0
"(965.118, 1288.926)","(963.738, 1267.083)",21.887,0.0
"(963.738, 1267.083)","(965.118, 1288.926)",21.887,0.0
"(1727.26, 1777.62)","(1706.615, 1769.75)",22.094,0.0
"(1706.615, 1769.75)","(1727.26, 1777.62)",22.094,0.0
"(4160.641, 2579.011)","(4142.0, 2566.932)",22.212,0.0
"(4142.0, 2566.932)","(4160.641, 2579.011)",22.212,0.0
