og_coord,closest_coord,dist,avg_dist
"(4684.317, 959.417)","(4685.24, 951.18)",8.289,34.346
"(4685.24, 951.18)","(4684.317, 959.417)",8.289,0.0
"(877.67, 6302.509)","(887.816, 6306.517)",10.909,0.0
"(887.816, 6306.517)","(877.67, 6302.509)",10.909,0.0
"(1880.673, 2934.429)","(1882.175, 2945.561)",11.233,0.0
"(1882.175, 2945.561)","(1880.673, 2934.429)",11.233,0.0
"(1981.0, 2769.0)","(1983.129, 2780.145)",11.347,0.0
"(1983.129, 2780.145)","(1981.0, 2769.0)",11.347,0.0
"(4803.154, 1068.0)","(4807.5, 1057.208)",11.634,0.0
"(4807.5, 1057.208)","(4803.154, 1068.0)",11.634,0.0
"(4676.0, 968.0)","(4684.317, 959.417)",11.952,0.0
"(3353.196, 2671.569)","(3347.67, 2682.299)",12.069,0.0
"(3347.67, 2682.299)","(3353.196, 2671.569)",12.069,0.0
"(1092.874, 4922.147)","(1093.5, 4910.0)",12.163,0.0
"(1093.5, 4910.0)","(1092.874, 4922.147)",12.163,0.0
"(4024.119, 1420.0)","(4023.377, 1432.18)",12.203,0.0
"(4023.377, 1432.18)","(4024.119, 1420.0)",12.203,0.0
"(4676.642, 934.321)","(4671.783, 945.565)",12.249,0.0
"(4671.783, 945.565)","(4676.642, 934.321)",12.249,0.0
"(857.848, 5238.939)","(847.762, 5231.931)",12.282,0.0
"(847.762, 5231.931)","(857.848, 5238.939)",12.282,0.0
"(2807.741, 3116.224)","(2803.013, 3104.385)",12.748,0.0
"(2803.013, 3104.385)","(2807.741, 3116.224)",12.748,0.0
"(2102.138, 2818.5)","(2095.87, 2829.704)",12.838,0.0
"(2095.87, 2829.704)","(2102.138, 2818.5)",12.838,0.0
"(877.184, 6271.026)","(889.0, 6266.0)",12.841,0.0
"(889.0, 6266.0)","(877.184, 6271.026)",12.841,0.0
"(901.728, 5353.099)","(909.989, 5343.168)",12.918,0.0
"(909.989, 5343.168)","(901.728, 5353.099)",12.918,0.0
"(3388.044, 2629.25)","(3380.057, 2639.547)",13.032,0.0
"(3380.057, 2639.547)","(3388.044, 2629.25)",13.032,0.0
"(3010.5, 1440.0)","(3020.0, 1431.0)",13.086,0.0
"(3020.0, 1431.0)","(3010.5, 1440.0)",13.086,0.0
"(2699.0, 3299.0)","(2701.0, 3286.0)",13.153,0.0
"(2701.0, 3286.0)","(2699.0, 3299.0)",13.153,0.0
"(771.159, 5943.626)","(784.38, 5941.937)",13.328,0.0
"(784.38, 5941.937)","(771.159, 5943.626)",13.328,0.0
"(3056.0, 1923.0)","(3069.061, 1925.909)",13.381,0.0
"(3069.061, 1925.909)","(3056.0, 1923.0)",13.381,0.0
"(743.119, 5989.0)","(756.103, 5984.586)",13.714,0.0
"(756.103, 5984.586)","(743.119, 5989.0)",13.714,0.0
"(6027.55, 615.225)","(6028.463, 601.444)",13.811,0.0
"(6028.463, 601.444)","(6027.55, 615.225)",13.811,0.0
"(804.832, 5981.147)","(792.793, 5974.268)",13.866,0.0
"(792.793, 5974.268)","(804.832, 5981.147)",13.866,0.0
"(3350.245, 2657.918)","(3353.196, 2671.569)",13.966,0.0
"(802.563, 5995.014)","(804.832, 5981.147)",14.051,0.0
"(4641.719, 1078.421)","(4628.421, 1073.719)",14.105,0.0
"(4628.421, 1073.719)","(4641.719, 1078.421)",14.105,0.0
"(1704.027, 3762.438)","(1701.753, 3748.364)",14.257,0.0
"(1701.753, 3748.364)","(1704.027, 3762.438)",14.257,0.0
"(3307.588, 1883.279)","(3321.638, 1879.534)",14.541,0.0
"(3321.638, 1879.534)","(3307.588, 1883.279)",14.541,0.0
"(1256.539, 3967.171)","(1250.891, 3980.594)",14.563,0.0
"(1250.891, 3980.594)","(1256.539, 3967.171)",14.563,0.0
"(4728.957, 941.681)","(4727.703, 927.095)",14.64,0.0
"(4727.703, 927.095)","(4728.957, 941.681)",14.64,0.0
"(2077.0, 3541.0)","(2087.0, 3530.0)",14.866,0.0
"(2087.0, 3530.0)","(2077.0, 3541.0)",14.866,0.0
"(4662.224, 962.362)","(4676.0, 968.0)",14.885,0.0
"(2973.228, 1568.684)","(2958.37, 1565.978)",15.102,0.0
"(2958.37, 1565.978)","(2973.228, 1568.684)",15.102,0.0
"(1334.427, 4824.854)","(1326.63, 4837.938)",15.231,0.0
"(1326.63, 4837.938)","(1334.427, 4824.854)",15.231,0.0
"(1496.03, 4049.18)","(1511.315, 4049.348)",15.286,0.0
"(1511.315, 4049.348)","(1496.03, 4049.18)",15.286,0.0
"(4685.889, 921.667)","(4676.642, 934.321)",15.673,0.0
"(3338.5, 1943.315)","(3345.0, 1929.0)",15.722,0.0
"(3345.0, 1929.0)","(3338.5, 1943.315)",15.722,0.0
"(3075.667, 1940.281)","(3069.061, 1925.909)",15.818,0.0
"(2937.208, 1667.547)","(2945.5, 1654.0)",15.883,0.0
"(2945.5, 1654.0)","(2937.208, 1667.547)",15.883,0.0
"(745.463, 5926.713)","(760.609, 5921.862)",15.904,0.0
"(760.609, 5921.862)","(745.463, 5926.713)",15.904,0.0
"(2132.646, 2833.354)","(2117.081, 2829.595)",16.012,0.0
"(2117.081, 2829.595)","(2132.646, 2833.354)",16.012,0.0
"(2194.544, 3046.544)","(2189.373, 3031.387)",16.015,0.0
"(2189.373, 3031.387)","(2194.544, 3046.544)",16.015,0.0
"(834.241, 5240.517)","(847.762, 5231.931)",16.017,0.0
"(2117.426, 3078.83)","(2102.136, 3073.864)",16.076,0.0
"(2102.136, 3073.864)","(2117.426, 3078.83)",16.076,0.0
"(1796.0, 4333.756)","(1779.84, 4334.416)",16.173,0.0
"(1779.84, 4334.416)","(1796.0, 4333.756)",16.173,0.0
"(4669.068, 1032.525)","(4663.368, 1017.263)",16.292,0.0
"(4663.368, 1017.263)","(4669.068, 1032.525)",16.292,0.0
"(4696.867, 1022.667)","(4695.984, 1006.355)",16.336,0.0
"(4695.984, 1006.355)","(4696.867, 1022.667)",16.336,0.0
"(1676.0, 3805.0)","(1692.506, 3804.438)",16.516,0.0
"(1692.506, 3804.438)","(1676.0, 3805.0)",16.516,0.0
"(2982.953, 2646.259)","(2997.344, 2638.089)",16.548,0.0
"(2997.344, 2638.089)","(2982.953, 2646.259)",16.548,0.0
"(1507.968, 3786.925)","(1493.99, 3795.897)",16.61,0.0
"(1493.99, 3795.897)","(1507.968, 3786.925)",16.61,0.0
"(3084.934, 2408.885)","(3100.709, 2402.836)",16.895,0.0
"(3100.709, 2402.836)","(3084.934, 2408.885)",16.895,0.0
"(905.0, 5308.895)","(908.709, 5325.436)",16.952,0.0
"(908.709, 5325.436)","(905.0, 5308.895)",16.952,0.0
"(2084.0, 2898.5)","(2071.044, 2887.25)",17.159,0.0
"(2071.044, 2887.25)","(2084.0, 2898.5)",17.159,0.0
"(730.758, 5834.615)","(713.703, 5831.782)",17.289,0.0
"(713.703, 5831.782)","(730.758, 5834.615)",17.289,0.0
"(5250.714, 482.5)","(5253.88, 499.5)",17.292,0.0
"(5253.88, 499.5)","(5250.714, 482.5)",17.292,0.0
"(1505.609, 4919.977)","(1520.89, 4928.362)",17.43,0.0
"(1520.89, 4928.362)","(1505.609, 4919.977)",17.43,0.0
"(1212.463, 3935.085)","(1209.297, 3952.27)",17.474,0.0
"(1209.297, 3952.27)","(1212.463, 3935.085)",17.474,0.0
"(4671.4, 1109.4)","(4671.316, 1091.816)",17.584,0.0
"(4671.316, 1091.816)","(4671.4, 1109.4)",17.584,0.0
"(772.771, 5901.771)","(756.5, 5894.923)",17.653,0.0
"(756.5, 5894.923)","(772.771, 5901.771)",17.653,0.0
"(726.752, 5982.339)","(743.119, 5989.0)",17.671,0.0
"(2790.873, 3121.636)","(2807.741, 3116.224)",17.715,0.0
"(4743.422, 1046.044)","(4758.091, 1056.0)",17.729,0.0
"(4758.091, 1056.0)","(4743.422, 1046.044)",17.729,0.0
"(4763.527, 1013.218)","(4746.619, 1018.905)",17.839,0.0
