og_coord,closest_coord,dist,avg_dist
"(1517.0, 4817.0)","(1519.0, 4822.0)",5.385,59.373
"(1519.0, 4822.0)","(1517.0, 4817.0)",5.385,0.0
"(1589.0, 4483.0)","(1584.0, 4486.0)",5.831,0.0
"(1584.0, 4486.0)","(1589.0, 4483.0)",5.831,0.0
"(913.0, 5498.0)","(908.0, 5504.0)",7.81,0.0
"(908.0, 5504.0)","(913.0, 5498.0)",7.81,0.0
"(5323.0, 542.0)","(5332.0, 542.0)",9.0,0.0
"(5332.0, 542.0)","(5323.0, 542.0)",9.0,0.0
"(1045.0, 4934.0)","(1044.0, 4944.0)",10.05,0.0
"(1044.0, 4944.0)","(1045.0, 4934.0)",10.05,0.0
"(2429.0, 1913.0)","(2423.0, 1922.0)",10.817,0.0
"(2423.0, 1922.0)","(2429.0, 1913.0)",10.817,0.0
"(3178.0, 2355.0)","(3182.0, 2344.0)",11.705,0.0
"(3182.0, 2344.0)","(3178.0, 2355.0)",11.705,0.0
"(5975.0, 935.0)","(5968.0, 925.0)",12.207,0.0
"(5968.0, 925.0)","(5975.0, 935.0)",12.207,0.0
"(3700.0, 2050.0)","(3712.0, 2044.0)",13.416,0.0
"(3712.0, 2044.0)","(3700.0, 2050.0)",13.416,0.0
"(4417.0, 1378.0)","(4409.0, 1367.0)",13.601,0.0
"(4409.0, 1367.0)","(4417.0, 1378.0)",13.601,0.0
"(4519.0, 1367.0)","(4519.0, 1381.0)",14.0,0.0
"(4519.0, 1381.0)","(4519.0, 1367.0)",14.0,0.0
"(1008.0, 5736.0)","(992.0, 5740.0)",16.492,0.0
"(992.0, 5740.0)","(1008.0, 5736.0)",16.492,0.0
"(937.0, 5762.0)","(946.0, 5748.0)",16.643,0.0
"(946.0, 5748.0)","(937.0, 5762.0)",16.643,0.0
"(1842.0, 3444.0)","(1847.0, 3427.0)",17.72,0.0
"(1847.0, 3427.0)","(1842.0, 3444.0)",17.72,0.0
"(855.0, 4543.0)","(865.0, 4528.0)",18.028,0.0
"(865.0, 4528.0)","(855.0, 4543.0)",18.028,0.0
"(2143.0, 3088.0)","(2125.0, 3093.0)",18.682,0.0
"(2125.0, 3093.0)","(2143.0, 3088.0)",18.682,0.0
"(1837.0, 4043.0)","(1846.0, 4061.0)",20.125,0.0
"(1846.0, 4061.0)","(1837.0, 4043.0)",20.125,0.0
"(5837.0, 524.0)","(5855.0, 534.0)",20.591,0.0
"(5855.0, 534.0)","(5837.0, 524.0)",20.591,0.0
"(3954.0, 1552.0)","(3942.0, 1535.0)",20.809,0.0
"(3942.0, 1535.0)","(3954.0, 1552.0)",20.809,0.0
"(6122.0, 768.0)","(6135.0, 787.0)",23.022,0.0
"(6135.0, 787.0)","(6122.0, 768.0)",23.022,0.0
"(800.0, 6238.0)","(823.0, 6240.0)",23.087,0.0
"(1677.0, 4282.0)","(1679.0, 4305.0)",23.087,0.0
"(823.0, 6240.0)","(800.0, 6238.0)",23.087,0.0
"(1679.0, 4305.0)","(1677.0, 4282.0)",23.087,0.0
"(1054.0, 4965.0)","(1044.0, 4944.0)",23.259,0.0
"(1332.0, 4226.0)","(1324.0, 4248.0)",23.409,0.0
"(1324.0, 4248.0)","(1332.0, 4226.0)",23.409,0.0
"(1560.0, 4504.0)","(1574.0, 4523.0)",23.601,0.0
"(1574.0, 4523.0)","(1560.0, 4504.0)",23.601,0.0
"(2622.0, 2560.0)","(2599.0, 2553.0)",24.042,0.0
"(2599.0, 2553.0)","(2622.0, 2560.0)",24.042,0.0
"(1680.0, 3255.0)","(1656.0, 3253.0)",24.083,0.0
"(1656.0, 3253.0)","(1680.0, 3255.0)",24.083,0.0
"(1527.0, 4795.0)","(1517.0, 4817.0)",24.166,0.0
"(935.0, 6079.0)","(952.0, 6097.0)",24.759,0.0
"(952.0, 6097.0)","(935.0, 6079.0)",24.759,0.0
"(2264.0, 2745.0)","(2249.0, 2765.0)",25.0,0.0
"(3638.0, 1826.0)","(3618.0, 1811.0)",25.0,0.0
"(3618.0, 1811.0)","(3638.0, 1826.0)",25.0,0.0
"(2249.0, 2765.0)","(2264.0, 2745.0)",25.0,0.0
"(2142.0, 3063.0)","(2143.0, 3088.0)",25.02,0.0
"(891.0, 4856.0)","(869.0, 4844.0)",25.06,0.0
"(869.0, 4844.0)","(891.0, 4856.0)",25.06,0.0
"(3110.0, 2151.0)","(3110.0, 2125.0)",26.0,0.0
"(3110.0, 2125.0)","(3110.0, 2151.0)",26.0,0.0
"(6125.0, 740.0)","(6122.0, 768.0)",28.16,0.0
"(5368.0, 1067.0)","(5349.0, 1089.0)",29.069,0.0
"(1180.0, 4206.0)","(1151.0, 4204.0)",29.069,0.0
"(5349.0, 1089.0)","(5368.0, 1067.0)",29.069,0.0
"(1151.0, 4204.0)","(1180.0, 4206.0)",29.069,0.0
"(2950.0, 2374.0)","(2942.0, 2346.0)",29.12,0.0
"(2942.0, 2346.0)","(2950.0, 2374.0)",29.12,0.0
"(2036.0, 3404.0)","(2006.0, 3400.0)",30.265,0.0
"(2006.0, 3400.0)","(2036.0, 3404.0)",30.265,0.0
"(3018.0, 2797.0)","(3040.0, 2818.0)",30.414,0.0
"(3040.0, 2818.0)","(3018.0, 2797.0)",30.414,0.0
