og_coord,closest_coord,dist
"(753, 1213)","(758.0, 1223.0)",11.18
"(758, 1223)","(753.0, 1213.0)",11.18
"(2509, 2941)","(2515.0, 2929.0)",13.416
"(2515, 2929)","(2509.0, 2941.0)",13.416
"(2175, 2279)","(2177.0, 2265.0)",14.142
"(2177, 2265)","(2175.0, 2279.0)",14.142
"(3493, 2473)","(3504.0, 2482.0)",14.213
"(3504, 2482)","(3493.0, 2473.0)",14.213
"(121, 2216)","(120.0, 2200.0)",16.031
"(120, 2200)","(121.0, 2216.0)",16.031
"(1634, 559)","(1620.0, 541.0)",22.804
"(1620, 541)","(1634.0, 559.0)",22.804
"(1630, 1053)","(1611.0, 1038.0)",24.207
"(1611, 1038)","(1630.0, 1053.0)",24.207
"(1834, 2068)","(1860.0, 2071.0)",26.173
"(1860, 2071)","(1834.0, 2068.0)",26.173
"(3107, 2437)","(3082.0, 2447.0)",26.926
"(3082, 2447)","(3107.0, 2437.0)",26.926
"(1958, 792)","(1936.0, 776.0)",27.203
"(1936, 776)","(1958.0, 792.0)",27.203
"(367, 363)","(390.0, 378.0)",27.459
"(390, 378)","(367.0, 363.0)",27.459
"(2332, 284)","(2307.0, 297.0)",28.178
"(2307, 297)","(2332.0, 284.0)",28.178
"(1941, 3598)","(1926.0, 3574.0)",28.302
"(1926, 3574)","(1941.0, 3598.0)",28.302
"(2960, 1452)","(2933.0, 1443.0)",28.46
"(2933, 1443)","(2960.0, 1452.0)",28.46
"(3467, 2262)","(3448.0, 2240.0)",29.069
"(3448, 2240)","(3467.0, 2262.0)",29.069
"(3664, 2386)","(3693.0, 2380.0)",29.614
"(3693, 2380)","(3664.0, 2386.0)",29.614
"(788, 1217)","(758.0, 1223.0)",30.594
"(3491, 1909)","(3504.0, 1939.0)",32.696
"(3504, 1939)","(3491.0, 1909.0)",32.696
"(1182, 75)","(1156.0, 95.0)",32.802
"(1156, 95)","(1182.0, 75.0)",32.802
"(2502, 453)","(2485.0, 423.0)",34.482
"(2485, 423)","(2502.0, 453.0)",34.482
"(1653, 2213)","(1620.0, 2223.0)",34.482
"(1620, 2223)","(1653.0, 2213.0)",34.482
"(715, 1496)","(740.0, 1472.0)",34.655
"(740, 1472)","(715.0, 1496.0)",34.655
"(1660, 1458)","(1659.0, 1493.0)",35.014
"(1659, 1493)","(1660.0, 1458.0)",35.014
"(951, 1323)","(987.0, 1322.0)",36.014
"(987, 1322)","(951.0, 1323.0)",36.014
"(3255, 1523)","(3260.0, 1487.0)",36.346
"(3260, 1487)","(3255.0, 1523.0)",36.346
"(3592, 107)","(3565.0, 132.0)",36.797
"(3565, 132)","(3592.0, 107.0)",36.797
"(2805, 3428)","(2840.0, 3416.0)",37.0
"(2840, 3416)","(2805.0, 3428.0)",37.0
"(2278, 186)","(2260.0, 219.0)",37.59
"(2260, 219)","(2278.0, 186.0)",37.59
"(1482, 1314)","(1518.0, 1326.0)",37.947
"(1518, 1326)","(1482.0, 1314.0)",37.947
"(3437, 1908)","(3438.0, 1870.0)",38.013
"(3438, 1870)","(3437.0, 1908.0)",38.013
"(3232, 1130)","(3228.0, 1092.0)",38.21
"(3228, 1092)","(3232.0, 1130.0)",38.21
"(2315, 1218)","(2277.0, 1223.0)",38.328
"(2277, 1223)","(2315.0, 1218.0)",38.328
"(2318, 2987)","(2279.0, 2980.0)",39.623
"(2279, 2980)","(2318.0, 2987.0)",39.623
"(1881, 2696)","(1912.0, 2671.0)",39.825
"(1912, 2671)","(1881.0, 2696.0)",39.825
"(2421, 1496)","(2388.0, 1473.0)",40.224
"(2388, 1473)","(2421.0, 1496.0)",40.224
"(3124, 715)","(3109.0, 753.0)",40.853
"(3109, 753)","(3124.0, 715.0)",40.853
"(638, 3109)","(597.0, 3118.0)",41.976
"(597, 3118)","(638.0, 3109.0)",41.976
"(2408, 3625)","(2366.0, 3624.0)",42.012
"(2366, 3624)","(2408.0, 3625.0)",42.012
"(1790, 2579)","(1773.0, 2540.0)",42.544
"(1773, 2540)","(1790.0, 2579.0)",42.544
"(2315, 1799)","(2327.0, 1758.0)",42.72
"(2327, 1758)","(2315.0, 1799.0)",42.72
"(3157, 496)","(3160.0, 539.0)",43.105
"(3160, 539)","(3157.0, 496.0)",43.105
"(1571, 1156)","(1615.0, 1152.0)",44.181
"(1615, 1152)","(1571.0, 1156.0)",44.181
"(2185, 359)","(2229.0, 366.0)",44.553
"(2229, 366)","(2185.0, 359.0)",44.553
"(76, 2223)","(121.0, 2216.0)",45.541
"(3203, 2092)","(3191.0, 2136.0)",45.607
"(3191, 2136)","(3203.0, 2092.0)",45.607
"(3704, 2425)","(3693.0, 2380.0)",46.325
"(584, 1739)","(616.0, 1773.0)",46.69
"(616, 1773)","(584.0, 1739.0)",46.69
"(3405, 2331)","(3449.0, 2348.0)",47.17
"(3449, 2348)","(3405.0, 2331.0)",47.17
"(79, 1439)","(74.0, 1486.0)",47.265
"(74, 1486)","(79.0, 1439.0)",47.265
"(2739, 745)","(2728.0, 791.0)",47.297
"(2728, 791)","(2739.0, 745.0)",47.297
"(281, 166)","(308.0, 205.0)",47.434
"(308, 205)","(281.0, 166.0)",47.434
"(3084, 2495)","(3082.0, 2447.0)",48.042
"(1612, 1483)","(1659.0, 1493.0)",48.052
"(1415, 1014)","(1456.0, 1040.0)",48.549
