og_coord,closest_coord,dist
"(3035.0, 3303.0)","(3034.0, 3318.0)",15.033
"(2964.0, 1924.0)","(2965.0, 1939.0)",15.033
"(2965.0, 1939.0)","(2964.0, 1924.0)",15.033
"(3034.0, 3318.0)","(3035.0, 3303.0)",15.033
"(2095.0, 3642.0)","(2080.0, 3646.0)",15.524
"(2080.0, 3646.0)","(2095.0, 3642.0)",15.524
"(3000.0, 3481.0)","(2995.0, 3496.0)",15.811
"(2995.0, 3496.0)","(3000.0, 3481.0)",15.811
"(1813.0, 2198.0)","(1814.0, 2182.0)",16.031
"(1814.0, 2182.0)","(1813.0, 2198.0)",16.031
"(1989.0, 2700.0)","(2005.0, 2701.0)",16.031
"(2005.0, 2701.0)","(1989.0, 2700.0)",16.031
"(2909.0, 3529.0)","(2893.0, 3527.0)",16.125
"(2893.0, 3527.0)","(2909.0, 3529.0)",16.125
"(2028.0, 3648.0)","(2017.0, 3660.0)",16.279
"(2017.0, 3660.0)","(2028.0, 3648.0)",16.279
"(292.0, 452.0)","(282.0, 465.0)",16.401
"(282.0, 465.0)","(292.0, 452.0)",16.401
"(1603.0, 1447.0)","(1607.0, 1431.0)",16.492
"(1607.0, 1431.0)","(1603.0, 1447.0)",16.492
"(1081.0, 1260.0)","(1093.0, 1272.0)",16.971
"(1093.0, 1272.0)","(1081.0, 1260.0)",16.971
"(1421.0, 1273.0)","(1409.0, 1285.0)",16.971
"(1409.0, 1285.0)","(1421.0, 1273.0)",16.971
"(3330.0, 3671.0)","(3322.0, 3686.0)",17.0
"(3322.0, 3686.0)","(3330.0, 3671.0)",17.0
"(1440.0, 872.0)","(1446.0, 856.0)",17.088
"(1446.0, 856.0)","(1440.0, 872.0)",17.088
"(1306.0, 2133.0)","(1296.0, 2119.0)",17.205
"(1296.0, 2119.0)","(1306.0, 2133.0)",17.205
"(3290.0, 2533.0)","(3307.0, 2530.0)",17.263
"(3307.0, 2530.0)","(3290.0, 2533.0)",17.263
"(2265.0, 2659.0)","(2251.0, 2647.0)",18.439
"(2251.0, 2647.0)","(2265.0, 2659.0)",18.439
"(1751.0, 469.0)","(1748.0, 450.0)",19.235
"(1748.0, 450.0)","(1751.0, 469.0)",19.235
"(800.0, 656.0)","(809.0, 673.0)",19.235
"(809.0, 673.0)","(800.0, 656.0)",19.235
"(2270.0, 2391.0)","(2273.0, 2372.0)",19.235
"(2273.0, 2372.0)","(2270.0, 2391.0)",19.235
"(646.0, 1053.0)","(637.0, 1070.0)",19.235
"(637.0, 1070.0)","(646.0, 1053.0)",19.235
"(781.0, 659.0)","(800.0, 656.0)",19.235
"(3350.0, 3635.0)","(3343.0, 3653.0)",19.313
"(3343.0, 3653.0)","(3350.0, 3635.0)",19.313
"(666.0, 338.0)","(677.0, 354.0)",19.416
"(677.0, 354.0)","(666.0, 338.0)",19.416
"(3407.0, 2253.0)","(3412.0, 2234.0)",19.647
"(3412.0, 2234.0)","(3407.0, 2253.0)",19.647
"(927.0, 27.0)","(946.0, 32.0)",19.647
"(946.0, 32.0)","(927.0, 27.0)",19.647
"(713.0, 474.0)","(703.0, 491.0)",19.723
"(703.0, 491.0)","(713.0, 474.0)",19.723
"(1585.0, 599.0)","(1599.0, 585.0)",19.799
"(1599.0, 585.0)","(1585.0, 599.0)",19.799
"(2944.0, 1925.0)","(2964.0, 1924.0)",20.025
"(1620.0, 592.0)","(1622.0, 572.0)",20.1
"(1622.0, 572.0)","(1620.0, 592.0)",20.1
"(3079.0, 3139.0)","(3096.0, 3150.0)",20.248
"(3096.0, 3150.0)","(3079.0, 3139.0)",20.248
"(2416.0, 2168.0)","(2411.0, 2188.0)",20.616
"(2411.0, 2188.0)","(2416.0, 2168.0)",20.616
"(1548.0, 804.0)","(1566.0, 793.0)",21.095
"(1566.0, 793.0)","(1548.0, 804.0)",21.095
"(2016.0, 2444.0)","(1995.0, 2442.0)",21.095
"(1995.0, 2442.0)","(2016.0, 2444.0)",21.095
"(151.0, 501.0)","(144.0, 521.0)",21.19
"(144.0, 521.0)","(151.0, 501.0)",21.19
"(1613.0, 1364.0)","(1632.0, 1374.0)",21.471
"(1632.0, 1374.0)","(1613.0, 1364.0)",21.471
"(2251.0, 1873.0)","(2231.0, 1881.0)",21.541
"(2231.0, 1881.0)","(2251.0, 1873.0)",21.541
"(1099.0, 133.0)","(1078.0, 128.0)",21.587
"(1078.0, 128.0)","(1099.0, 133.0)",21.587
"(1241.0, 1003.0)","(1223.0, 1015.0)",21.633
"(1223.0, 1015.0)","(1241.0, 1003.0)",21.633
"(3133.0, 2364.0)","(3117.0, 2379.0)",21.932
"(3117.0, 2379.0)","(3133.0, 2364.0)",21.932
"(2284.0, 3530.0)","(2265.0, 3541.0)",21.954
"(2265.0, 3541.0)","(2284.0, 3530.0)",21.954
"(701.0, 450.0)","(679.0, 453.0)",22.204
"(679.0, 453.0)","(701.0, 450.0)",22.204
"(1591.0, 621.0)","(1585.0, 599.0)",22.804
"(696.0, 369.0)","(676.0, 380.0)",22.825
"(676.0, 380.0)","(696.0, 369.0)",22.825
"(2059.0, 3637.0)","(2080.0, 3646.0)",22.847
"(763.0, 909.0)","(770.0, 887.0)",23.087
"(2203.0, 1413.0)","(2205.0, 1390.0)",23.087
"(1324.0, 595.0)","(1331.0, 573.0)",23.087
"(1331.0, 573.0)","(1324.0, 595.0)",23.087
"(770.0, 887.0)","(763.0, 909.0)",23.087
"(2205.0, 1390.0)","(2203.0, 1413.0)",23.087
"(3019.0, 519.0)","(3011.0, 541.0)",23.409
"(3011.0, 541.0)","(3019.0, 519.0)",23.409
"(2185.0, 3091.0)","(2200.0, 3109.0)",23.431
"(2200.0, 3109.0)","(2185.0, 3091.0)",23.431
