og_coord,closest_coord,dist,avg_dist
"(0.371, 0.627)","(0.365, 0.634)",0.009,0.027
"(0.365, 0.634)","(0.371, 0.627)",0.009,0.0
"(0.389, 0.753)","(0.397, 0.766)",0.015,0.0
"(0.397, 0.766)","(0.389, 0.753)",0.015,0.0
"(0.546, 0.577)","(0.561, 0.582)",0.016,0.0
"(0.561, 0.582)","(0.546, 0.577)",0.016,0.0
"(0.546, 0.517)","(0.551, 0.533)",0.017,0.0
"(0.551, 0.533)","(0.546, 0.517)",0.017,0.0
"(0.546, 0.733)","(0.561, 0.741)",0.017,0.0
"(0.561, 0.741)","(0.546, 0.733)",0.017,0.0
"(0.647, 0.625)","(0.638, 0.64)",0.017,0.0
"(0.638, 0.64)","(0.647, 0.625)",0.017,0.0
"(0.44, 0.6)","(0.447, 0.617)",0.018,0.0
"(0.447, 0.617)","(0.44, 0.6)",0.018,0.0
"(0.353, 0.648)","(0.365, 0.634)",0.018,0.0
"(0.642, 0.607)","(0.647, 0.625)",0.019,0.0
"(0.372, 0.745)","(0.389, 0.753)",0.019,0.0
"(0.456, 0.791)","(0.445, 0.808)",0.02,0.0
"(0.445, 0.808)","(0.456, 0.791)",0.02,0.0
"(0.467, 0.611)","(0.447, 0.617)",0.021,0.0
"(0.385, 0.701)","(0.388, 0.722)",0.021,0.0
"(0.388, 0.722)","(0.385, 0.701)",0.021,0.0
"(0.425, 0.818)","(0.445, 0.808)",0.022,0.0
"(0.603, 0.462)","(0.583, 0.475)",0.024,0.0
"(0.583, 0.475)","(0.603, 0.462)",0.024,0.0
"(0.527, 0.419)","(0.544, 0.401)",0.025,0.0
"(0.544, 0.401)","(0.527, 0.419)",0.025,0.0
"(0.601, 0.437)","(0.603, 0.462)",0.025,0.0
"(0.458, 0.64)","(0.447, 0.617)",0.025,0.0
"(0.375, 0.779)","(0.397, 0.766)",0.026,0.0
"(0.47, 0.663)","(0.458, 0.64)",0.026,0.0
"(0.459, 0.831)","(0.445, 0.808)",0.027,0.0
"(0.52, 0.638)","(0.535, 0.661)",0.027,0.0
"(0.535, 0.661)","(0.52, 0.638)",0.027,0.0
"(0.639, 0.746)","(0.616, 0.761)",0.027,0.0
"(0.616, 0.761)","(0.639, 0.746)",0.027,0.0
"(0.626, 0.788)","(0.616, 0.761)",0.029,0.0
"(0.616, 0.523)","(0.643, 0.511)",0.03,0.0
"(0.643, 0.511)","(0.616, 0.523)",0.03,0.0
"(0.573, 0.427)","(0.601, 0.437)",0.03,0.0
"(0.608, 0.638)","(0.638, 0.64)",0.03,0.0
"(0.429, 0.715)","(0.42, 0.744)",0.03,0.0
"(0.42, 0.744)","(0.429, 0.715)",0.03,0.0
"(0.369, 0.674)","(0.353, 0.648)",0.031,0.0
"(0.535, 0.482)","(0.545, 0.453)",0.031,0.0
"(0.545, 0.453)","(0.535, 0.482)",0.031,0.0
"(0.528, 0.797)","(0.511, 0.771)",0.031,0.0
"(0.511, 0.771)","(0.528, 0.797)",0.031,0.0
"(0.585, 0.527)","(0.616, 0.523)",0.031,0.0
"(0.412, 0.675)","(0.406, 0.644)",0.032,0.0
"(0.406, 0.644)","(0.412, 0.675)",0.032,0.0
"(0.592, 0.558)","(0.585, 0.527)",0.032,0.0
"(0.478, 0.71)","(0.51, 0.712)",0.032,0.0
"(0.51, 0.712)","(0.478, 0.71)",0.032,0.0
"(0.497, 0.806)","(0.528, 0.797)",0.032,0.0
"(0.47, 0.479)","(0.44, 0.466)",0.033,0.0
"(0.44, 0.466)","(0.47, 0.479)",0.033,0.0
"(0.423, 0.428)","(0.461, 0.427)",0.038,0.0
"(0.461, 0.427)","(0.423, 0.428)",0.038,0.0
"(0.333, 0.613)","(0.365, 0.634)",0.038,0.0
"(0.459, 0.541)","(0.488, 0.567)",0.039,0.0
"(0.488, 0.567)","(0.459, 0.541)",0.039,0.0
"(0.67, 0.664)","(0.638, 0.64)",0.04,0.0
"(0.391, 0.58)","(0.371, 0.627)",0.051,0.0
"(0.685, 0.717)","(0.639, 0.746)",0.054,0.0
"(0.5, 0.362)","(0.544, 0.401)",0.059,0.0
