og_coord,closest_coord,dist,avg_dist
"(0.565, 0.417)","(0.569, 0.421)",0.006,0.022
"(0.569, 0.421)","(0.565, 0.417)",0.006,0.0
"(0.48, 0.682)","(0.481, 0.677)",0.006,0.0
"(0.481, 0.677)","(0.48, 0.682)",0.006,0.0
"(0.59, 0.48)","(0.596, 0.483)",0.006,0.0
"(0.596, 0.483)","(0.59, 0.48)",0.006,0.0
"(0.634, 0.616)","(0.626, 0.616)",0.008,0.0
"(0.626, 0.616)","(0.634, 0.616)",0.008,0.0
"(0.533, 0.638)","(0.527, 0.63)",0.01,0.0
"(0.527, 0.63)","(0.533, 0.638)",0.01,0.0
"(0.512, 0.573)","(0.503, 0.578)",0.011,0.0
"(0.45, 0.513)","(0.44, 0.518)",0.011,0.0
"(0.503, 0.578)","(0.512, 0.573)",0.011,0.0
"(0.44, 0.518)","(0.45, 0.513)",0.011,0.0
"(0.397, 0.773)","(0.409, 0.772)",0.012,0.0
"(0.409, 0.772)","(0.397, 0.773)",0.012,0.0
"(0.395, 0.801)","(0.403, 0.811)",0.013,0.0
"(0.403, 0.811)","(0.395, 0.801)",0.013,0.0
"(0.494, 0.683)","(0.48, 0.682)",0.013,0.0
"(0.585, 0.505)","(0.582, 0.518)",0.014,0.0
"(0.582, 0.518)","(0.585, 0.505)",0.014,0.0
"(0.417, 0.813)","(0.403, 0.811)",0.014,0.0
"(0.458, 0.788)","(0.448, 0.797)",0.014,0.0
"(0.448, 0.797)","(0.458, 0.788)",0.014,0.0
"(0.374, 0.592)","(0.37, 0.606)",0.015,0.0
"(0.37, 0.606)","(0.374, 0.592)",0.015,0.0
"(0.441, 0.673)","(0.455, 0.676)",0.015,0.0
"(0.455, 0.676)","(0.441, 0.673)",0.015,0.0
"(0.444, 0.498)","(0.45, 0.513)",0.016,0.0
"(0.599, 0.467)","(0.59, 0.48)",0.016,0.0
"(0.39, 0.821)","(0.403, 0.811)",0.017,0.0
"(0.482, 0.649)","(0.495, 0.661)",0.018,0.0
"(0.495, 0.661)","(0.482, 0.649)",0.018,0.0
"(0.527, 0.587)","(0.512, 0.573)",0.02,0.0
"(0.573, 0.471)","(0.59, 0.48)",0.02,0.0
"(0.512, 0.616)","(0.527, 0.63)",0.021,0.0
"(0.664, 0.713)","(0.675, 0.695)",0.022,0.0
"(0.675, 0.695)","(0.664, 0.713)",0.022,0.0
"(0.558, 0.44)","(0.569, 0.421)",0.022,0.0
"(0.489, 0.596)","(0.503, 0.578)",0.022,0.0
"(0.589, 0.645)","(0.567, 0.64)",0.023,0.0
"(0.567, 0.64)","(0.589, 0.645)",0.023,0.0
"(0.364, 0.629)","(0.375, 0.649)",0.023,0.0
"(0.375, 0.649)","(0.364, 0.629)",0.023,0.0
"(0.547, 0.602)","(0.527, 0.587)",0.026,0.0
"(0.362, 0.675)","(0.343, 0.695)",0.028,0.0
"(0.343, 0.695)","(0.362, 0.675)",0.028,0.0
"(0.486, 0.786)","(0.458, 0.788)",0.028,0.0
"(0.463, 0.435)","(0.487, 0.452)",0.029,0.0
"(0.487, 0.452)","(0.463, 0.435)",0.029,0.0
"(0.469, 0.82)","(0.448, 0.797)",0.031,0.0
"(0.402, 0.634)","(0.375, 0.649)",0.031,0.0
"(0.427, 0.548)","(0.44, 0.518)",0.033,0.0
"(0.537, 0.736)","(0.528, 0.701)",0.036,0.0
"(0.528, 0.701)","(0.537, 0.736)",0.036,0.0
"(0.547, 0.538)","(0.582, 0.518)",0.04,0.0
"(0.627, 0.509)","(0.596, 0.483)",0.041,0.0
"(0.491, 0.724)","(0.494, 0.683)",0.041,0.0
"(0.485, 0.4)","(0.463, 0.435)",0.041,0.0
"(0.596, 0.686)","(0.589, 0.645)",0.041,0.0
"(0.485, 0.539)","(0.503, 0.578)",0.042,0.0
"(0.362, 0.733)","(0.343, 0.695)",0.043,0.0
"(0.407, 0.703)","(0.441, 0.673)",0.045,0.0
"(0.435, 0.601)","(0.402, 0.634)",0.047,0.0
"(0.641, 0.756)","(0.664, 0.713)",0.048,0.0
"(0.589, 0.572)","(0.547, 0.602)",0.052,0.0
