og_coord,closest_coord,dist
"(2915, 2148)","(3038, 2127)",124.78
"(5968, 6384)","(6184, 6322)",224.722
"(7821, 7460)","(7688, 7435)",135.329
"(2107, 1949)","(2375, 1685)",376.191
"(1518, 1136)","(1503, 818)",318.354
"(6824, 6702)","(6729, 6591)",146.103
"(2640, 2087)","(2670, 2079)",31.048
"(6652, 6639)","(6729, 6591)",90.736
"(5746, 6119)","(5968, 6384)",345.701
"(7446, 7363)","(7411, 7479)",121.165
"(6891, 7038)","(6955, 6991)",79.404
"(5815, 5456)","(5887, 5494)",81.413
"(4096, 4482)","(4285, 4443)",192.982
"(5694, 4903)","(5781, 4921)",88.843
"(7929, 6914)","(7771, 6992)",176.204
"(5474, 5505)","(5366, 5664)",192.211
"(2385, 2655)","(2511, 2341)",338.337
"(2747, 2852)","(2792, 2894)",61.555
"(4294, 3841)","(4429, 4125)",314.453
"(7176, 6724)","(7232, 6576)",158.24
"(5233, 5459)","(5233, 5635)",176.0
"(4535, 5204)","(4396, 5103)",171.82
"(3473, 3681)","(3508, 3698)",38.91
"(3039, 2119)","(3038, 2127)",8.062
"(5366, 5664)","(5233, 5635)",136.125
"(3508, 3698)","(3473, 3681)",38.91
"(3573, 3152)","(3654, 3427)",286.681
"(6955, 6991)","(6891, 7038)",79.404
"(4429, 4125)","(4585, 4351)",274.612
"(2408, 1414)","(2360, 1381)",58.249
"(2336, 1207)","(2360, 1381)",175.647
"(7357, 6749)","(7476, 6755)",119.151
"(3893, 4042)","(3849, 4061)",47.927
"(5781, 4921)","(5694, 4903)",88.843
"(1503, 818)","(1518, 1136)",318.354
"(4734, 5278)","(4784, 5086)",198.404
"(7411, 7479)","(7446, 7363)",121.165
"(4297, 5174)","(4396, 5103)",121.828
"(7688, 7435)","(7821, 7460)",135.329
"(6196, 6551)","(6184, 6322)",229.314
"(3189, 2708)","(2792, 2894)",438.412
"(7045, 6562)","(7232, 6576)",187.523
"(6674, 5999)","(6963, 6102)",306.806
"(6963, 6102)","(6976, 6161)",60.415
"(2705, 2283)","(2511, 2341)",202.485
"(6729, 6591)","(6652, 6639)",90.736
"(5115, 5665)","(5233, 5635)",121.754
"(2867, 3089)","(2792, 2894)",208.926
"(2511, 2341)","(2705, 2283)",202.485
"(3654, 3427)","(3757, 3638)",234.798
"(3908, 3489)","(4016, 3472)",109.33
"(3543, 3879)","(3508, 3698)",184.353
"(4784, 5086)","(4734, 5278)",198.404
"(4463, 4470)","(4585, 4351)",170.426
"(6144, 5738)","(6047, 5880)",171.968
"(7232, 6576)","(7176, 6724)",158.24
"(5024, 4619)","(4585, 4351)",514.339
"(2375, 1685)","(2408, 1414)",273.002
"(5233, 5635)","(5115, 5665)",121.754
"(2792, 2894)","(2747, 2852)",61.555
"(3757, 3638)","(3908, 3489)",212.137
"(4934, 5266)","(4734, 5278)",200.36
"(3849, 4061)","(3893, 4042)",47.927
"(4016, 3472)","(3908, 3489)",109.33
"(5887, 5494)","(5815, 5456)",81.413
"(2360, 1381)","(2408, 1414)",58.249
"(4396, 5103)","(4297, 5174)",121.828
"(7771, 6992)","(7929, 6914)",176.204
"(4132, 4282)","(4096, 4482)",203.214
"(4285, 4443)","(4463, 4470)",180.036
"(3038, 2127)","(3039, 2119)",8.062
"(4585, 4351)","(4463, 4470)",170.426
"(2670, 2079)","(2640, 2087)",31.048
"(6242, 5948)","(6047, 5880)",206.516
"(6047, 5880)","(6144, 5738)",171.968
"(6184, 6322)","(5968, 6384)",224.722
"(6976, 6161)","(6963, 6102)",60.415
"(7476, 6755)","(7357, 6749)",119.151
"(2197, 1450)","(2360, 1381)",177.003
"(6510, 6399)","(6652, 6639)",278.862
"(3136, 3831)","(3473, 3681)",368.875
"(7587, 7664)","(7688, 7435)",250.284
