og_coord,closest_coord,dist
"(4668.216, 5100.672)","(4.14, 4.519)",0.012
"(4662.0, 5089.128)","(4.145, 4.529)",0.012
"(6943.272, 6067.704)","(6.162, 5.399)",0.012
"(6938.832, 6080.136)","(6.166, 5.388)",0.012
"(3927.624, 3979.128)","(3.482, 3.545)",0.012
"(3921.408, 3991.56)","(3.488, 3.533)",0.012
"(3145.296, 3623.928)","(2.795, 3.231)",0.013
"(3147.072, 3638.136)","(2.793, 3.218)",0.013
"(1401.264, 1094.904)","(1.258, 0.971)",0.013
"(1416.36, 1094.016)","(1.244, 0.972)",0.013
"(5119.32, 4979.904)","(4.554, 4.41)",0.014
"(5128.2, 4966.584)","(4.546, 4.422)",0.014
"(1403.928, 1073.592)","(1.251, 0.938)",0.015
"(1408.368, 1056.72)","(1.247, 0.953)",0.015
"(3919.632, 4009.32)","(3.482, 3.545)",0.016
"(6577.416, 5979.792)","(5.85, 5.294)",0.018
"(6588.072, 5962.032)","(5.841, 5.31)",0.018
"(4308.576, 4352.976)","(3.824, 3.847)",0.019
"(4305.912, 4331.664)","(3.826, 3.865)",0.019
"(2233.32, 1040.736)","(1.966, 0.915)",0.02
"(2213.784, 1030.08)","(1.983, 0.924)",0.02
"(5139.744, 4990.56)","(4.546, 4.422)",0.02
"(4331.664, 4347.648)","(3.826, 3.865)",0.021
"(3060.936, 1942.056)","(2.703, 1.709)",0.022
"(3044.064, 1924.296)","(2.718, 1.725)",0.022
"(6722.16, 6176.04)","(5.961, 5.505)",0.022
"(6713.28, 6199.128)","(5.969, 5.484)",0.022
"(3852.144, 3462.312)","(3.431, 3.055)",0.022
"(3863.688, 3440.112)","(3.421, 3.075)",0.022
"(6551.664, 5976.24)","(5.841, 5.31)",0.023
"(3009.432, 2172.048)","(2.661, 1.908)",0.024
"(2996.112, 2148.96)","(2.672, 1.929)",0.024
"(6650.232, 6724.824)","(5.926, 5.986)",0.025
"(6673.32, 6740.808)","(5.905, 5.972)",0.025
"(3908.088, 3958.704)","(3.488, 3.533)",0.025
"(4677.096, 5065.152)","(4.14, 4.519)",0.025
"(4335.216, 4193.136)","(3.847, 3.698)",0.025
"(4331.664, 4164.72)","(3.85, 3.724)",0.025
"(5067.816, 5359.08)","(4.498, 4.733)",0.026
"(5065.152, 5329.776)","(4.5, 4.759)",0.026
"(3126.648, 3599.952)","(2.793, 3.218)",0.027
"(2419.8, 2242.2)","(2.142, 2.018)",0.028
"(2411.808, 2272.392)","(2.149, 1.991)",0.028
"(5185.032, 5280.936)","(4.593, 4.715)",0.028
"(5172.6, 5310.24)","(4.604, 4.689)",0.028
"(3889.44, 3993.336)","(3.482, 3.545)",0.028
"(5160.168, 4963.92)","(4.554, 4.41)",0.028
"(3093.792, 3615.936)","(2.776, 3.197)",0.032
"(2559.216, 2013.096)","(2.247, 1.809)",0.034
"(2529.912, 2037.072)","(2.273, 1.788)",0.034
"(5106.0, 5352.864)","(4.5, 4.759)",0.034
"(6198.24, 6628.032)","(5.54, 5.882)",0.036
"(6238.2, 6623.592)","(5.504, 5.886)",0.036
"(5214.336, 5338.656)","(4.658, 4.715)",0.037
"(5245.416, 5310.24)","(4.63, 4.741)",0.037
"(3866.352, 3502.272)","(3.421, 3.075)",0.038
"(4953.264, 5779.104)","(4.434, 5.114)",0.04
"(4993.224, 5758.68)","(4.398, 5.132)",0.04
"(4715.28, 5350.2)","(4.223, 4.778)",0.044
"(4755.24, 5380.392)","(4.187, 4.751)",0.044
"(2746.584, 2391.384)","(2.389, 2.115)",0.05
"(2690.64, 2381.616)","(2.439, 2.124)",0.05
"(3885.888, 3348.648)","(3.431, 3.055)",0.084
"(7237.2, 7281.6)","(6.427, 6.56)",0.094
"(7238.088, 7387.272)","(6.427, 6.466)",0.094
"(6715.056, 6052.608)","(5.969, 5.484)",0.11
"(7890.768, 7040.064)","(6.916, 6.316)",0.112
"(7787.76, 7112.88)","(7.007, 6.252)",0.112
"(3769.56, 3591.96)","(3.433, 3.11)",0.117
"(2804.304, 3115.992)","(2.53, 2.645)",0.128
"(2848.704, 2978.352)","(2.49, 2.767)",0.128
"(4081.248, 4085.688)","(3.481, 3.56)",0.159
"(2710.176, 2140.08)","(2.273, 1.788)",0.175
"(4187.808, 4779.216)","(3.914, 4.305)",0.204
"(4407.144, 4847.592)","(3.719, 4.244)",0.204
"(8095.896, 7325.112)","(7.007, 6.252)",0.312
"(4795.2, 4505.712)","(3.847, 3.861)",0.435
"(6141.408, 5685.864)","(5.818, 5.307)",0.446
"(3922.296, 5215.224)","(3.719, 4.244)",0.453
"(5629.032, 5827.056)","(5.454, 5.049)",0.472
"(2682.648, 1458.096)","(2.273, 1.788)",0.505
