og_coord,closest_coord,dist
"(5257000.0, 5744000.0)","(5250000.0, 5731000.0)",14764.823
"(5250000.0, 5731000.0)","(5257000.0, 5744000.0)",14764.823
"(7819000.0, 6833000.0)","(7814000.0, 6847000.0)",14866.069
"(7814000.0, 6847000.0)","(7819000.0, 6833000.0)",14866.069
"(4423000.0, 4481000.0)","(4416000.0, 4495000.0)",15652.476
"(4416000.0, 4495000.0)","(4423000.0, 4481000.0)",15652.476
"(3542000.0, 4081000.0)","(3544000.0, 4097000.0)",16124.515
"(3544000.0, 4097000.0)","(3542000.0, 4081000.0)",16124.515
"(1578000.0, 1233000.0)","(1595000.0, 1232000.0)",17029.386
"(1595000.0, 1232000.0)","(1578000.0, 1233000.0)",17029.386
"(5765000.0, 5608000.0)","(5775000.0, 5593000.0)",18027.756
"(5775000.0, 5593000.0)","(5765000.0, 5608000.0)",18027.756
"(1581000.0, 1209000.0)","(1586000.0, 1190000.0)",19646.883
"(1586000.0, 1190000.0)","(1581000.0, 1209000.0)",19646.883
"(4414000.0, 4515000.0)","(4416000.0, 4495000.0)",20099.751
"(7407000.0, 6734000.0)","(7419000.0, 6714000.0)",23323.808
"(7419000.0, 6714000.0)","(7407000.0, 6734000.0)",23323.808
"(4852000.0, 4902000.0)","(4849000.0, 4878000.0)",24186.773
"(4849000.0, 4878000.0)","(4852000.0, 4902000.0)",24186.773
"(2515000.0, 1172000.0)","(2493000.0, 1160000.0)",25059.928
"(2493000.0, 1160000.0)","(2515000.0, 1172000.0)",25059.928
"(5788000.0, 5620000.0)","(5765000.0, 5608000.0)",25942.244
"(4878000.0, 4896000.0)","(4852000.0, 4902000.0)",26683.328
"(3447000.0, 2187000.0)","(3428000.0, 2167000.0)",27586.228
"(3428000.0, 2167000.0)","(3447000.0, 2187000.0)",27586.228
"(7570000.0, 6955000.0)","(7560000.0, 6981000.0)",27856.777
"(7560000.0, 6981000.0)","(7570000.0, 6955000.0)",27856.777
"(4338000.0, 3899000.0)","(4351000.0, 3874000.0)",28178.006
"(4351000.0, 3874000.0)","(4338000.0, 3899000.0)",28178.006
"(7378000.0, 6730000.0)","(7407000.0, 6734000.0)",29274.562
"(3389000.0, 2446000.0)","(3374000.0, 2420000.0)",30016.662
"(3374000.0, 2420000.0)","(3389000.0, 2446000.0)",30016.662
"(7489000.0, 7573000.0)","(7515000.0, 7591000.0)",31622.777
"(7515000.0, 7591000.0)","(7489000.0, 7573000.0)",31622.777
"(4401000.0, 4458000.0)","(4423000.0, 4481000.0)",31827.661
"(5267000.0, 5704000.0)","(5250000.0, 5731000.0)",31906.112
"(4882000.0, 4722000.0)","(4878000.0, 4690000.0)",32249.031
"(4878000.0, 4690000.0)","(4882000.0, 4722000.0)",32249.031
"(5707000.0, 6035000.0)","(5704000.0, 6002000.0)",33136.083
"(5704000.0, 6002000.0)","(5707000.0, 6035000.0)",33136.083
"(3521000.0, 4054000.0)","(3542000.0, 4081000.0)",34205.263
"(2725000.0, 2525000.0)","(2716000.0, 2559000.0)",35171.011
"(2716000.0, 2559000.0)","(2725000.0, 2525000.0)",35171.011
"(5839000.0, 5947000.0)","(5825000.0, 5980000.0)",35846.897
"(5825000.0, 5980000.0)","(5839000.0, 5947000.0)",35846.897
