og_coord,closest_coord,dist
"(4145.376, 4529.397)","(4139.856, 4519.146)",11.643
"(4139.856, 4519.146)","(4145.376, 4529.397)",11.643
"(6165.626, 5388.121)","(6161.683, 5399.161)",11.723
"(6161.683, 5399.161)","(6165.626, 5388.121)",11.723
"(3487.73, 3533.466)","(3482.21, 3544.505)",12.343
"(3482.21, 3544.505)","(3487.73, 3533.466)",12.343
"(2793.023, 3218.048)","(2794.6, 3230.665)",12.715
"(2794.6, 3230.665)","(2793.023, 3218.048)",12.715
"(1244.322, 972.275)","(1257.728, 971.486)",13.428
"(1257.728, 971.486)","(1244.322, 972.275)",13.428
"(4545.956, 4422.155)","(4553.842, 4410.327)",14.216
"(4553.842, 4410.327)","(4545.956, 4422.155)",14.216
"(1246.688, 953.35)","(1250.631, 938.367)",15.492
"(1250.631, 938.367)","(1246.688, 953.35)",15.492
"(3480.633, 3560.276)","(3482.21, 3544.505)",15.85
"(5840.745, 5310.055)","(5850.208, 5294.284)",18.392
"(5850.208, 5294.284)","(5840.745, 5310.055)",18.392
"(3826.015, 3865.443)","(3823.65, 3846.518)",19.072
"(3823.65, 3846.518)","(3826.015, 3865.443)",19.072
"(1983.188, 924.174)","(1965.84, 914.711)",19.761
"(1965.84, 914.711)","(1983.188, 924.174)",19.761
"(4564.093, 4431.617)","(4545.956, 4422.155)",20.457
"(3846.518, 3860.711)","(3826.015, 3865.443)",21.041
"(2718.111, 1724.546)","(2703.129, 1708.775)",21.753
"(2703.129, 1708.775)","(2718.111, 1724.546)",21.753
"(5969.278, 5484.324)","(5961.393, 5504.826)",21.966
"(5961.393, 5504.826)","(5969.278, 5484.324)",21.966
"(3420.704, 3074.533)","(3430.955, 3054.819)",22.22
"(3430.955, 3054.819)","(3420.704, 3074.533)",22.22
"(5817.878, 5306.901)","(5840.745, 5310.055)",23.084
"(2672.376, 1928.779)","(2660.547, 1908.276)",23.669
"(2660.547, 1908.276)","(2672.376, 1928.779)",23.669
"(5905.406, 5971.644)","(5925.908, 5985.838)",24.936
"(5925.908, 5985.838)","(5905.406, 5971.644)",24.936
"(3470.382, 3515.329)","(3487.73, 3533.466)",25.098
"(4153.261, 4497.855)","(4139.856, 4519.146)",25.159
"(3849.672, 3723.505)","(3846.518, 3698.271)",25.43
"(3846.518, 3698.271)","(3849.672, 3723.505)",25.43
"(4500.221, 4758.863)","(4497.855, 4732.841)",26.129
"(4497.855, 4732.841)","(4500.221, 4758.863)",26.129
"(2776.463, 3196.757)","(2793.023, 3218.048)",26.972
"(2148.782, 1991.074)","(2141.686, 2017.884)",27.734
"(2141.686, 2017.884)","(2148.782, 1991.074)",27.734
"(4604.308, 4689.471)","(4593.269, 4715.493)",28.267
"(4593.269, 4715.493)","(4604.308, 4689.471)",28.267
"(3453.823, 3546.082)","(3482.21, 3544.505)",28.431
"(4582.229, 4407.961)","(4553.842, 4410.327)",28.486
"(2747.287, 3210.951)","(2776.463, 3196.757)",32.445
"(2272.584, 1787.629)","(2246.562, 1808.92)",33.622
"(2246.562, 1808.92)","(2272.584, 1787.629)",33.622
"(4534.128, 4753.343)","(4500.221, 4758.863)",34.354
"(5504.037, 5885.692)","(5539.522, 5881.75)",35.703
"(5539.522, 5881.75)","(5504.037, 5885.692)",35.703
"(4630.33, 4740.727)","(4657.929, 4715.493)",37.396
"(4657.929, 4715.493)","(4630.33, 4740.727)",37.396
"(3433.321, 3110.018)","(3420.704, 3074.533)",37.661
"(4398.498, 5131.844)","(4433.983, 5113.708)",39.851
"(4433.983, 5113.708)","(4398.498, 5131.844)",39.851
"(4187.169, 4750.978)","(4222.653, 4777.788)",44.474
"(4222.653, 4777.788)","(4187.169, 4750.978)",44.474
"(2438.967, 2123.549)","(2389.288, 2114.875)",50.43
"(2389.288, 2114.875)","(2438.967, 2123.549)",50.43
"(3450.669, 2973.599)","(3430.955, 3054.819)",83.578
"(6426.634, 6466.061)","(6427.422, 6559.898)",93.84
"(6427.422, 6559.898)","(6426.634, 6466.061)",93.84
"(5962.97, 5374.716)","(5969.278, 5484.324)",109.789
"(7007.002, 6251.577)","(6915.531, 6316.237)",112.018
"(6915.531, 6316.237)","(7007.002, 6251.577)",112.018
"(3347.369, 3189.66)","(3433.321, 3110.018)",117.178
"(2490.222, 2767.001)","(2529.649, 2644.777)",128.426
"(2529.649, 2644.777)","(2490.222, 2767.001)",128.426
"(3624.148, 3628.091)","(3480.633, 3560.276)",158.731
"(2406.636, 1900.391)","(2272.584, 1787.629)",175.172
"(3718.774, 4243.944)","(3913.544, 4304.662)",204.015
"(3913.544, 4304.662)","(3718.774, 4243.944)",204.015
"(7189.156, 6504.699)","(7007.002, 6251.577)",311.851
"(4258.138, 4001.072)","(3846.518, 3860.711)",434.893
"(5453.57, 5049.047)","(5817.878, 5306.901)",446.328
"(3482.999, 4631.119)","(3718.774, 4243.944)",453.315
"(4998.58, 5174.426)","(5453.57, 5049.047)",471.949
"(2382.191, 1294.789)","(2272.584, 1787.629)",504.881
