og_coord,closest_coord,dist
"(3463.2, 4031.52)","(3439.224, 3986.232)",51.243
"(3439.224, 3986.232)","(3463.2, 4031.52)",51.243
"(1905.648, 800.976)","(1843.488, 809.856)",62.791
"(1843.488, 809.856)","(1905.648, 800.976)",62.791
"(4425.792, 4874.232)","(4350.312, 4855.584)",77.749
"(4350.312, 4855.584)","(4425.792, 4874.232)",77.749
"(6544.56, 6628.032)","(6503.712, 6558.768)",80.412
"(6503.712, 6558.768)","(6544.56, 6628.032)",80.412
"(3544.008, 4032.408)","(3463.2, 4031.52)",80.813
"(7231.872, 6469.968)","(7151.952, 6494.832)",83.698
"(7151.952, 6494.832)","(7231.872, 6469.968)",83.698
"(5288.04, 5098.896)","(5269.392, 5015.424)",85.53
"(5269.392, 5015.424)","(5288.04, 5098.896)",85.53
"(3474.744, 3351.312)","(3507.6, 3432.12)",87.232
"(3507.6, 3432.12)","(3474.744, 3351.312)",87.232
"(2240.424, 1877.232)","(2228.88, 1786.656)",91.309
"(2228.88, 1786.656)","(2240.424, 1877.232)",91.309
"(2838.936, 3482.736)","(2755.464, 3430.344)",98.552
"(2755.464, 3430.344)","(2838.936, 3482.736)",98.552
"(4325.448, 4951.488)","(4350.312, 4855.584)",99.075
"(2571.648, 1929.624)","(2626.704, 1847.04)",99.254
"(2626.704, 1847.04)","(2571.648, 1929.624)",99.254
"(4332.552, 4573.2)","(4405.368, 4646.016)",102.977
"(4405.368, 4646.016)","(4332.552, 4573.2)",102.977
"(3020.976, 3266.064)","(2925.96, 3308.688)",104.139
"(2925.96, 3308.688)","(3020.976, 3266.064)",104.139
"(5029.632, 4442.664)","(5000.328, 4547.448)",108.804
"(5000.328, 4547.448)","(5029.632, 4442.664)",108.804
"(4551.0, 4440.0)","(4613.16, 4535.016)",113.543
"(4613.16, 4535.016)","(4551.0, 4440.0)",113.543
"(3258.96, 3028.08)","(3164.832, 3097.344)",116.866
"(3164.832, 3097.344)","(3258.96, 3028.08)",116.866
"(5593.512, 5640.576)","(5704.512, 5601.504)",117.676
"(5704.512, 5601.504)","(5593.512, 5640.576)",117.676
"(1550.448, 1181.04)","(1448.328, 1120.656)",118.637
"(1448.328, 1120.656)","(1550.448, 1181.04)",118.637
"(6259.512, 5955.816)","(6134.304, 5942.496)",125.915
"(6134.304, 5942.496)","(6259.512, 5955.816)",125.915
"(3852.144, 4189.584)","(3923.184, 4303.248)",134.038
"(3923.184, 4303.248)","(3852.144, 4189.584)",134.038
"(2812.296, 3234.984)","(2925.96, 3308.688)",135.469
"(6409.584, 5952.264)","(6259.512, 5955.816)",150.114
"(5155.728, 5372.4)","(5285.376, 5291.592)",152.77
"(5285.376, 5291.592)","(5155.728, 5372.4)",152.77
"(4255.296, 4316.568)","(4410.696, 4312.128)",155.463
"(4410.696, 4312.128)","(4255.296, 4316.568)",155.463
"(2885.112, 2503.272)","(2854.032, 2350.536)",155.866
"(2854.032, 2350.536)","(2885.112, 2503.272)",155.866
"(4001.328, 4439.112)","(3923.184, 4303.248)",156.734
"(5551.776, 5800.416)","(5392.824, 5800.416)",158.952
"(5392.824, 5800.416)","(5551.776, 5800.416)",158.952
"(2090.352, 1940.28)","(2240.424, 1877.232)",162.778
"(6615.6, 6292.368)","(6452.208, 6260.4)",166.49
"(6452.208, 6260.4)","(6615.6, 6292.368)",166.49
"(1834.608, 994.56)","(1665.0, 982.128)",170.063
"(1665.0, 982.128)","(1834.608, 994.56)",170.063
"(3626.592, 3258.96)","(3474.744, 3351.312)",177.726
"(4373.4, 4135.416)","(4410.696, 4312.128)",180.605
"(2043.288, 1507.824)","(2212.896, 1583.304)",185.645
"(2212.896, 1583.304)","(2043.288, 1507.824)",185.645
"(2419.8, 1783.992)","(2228.88, 1786.656)",190.939
"(6248.856, 5764.896)","(6259.512, 5955.816)",191.217
"(2703.072, 2224.44)","(2854.032, 2350.536)",196.696
"(2408.256, 2040.624)","(2571.648, 1929.624)",197.53
"(5486.064, 5369.736)","(5285.376, 5291.592)",215.365
"(4019.976, 4051.944)","(3852.144, 4189.584)",217.054
"(2828.28, 2991.672)","(2812.296, 3234.984)",243.836
"(1806.192, 1596.624)","(2043.288, 1507.824)",253.18
"(3753.576, 3885.888)","(3566.208, 3712.728)",255.13
"(3566.208, 3712.728)","(3753.576, 3885.888)",255.13
"(4598.064, 5074.92)","(4425.792, 4874.232)",264.487
"(5673.432, 5026.968)","(5748.024, 5280.936)",264.696
"(5748.024, 5280.936)","(5673.432, 5026.968)",264.696
"(6000.216, 5399.04)","(5748.024, 5280.936)",278.477
"(5921.184, 6184.92)","(6134.304, 5942.496)",322.784
"(4935.504, 4866.24)","(5000.328, 4547.448)",325.316
"(3952.488, 3622.152)","(3753.576, 3885.888)",330.337
"(2546.784, 2612.496)","(2885.112, 2503.272)",355.522
"(2043.288, 2293.704)","(2090.352, 1940.28)",356.544
"(7080.912, 6144.96)","(7151.952, 6494.832)",357.011
"(1102.008, 539.904)","(1448.328, 1120.656)",676.173
