og_coord,closest_coord,dist
"(4.557, 4.999)","(4.54, 5.021)",0.028
"(4.54, 5.021)","(4.557, 4.999)",0.028
"(2.358, 2.594)","(2.342, 2.622)",0.033
"(2.342, 2.622)","(2.358, 2.594)",0.033
"(6.588, 6.284)","(6.529, 6.28)",0.059
"(6.529, 6.28)","(6.588, 6.284)",0.059
"(3.564, 3.35)","(3.626, 3.348)",0.061
"(3.626, 3.348)","(3.564, 3.35)",0.061
"(5.664, 6.122)","(5.715, 6.16)",0.064
"(5.715, 6.16)","(5.664, 6.122)",0.064
"(5.877, 6.038)","(5.813, 6.046)",0.065
"(5.813, 6.046)","(5.877, 6.038)",0.065
"(4.965, 4.295)","(4.966, 4.363)",0.067
"(4.966, 4.363)","(4.965, 4.295)",0.067
"(2.422, 2.565)","(2.358, 2.594)",0.071
"(3.083, 3.177)","(3.15, 3.15)",0.072
"(3.15, 3.15)","(3.083, 3.177)",0.072
"(5.737, 6.054)","(5.813, 6.046)",0.076
"(2.612, 2.446)","(2.538, 2.471)",0.078
"(2.538, 2.471)","(2.612, 2.446)",0.078
"(4.465, 4.253)","(4.394, 4.292)",0.081
"(4.394, 4.292)","(4.465, 4.253)",0.081
"(4.265, 3.883)","(4.348, 3.901)",0.084
"(4.348, 3.901)","(4.265, 3.883)",0.084
"(6.892, 6.698)","(6.81, 6.739)",0.091
"(6.81, 6.739)","(6.892, 6.698)",0.091
"(2.7, 2.186)","(2.601, 2.181)",0.099
"(2.601, 2.181)","(2.7, 2.186)",0.099
"(2.035, 1.075)","(1.982, 0.987)",0.103
"(1.982, 0.987)","(2.035, 1.075)",0.103
"(1.826, 1.803)","(1.869, 1.707)",0.105
"(1.869, 1.707)","(1.826, 1.803)",0.105
"(4.206, 4.238)","(4.266, 4.337)",0.116
"(4.266, 4.337)","(4.206, 4.238)",0.116
"(2.419, 2.426)","(2.538, 2.471)",0.127
"(5.084, 4.872)","(4.991, 4.783)",0.128
"(4.991, 4.783)","(5.084, 4.872)",0.128
"(5.11, 4.999)","(5.084, 4.872)",0.13
"(1.643, 1.213)","(1.649, 1.07)",0.143
"(1.649, 1.07)","(1.643, 1.213)",0.143
"(2.549, 2.634)","(2.422, 2.565)",0.143
"(2.901, 3.14)","(2.774, 3.062)",0.149
"(2.774, 3.062)","(2.901, 3.14)",0.149
"(6.028, 6.006)","(5.877, 6.038)",0.154
"(2.531, 2.042)","(2.601, 2.181)",0.156
"(5.104, 4.436)","(4.966, 4.363)",0.156
"(4.109, 3.803)","(4.265, 3.883)",0.176
"(6.764, 6.333)","(6.588, 6.284)",0.182
"(2.213, 2.482)","(2.358, 2.594)",0.183
"(4.696, 4.518)","(4.88, 4.547)",0.187
"(4.88, 4.547)","(4.696, 4.518)",0.187
"(3.177, 3.753)","(3.362, 3.783)",0.187
"(3.362, 3.783)","(3.177, 3.753)",0.187
"(3.951, 3.701)","(4.109, 3.803)",0.188
"(4.349, 5.031)","(4.54, 5.021)",0.191
"(6.971, 6.324)","(6.906, 6.139)",0.197
"(6.906, 6.139)","(6.971, 6.324)",0.197
"(2.161, 1.564)","(2.314, 1.691)",0.199
"(2.314, 1.691)","(2.161, 1.564)",0.199
"(3.346, 3.187)","(3.15, 3.15)",0.2
"(3.617, 4.346)","(3.799, 4.259)",0.202
"(3.799, 4.259)","(3.617, 4.346)",0.202
"(2.117, 2.299)","(2.213, 2.482)",0.207
"(6.243, 6.004)","(6.028, 6.006)",0.215
"(1.291, 0.674)","(1.447, 0.524)",0.216
"(1.447, 0.524)","(1.291, 0.674)",0.216
"(3.81, 3.469)","(3.626, 3.348)",0.22
"(1.321, 0.9)","(1.291, 0.674)",0.228
"(7.195, 6.386)","(6.971, 6.324)",0.232
"(2.872, 2.343)","(2.7, 2.186)",0.233
"(2.958, 3.381)","(3.083, 3.177)",0.239
"(4.454, 4.547)","(4.696, 4.518)",0.243
"(1.693, 0.477)","(1.447, 0.524)",0.25
"(4.206, 4.584)","(4.454, 4.547)",0.251
"(2.019, 2.066)","(2.117, 2.299)",0.252
"(3.483, 4.087)","(3.617, 4.346)",0.292
"(5.592, 5.499)","(5.885, 5.372)",0.32
"(5.885, 5.372)","(5.592, 5.499)",0.32
"(5.329, 5.705)","(5.592, 5.499)",0.333
"(5.645, 5.035)","(5.885, 5.372)",0.413
"(3.347, 2.716)","(3.346, 3.187)",0.471
