og_coord,closest_coord,dist,avg_dist
"(0.402, 0.696)","(0.39, 0.69)",0.013,0.033
"(0.39, 0.69)","(0.402, 0.696)",0.013,0.0
"(0.404, 0.713)","(0.402, 0.696)",0.016,0.0
"(0.546, 0.643)","(0.531, 0.655)",0.02,0.0
"(0.531, 0.655)","(0.546, 0.643)",0.02,0.0
"(0.383, 0.796)","(0.379, 0.777)",0.02,0.0
"(0.379, 0.777)","(0.383, 0.796)",0.02,0.0
"(0.532, 0.677)","(0.531, 0.655)",0.022,0.0
"(0.47, 0.707)","(0.46, 0.685)",0.025,0.0
"(0.46, 0.685)","(0.47, 0.707)",0.025,0.0
"(0.418, 0.668)","(0.402, 0.696)",0.032,0.0
"(0.527, 0.729)","(0.532, 0.677)",0.052,0.0
"(0.482, 0.757)","(0.47, 0.707)",0.052,0.0
"(0.438, 0.785)","(0.482, 0.757)",0.053,0.0
"(0.483, 0.632)","(0.531, 0.655)",0.053,0.0
"(0.527, 0.58)","(0.546, 0.643)",0.066,0.0
"(0.383, 0.607)","(0.418, 0.668)",0.071,0.0
