og_coord,closest_coord,dist,avg_dist
"(0.447, 0.734)","(0.429, 0.734)",0.018,0.031
"(0.429, 0.734)","(0.447, 0.734)",0.018,0.0
"(0.485, 0.659)","(0.492, 0.68)",0.022,0.0
"(0.492, 0.68)","(0.485, 0.659)",0.022,0.0
"(0.508, 0.66)","(0.485, 0.659)",0.023,0.0
"(0.458, 0.796)","(0.465, 0.769)",0.028,0.0
"(0.465, 0.769)","(0.458, 0.796)",0.028,0.0
"(0.513, 0.577)","(0.495, 0.555)",0.028,0.0
"(0.495, 0.555)","(0.513, 0.577)",0.028,0.0
"(0.517, 0.628)","(0.498, 0.606)",0.029,0.0
"(0.498, 0.606)","(0.517, 0.628)",0.029,0.0
"(0.43, 0.788)","(0.458, 0.796)",0.029,0.0
"(0.437, 0.602)","(0.466, 0.61)",0.03,0.0
"(0.466, 0.61)","(0.437, 0.602)",0.03,0.0
"(0.4, 0.621)","(0.437, 0.602)",0.042,0.0
"(0.441, 0.644)","(0.437, 0.602)",0.042,0.0
"(0.353, 0.755)","(0.429, 0.734)",0.079,0.0
