og_coord,closest_coord,dist
"(5339, 4879)","(5497, 4864)",158.71042813879623
"(3457, 2290)","(3014, 2472)",478.92901352914504
"(6577, 5890)","(6608, 5864)",40.45985664828782
"(2263, 1782)","(2069, 1733)",200.09247861926244
"(4360, 4010)","(4325, 4089)",86.4060183089118
"(2962, 1902)","(3014, 2472)",572.3670151222902
"(8122, 7317)","(7721, 7223)",411.8701251608327
"(7349, 6476)","(7416, 6620)",158.8238017426859
"(6261, 6187)","(6229, 6091)",101.19288512538814
"(2497, 1508)","(2328, 1290)",275.835095664058
"(3188, 3940)","(3501, 3916)",313.9187793044564
"(3137, 3426)","(2952, 3026)",440.70965498840616
"(3517, 3945)","(3501, 3916)",33.12099032335839
"(5327, 5474)","(5325, 5492)",18.110770276274835
"(4325, 4089)","(4360, 4010)",86.4060183089118
"(2154, 914)","(2328, 1290)",414.3090633814327
"(2328, 1290)","(2497, 1508)",275.835095664058
"(3501, 3916)","(3517, 3945)",33.12099032335839
"(2952, 3026)","(2839, 2786)",265.27155897306443
"(5542, 5769)","(5597, 5566)",210.3188056261256
"(2281, 2131)","(2077, 2130)",204.00245096566854
"(5914, 6020)","(5834, 6136)",140.91131963046828
"(5007, 5567)","(5039, 5670)",107.8563859954523
"(6975, 7003)","(7125, 6751)",293.2643858363985
"(4019, 4284)","(4039, 4365)",83.43260753446461
"(1640, 863)","(1625, 669)",194.57903278616635
"(7262, 7269)","(7309, 7216)",70.83784299369935
"(5039, 5670)","(5007, 5567)",107.8563859954523
"(6284, 6338)","(6190, 6318)",96.1041102138717
"(4754, 4610)","(4768, 4824)",214.4574549881631
"(3972, 3463)","(4023, 3704)",246.33716731342025
"(1381, 992)","(1640, 863)",289.34754189382704
"(2077, 2130)","(2281, 2131)",204.00245096566854
"(3778, 4433)","(4039, 4365)",269.71281022598833
"(4278, 4750)","(4324, 4620)",137.8985134075056
"(5229, 5351)","(5327, 5474)",157.26728839781018
"(4932, 4481)","(4754, 4610)",219.82947936980608
"(5497, 4864)","(5339, 4879)",158.71042813879623
"(6190, 6318)","(6284, 6338)",96.1041102138717
"(7075, 6292)","(7349, 6476)",330.0484812872194
"(6608, 5864)","(6577, 5890)",40.45985664828782
"(6048, 5953)","(5914, 6020)",149.81655449248592
"(5325, 5492)","(5327, 5474)",18.110770276274835
"(2377, 2343)","(2281, 2131)",232.7230113246217
"(1987, 1793)","(2069, 1733)",101.6070863670443
"(7806, 6763)","(7416, 6620)",415.3901780254319
"(4089, 4360)","(4039, 4365)",50.24937810560445
"(5434, 5479)","(5347, 5471)",87.36704184073076
"(6400, 6198)","(6261, 6187)",139.43457247038842
"(4314, 5204)","(4026, 5385)",340.1543767173958
"(6509, 6983)","(6514, 6769)",214.05840324546944
"(4026, 5385)","(4314, 5204)",340.1543767173958
"(5347, 5471)","(5327, 5474)",20.223748416156685
"(3520, 3074)","(3137, 3426)",520.1855438206641
"(7309, 7216)","(7262, 7269)",70.83784299369935
"(5380, 5554)","(5325, 5492)",82.87943049997388
"(7416, 6620)","(7320, 6641)",98.2700361249552
"(7320, 6641)","(7416, 6620)",98.2700361249552
"(1625, 669)","(1640, 863)",194.57903278616635
"(7660, 7153)","(7721, 7223)",92.84934033152847
"(3014, 2472)","(2839, 2786)",359.4732257067277
"(6251, 6481)","(6284, 6338)",146.75830470538966
"(5740, 5290)","(5597, 5566)",310.84562084739105
"(1907, 1460)","(2071, 1523)",175.6843760839307
"(6229, 6091)","(6261, 6187)",101.19288512538814
"(5597, 5566)","(5434, 5479)",184.76471524617463
"(6808, 6582)","(6514, 6769)",348.4322028745334
"(7721, 7223)","(7660, 7153)",92.84934033152847
"(2839, 2786)","(2952, 3026)",265.27155897306443
"(6185, 5548)","(5946, 5532)",239.5349661322956
"(2069, 1733)","(1987, 1793)",101.6070863670443
"(6514, 6769)","(6509, 6983)",214.05840324546944
"(4023, 3704)","(3972, 3463)",246.33716731342025
"(5834, 6136)","(5914, 6020)",140.91131963046828
"(4039, 4365)","(4089, 4360)",50.24937810560445
"(2071, 1523)","(1907, 1460)",175.6843760839307
"(7125, 6751)","(7320, 6641)",223.8861317723811
"(4768, 4824)","(4754, 4610)",214.4574549881631
"(6434, 5680)","(6608, 5864)",253.24296633865274
"(5946, 5532)","(6185, 5548)",239.5349661322956
"(4324, 4620)","(4278, 4750)",137.8985134075056
