og_coord,closest_coord,dist
"(6790, 6759)","(6840, 6831)",87.65842800324451
"(7274, 7421)","(7322, 7251)",176.64653973401235
"(3231, 3844)","(3651, 3401)",610.4498341387276
"(2547, 1494)","(2485, 1484)",62.80127387243033
"(5961, 5727)","(5975, 5571)",156.62694531912445
"(2310, 1960)","(2311, 1978)",18.027756377319946
"(6068, 6540)","(6113, 6572)",55.21775076911409
"(3993, 4391)","(4208, 4324)",225.1976909295475
"(4712, 4861)","(4635, 4920)",97.0051545022222
"(6301, 5819)","(6330, 5890)",76.69419795525604
"(6992, 6417)","(6784, 6203)",298.4292210893565
"(2356, 1342)","(2253, 1327)",104.08650248711405
"(5633, 5025)","(5529, 5142)",156.54072952429985
"(8066, 7190)","(7990, 7217)",80.65358020571685
"(7957, 7203)","(7990, 7217)",35.84689665786984
"(1256, 607)","(1645, 931)",506.25783944547464
"(4622, 4406)","(4620, 4367)",39.05124837953327
"(4024, 3819)","(3969, 3676)",153.2122710490253
"(3021, 2549)","(2906, 2535)",115.84903970253703
"(7020, 6901)","(6840, 6831)",193.13207915827965
"(7460, 6592)","(7392, 6565)",73.16419889536138
"(4449, 4184)","(4620, 4367)",250.4595775769016
"(2751, 2750)","(2579, 2645)",201.51674868357716
"(6424, 7016)","(6553, 7029)",129.65338406690356
"(7818, 6998)","(7878, 7019)",63.56886030125127
"(3651, 3401)","(3652, 3174)",227.00220263248548
"(2939, 2378)","(2901, 2322)",67.67569726275453
"(6330, 5890)","(6301, 5819)",76.69419795525604
"(2030, 1276)","(1978, 1431)",163.4900608599801
"(7740, 7029)","(7818, 6998)",83.93449827097318
"(4043, 4618)","(3924, 4652)",123.76186811776881
"(4524, 4738)","(4399, 4671)",141.8238343861849
"(3004, 2348)","(2939, 2378)",71.58910531638176
"(2906, 2535)","(3021, 2549)",115.84903970253703
"(7878, 7019)","(7818, 6998)",63.56886030125127
"(3924, 4652)","(4043, 4618)",123.76186811776881
"(1645, 931)","(1961, 690)",397.4128835354989
"(4921, 5754)","(5204, 5728)",284.1918366174511
"(1978, 1431)","(1999, 1480)",53.31041174104736
"(6784, 6203)","(6792, 6064)",139.2300254973761
"(4399, 4671)","(4524, 4738)",141.8238343861849
"(5529, 5142)","(5420, 5109)",113.8859078200635
"(6840, 6831)","(6790, 6759)",87.65842800324451
"(4635, 4920)","(4712, 4861)",97.0051545022222
"(2579, 2645)","(2751, 2750)",201.51674868357716
"(4620, 4367)","(4622, 4406)",39.05124837953327
"(2485, 1484)","(2547, 1494)",62.80127387243033
"(5716, 5636)","(5961, 5727)",261.3541658363226
"(1999, 1480)","(1978, 1431)",53.31041174104736
"(7990, 7217)","(7957, 7203)",35.84689665786984
"(1961, 690)","(2095, 859)",215.67800073257357
"(6113, 6572)","(6068, 6540)",55.21775076911409
"(7392, 6565)","(7460, 6592)",73.16419889536138
"(5204, 5728)","(4921, 5754)",284.1918366174511
"(2318, 1196)","(2253, 1327)",146.23952953972466
"(7018, 7106)","(7020, 6901)",205.00975586542216
"(6017, 6273)","(6068, 6540)",271.82715096178305
"(4265, 5205)","(4635, 4920)",467.0385423067351
"(2521, 2400)","(2579, 2645)",251.7717220022932
"(6553, 7029)","(6424, 7016)",129.65338406690356
"(5420, 5109)","(5529, 5142)",113.8859078200635
"(5947, 5509)","(5975, 5571)",68.0294054067798
"(3969, 3676)","(4024, 3819)",153.2122710490253
"(3652, 3174)","(3651, 3401)",227.00220263248548
"(6792, 6064)","(6784, 6203)",139.2300254973761
"(2901, 2322)","(2939, 2378)",67.67569726275453
"(4034, 3485)","(3969, 3676)",201.75727991822254
"(2311, 1978)","(2310, 1960)",18.027756377319946
"(3298, 2638)","(3021, 2549)",290.9467305195231
"(2253, 1327)","(2356, 1342)",104.08650248711405
"(2095, 859)","(1961, 690)",215.67800073257357
"(5689, 6044)","(6017, 6273)",400.03124877939223
"(2853, 2197)","(2901, 2322)",133.8992158304148
"(5458, 5299)","(5529, 5142)",172.30786401090347
"(4311, 4514)","(4399, 4671)",179.98055450520204
"(5277, 5170)","(5420, 5109)",155.46703830716015
"(4208, 4324)","(4311, 4514)",216.12265036316762
"(5975, 5571)","(5947, 5509)",68.0294054067798
"(6562, 6263)","(6784, 6203)",229.9652147608416
"(7322, 7251)","(7274, 7421)",176.64653973401235
"(5770, 5261)","(5529, 5142)",268.77871939571406
