og_coord,closest_coord,dist
"(7238, 7387)","(7237, 7282)",105.00476179678711
"(8096, 7325)","(7891, 7040)",351.0697936308392
"(7237, 7282)","(7238, 7387)",105.00476179678711
"(7788, 7113)","(7891, 7040)",126.24579200908045
"(7891, 7040)","(7788, 7113)",126.24579200908045
"(6673, 6741)","(6650, 6725)",28.0178514522438
"(6650, 6725)","(6673, 6741)",28.0178514522438
"(6713, 6199)","(6722, 6176)",24.698178070456937
"(6722, 6176)","(6713, 6199)",24.698178070456937
"(6715, 6053)","(6722, 6176)",123.1990259701756
"(6577, 5980)","(6588, 5962)",21.095023109728988
"(6552, 5976)","(6577, 5980)",25.317977802344327
"(6588, 5962)","(6577, 5980)",21.095023109728988
"(4332, 4165)","(4335, 4193)",28.160255680657446
"(4081, 4086)","(3920, 4009)",178.46568297574746
"(3920, 4009)","(3921, 3992)",17.029386365926403
"(3889, 3993)","(3921, 3992)",32.01562118716424
"(3147, 3638)","(3145, 3624)",14.142135623730951
"(3145, 3624)","(3147, 3638)",14.142135623730951
"(3094, 3616)","(3127, 3600)",36.6742416417845
"(3127, 3600)","(3145, 3624)",30.0
"(3770, 3592)","(3866, 3502)",131.59027319676784
"(3866, 3502)","(3852, 3462)",42.37924020083418
"(3852, 3462)","(3864, 3440)",25.059928172283335
"(3864, 3440)","(3852, 3462)",25.059928172283335
"(3886, 3349)","(3864, 3440)",93.62157870918435
"(2804, 3116)","(2849, 2978)",145.15164484083533
"(2849, 2978)","(2804, 3116)",145.15164484083533
"(2691, 2382)","(2747, 2391)",56.71860364994893
"(2412, 2272)","(2420, 2242)",31.04834939252005
"(2420, 2242)","(2412, 2272)",31.04834939252005
"(3009, 2172)","(2996, 2149)",26.419689627245813
"(2996, 2149)","(3009, 2172)",26.419689627245813
"(2530, 2037)","(2559, 2013)",37.64306044943742
"(2683, 1458)","(2559, 2013)",568.6835675487731
"(2233, 1041)","(2214, 1030)",21.95449840010015
"(2214, 1030)","(2233, 1041)",21.95449840010015
"(3908, 3959)","(3928, 3979)",28.284271247461902
"(3928, 3979)","(3921, 3992)",14.7648230602334
"(3921, 3992)","(3928, 3979)",14.7648230602334
"(4335, 4193)","(4332, 4165)",28.160255680657446
"(4306, 4332)","(4309, 4353)",21.213203435596427
"(4309, 4353)","(4306, 4332)",21.213203435596427
"(4332, 4348)","(4309, 4353)",23.53720459187964
"(4188, 4779)","(4407, 4848)",229.61271741782946
"(4407, 4848)","(4188, 4779)",229.61271741782946
"(3922, 5215)","(4188, 4779)",510.7367227838625
"(4668, 5101)","(4662, 5089)",13.416407864998739
"(4662, 5089)","(4668, 5101)",13.416407864998739
"(4677, 5065)","(4662, 5089)",28.30194339616981
"(5140, 4991)","(5119, 4980)",23.706539182259394
"(5160, 4964)","(5128, 4967)",32.14031735997639
"(5119, 4980)","(5128, 4967)",15.811388300841896
"(5128, 4967)","(5119, 4980)",15.811388300841896
"(5065, 5330)","(5068, 5359)",29.154759474226502
"(5068, 5359)","(5065, 5330)",29.154759474226502
"(5106, 5353)","(5068, 5359)",38.47076812334269
"(5173, 5310)","(5185, 5281)",31.38470965295043
"(5185, 5281)","(5173, 5310)",31.38470965295043
"(5214, 5339)","(5245, 5310)",42.44997055358225
"(5245, 5310)","(5214, 5339)",42.44997055358225
"(4795, 4506)","(4332, 4348)",489.2167208916719
"(6141, 5686)","(6552, 5976)",503.01192828798804
"(6238, 6624)","(6198, 6628)",40.19950248448356
"(6198, 6628)","(6238, 6624)",40.19950248448356
"(1416, 1094)","(1401, 1095)",15.033296378372908
"(1401, 1095)","(1416, 1094)",15.033296378372908
"(1404, 1074)","(1408, 1057)",17.46424919657298
"(1408, 1057)","(1404, 1074)",17.46424919657298
"(2559, 2013)","(2530, 2037)",37.64306044943742
"(2710, 2140)","(2559, 2013)",197.3068675946177
"(2747, 2391)","(2691, 2382)",56.71860364994893
"(3061, 1942)","(3044, 1924)",24.758836806279895
"(3044, 1924)","(3061, 1942)",24.758836806279895
"(4755, 5380)","(4715, 5350)",50.0
"(4715, 5350)","(4755, 5380)",50.0
"(4993, 5759)","(4953, 5779)",44.721359549995796
"(4953, 5779)","(4993, 5759)",44.721359549995796
"(5629, 5827)","(6141, 5686)",531.0602602341847
"(6939, 6080)","(6715, 6053)",225.6213642366343
