og_coord,closest_coord,dist
"(1711, 1282)","(1835, 1309)",126.90547663517127
"(3950, 4081)","(4096, 4193)",184.0108692441835
"(3941, 4511)","(3925, 4439)",73.7563556583431
"(4619, 5115)","(4784, 5477)",397.8303658596211
"(5335, 5492)","(5262, 5447)",85.75546629807339
"(2480, 1759)","(2354, 1872)",169.24833824885843
"(5457, 5794)","(5611, 5847)",162.8649747490233
"(4569, 4373)","(4552, 4505)",133.09019498069722
"(5003, 5676)","(5097, 5582)",132.93607486307093
"(2591, 2419)","(2773, 2572)",237.7666923688009
"(3911, 4344)","(3902, 4278)",66.61080993352356
"(3895, 3567)","(3992, 3511)",112.0044641967453
"(6165, 6894)","(6142, 6706)",189.40168953839878
"(4012, 3770)","(3895, 3567)",234.30322234233142
"(2773, 2572)","(2928, 2707)",205.54804791094466
"(4125, 4201)","(4096, 4193)",30.083217912982647
"(4388, 4377)","(4411, 4281)",98.71676655968832
"(1835, 1309)","(1711, 1282)",126.90547663517127
"(7803, 6919)","(7763, 6923)",40.19950248448356
"(3409, 2247)","(3316, 2616)",380.5390912902379
"(3436, 4036)","(3444, 4030)",10.0
"(3925, 4439)","(3946, 4412)",34.20526275297414
"(4282, 4812)","(4075, 4897)",223.77220560203628
"(7257, 6432)","(7561, 6650)",374.08555171243916
"(5097, 5582)","(5003, 5676)",132.93607486307093
"(3946, 4412)","(3925, 4439)",34.20526275297414
"(3784, 3438)","(3747, 3316)",127.4872542648872
"(4096, 4193)","(4125, 4201)",30.083217912982647
"(2901, 2323)","(2773, 2572)",279.9732130043873
"(6238, 6644)","(6142, 6706)",114.28035701729323
"(4952, 5478)","(4784, 5477)",168.00297616411441
"(7585, 7379)","(7837, 7183)",319.24911902775864
"(6706, 6735)","(6813, 6693)",114.94781424629178
"(4243, 4136)","(4280, 4156)",42.05948168962618
"(1467, 655)","(1630, 651)",163.04907236779974
"(2269, 1382)","(2362, 1172)",229.67150454507848
"(6142, 6706)","(6238, 6644)",114.28035701729323
"(4552, 4505)","(4569, 4373)",133.09019498069722
"(3501, 4197)","(3436, 4036)",173.62603491412224
"(5611, 5847)","(5621, 5791)",56.88585061331157
"(2928, 2707)","(2992, 2763)",85.0411665018772
"(4784, 5477)","(4952, 5478)",168.00297616411441
"(7837, 7183)","(7977, 7188)",140.089257261219
"(1957, 635)","(2123, 894)",307.631272792608
"(1630, 651)","(1467, 655)",163.04907236779974
"(2362, 1172)","(2269, 1382)",229.67150454507848
"(6813, 6693)","(6706, 6735)",114.94781424629178
"(7763, 6923)","(7803, 6919)",40.19950248448356
"(4831, 4573)","(4904, 4723)",166.82026255823962
"(2992, 2763)","(2928, 2707)",85.0411665018772
"(5241, 5699)","(5097, 5582)",185.53975315279473
"(4904, 4723)","(5027, 4673)",132.7742444904131
"(4075, 4897)","(4282, 4812)",223.77220560203628
"(2123, 894)","(1957, 635)",307.631272792608
"(3992, 3511)","(3895, 3567)",112.0044641967453
"(5027, 4673)","(4904, 4723)",132.7742444904131
"(7977, 7188)","(7837, 7183)",140.089257261219
"(7561, 6650)","(7763, 6923)",339.60712595586097
"(5621, 5791)","(5611, 5847)",56.88585061331157
"(3616, 3594)","(3784, 3438)",229.2596780945136
"(2912, 3089)","(2920, 2977)",112.28535078094559
"(6665, 6332)","(6813, 6693)",390.16022349798806
"(5262, 5447)","(5335, 5492)",85.75546629807339
"(4280, 4156)","(4243, 4136)",42.05948168962618
"(5691, 5446)","(5621, 5791)",352.02982828163863
"(2354, 1872)","(2480, 1759)",169.24833824885843
"(4208, 4325)","(4125, 4201)",149.21461054467824
"(3316, 2616)","(2992, 2763)",355.78785814021256
"(2920, 2977)","(2912, 3089)",112.28535078094559
"(6023, 6078)","(6071, 6427)",352.28539566663846
"(2820, 1752)","(2480, 1759)",340.07205118915607
"(6386, 5675)","(6023, 6078)",542.3817843548952
"(4411, 4281)","(4388, 4377)",98.71676655968832
"(6071, 6427)","(6238, 6644)",273.82110948573705
"(5588, 4855)","(5027, 4673)",589.7838587143599
"(3747, 3316)","(3784, 3438)",127.4872542648872
"(3734, 4238)","(3902, 4278)",172.69626515938322
"(3430, 3974)","(3444, 4030)",57.723478758647246
"(3902, 4278)","(3911, 4344)",66.61080993352356
"(3444, 4030)","(3436, 4036)",10.0
"(1439, 917)","(1467, 655)",263.4919353604584
