radius,%_gp_captured,%_pface_covered,SC3PA,total_gp
100,0.14814814814814814,0.09918886245355926,1.4935966043315787,81
160,0.20987654320987653,0.21516100039263597,0.9754395212277499,81
220,0.3333333333333333,0.3496835858519549,0.9532427223348602,81
280,0.4074074074074074,0.48046920309369856,0.8479365686377967,81
340,0.4691358024691358,0.5867676231146737,0.7995257133971948,81
400,0.5185185185185185,0.6658010342515447,0.7787889952760546,81
460,0.6296296296296297,0.7260877143396489,0.8671536746800014,81
520,0.7037037037037037,0.7753916142411144,0.9075461879897005,81
580,0.7283950617283951,0.8144626500633407,0.8943259235665967,81
640,0.7901234567901234,0.8488308069754811,0.9308373945633037,81
700,0.8888888888888888,0.8794216775997556,1.0107652694154328,81
100,0.10975609756097561,0.13921140473463714,0.7884131172312439,82
160,0.25609756097560976,0.30996697846663557,0.8262091731270522,82
220,0.3902439024390244,0.46750043057631474,0.8347455465612047,82
280,0.4024390243902439,0.5674567147609555,0.7091977483423978,82
340,0.4878048780487805,0.636339345274512,0.7665797843104376,82
400,0.6097560975609756,0.6875876099606447,0.8868049521658427,82
460,0.6463414634146342,0.7229067908931887,0.8940868609299492,82
520,0.6951219512195121,0.7538157952139762,0.9221376835466768,82
580,0.7682926829268293,0.787029476920248,0.976193021299865,82
640,0.8048780487804879,0.8202658332335719,0.9812404907901334,82
700,0.8170731707317073,0.8528856332104563,0.9580102406650435,82
