radius,%_gp_captured,%_img_covered,LCPI,total_gp
0.112,0.020146520146520148,0.020413649696343596,0.9869141699893432,546
0.18,0.07142857142857142,0.08350327415720768,0.8553984517313203,546
0.247,0.163003663003663,0.17582449455911658,0.9270816527151006,546
0.315,0.2564102564102564,0.26493527591971694,0.9678222559081039,546
0.382,0.3553113553113553,0.35778660678084717,0.9930817659952039,546
0.45,0.4358974358974359,0.4462805716059508,0.976734062898703,546
0.517,0.5073260073260073,0.5301161676284561,0.9570091204642869,546
0.585,0.5970695970695971,0.61566143159446,0.969801852819149,546
0.652,0.6813186813186813,0.6900480709595123,0.9873495919948118,546
0.72,0.7435897435897436,0.7504304447558869,0.9908842968539628,546
0.787,0.793040293040293,0.808070546038458,0.9813998257059977,546
