radius,%_gp_captured,%_img_covered,LCPI,total_gp
0.112,0.0347985347985348,0.020413649696343596,1.7046699299815926,546
0.18,0.12637362637362637,0.08350327415720768,1.513397260755413,546
0.247,0.21794871794871795,0.17582449455911658,1.2395810862145726,546
0.315,0.33516483516483514,0.26493527591971694,1.2650819487941642,546
0.382,0.4432234432234432,0.35778660678084717,1.2387927184063883,546
0.45,0.5201465201465202,0.4462805716059508,1.1655145960639988,546
0.517,0.5805860805860806,0.5301161676284561,1.0952053833472166,546
0.585,0.6318681318681318,0.61566143159446,1.0263240466951118,546
0.652,0.6904761904761905,0.6900480709595123,1.0006204198442044,546
0.72,0.7545787545787546,0.7504304447558869,1.0055279071522971,546
0.787,0.793040293040293,0.808070546038458,0.9813998257059977,546
