radius,%_gp_captured,%_img_covered,LCPI,total_gp
0.089,0.012345679012345678,0.021845955837791857,0.5651242318721795,81
0.142,0.037037037037037035,0.04385241297093986,0.844583787477801,81
0.195,0.037037037037037035,0.06577951881711652,0.563048160020891,81
0.249,0.04938271604938271,0.09003008845835185,0.5485134680527086,81
0.302,0.07407407407407407,0.11493048080100109,0.6445120002789447,81
0.355,0.08641975308641975,0.1392482257688704,0.620616547243213,81
0.408,0.08641975308641975,0.15925312105837874,0.5426565740883668,81
0.462,0.08641975308641975,0.177920736158562,0.48572052337622373,81
0.515,0.1111111111111111,0.1931393029484088,0.575290007859203,81
0.568,0.1111111111111111,0.2072941335669642,0.5360070215166887,81
0.622,0.12345679012345678,0.22164799962807977,0.5569948311314085,81
