radius,%_gp_captured,%_img_covered,LCPI,total_gp
0.089,0.2716049382716049,0.25367727838506915,1.0706711298728242,81
0.142,0.43209876543209874,0.500776148289914,0.8628581191569533,81
0.195,0.6296296296296297,0.7122644851035427,0.8839829063470709,81
0.249,0.8888888888888888,0.8572834242563947,1.0368669960694838,81
0.302,0.9382716049382716,0.9303885127562556,1.0084729036031008,81
0.355,0.9629629629629629,0.9677018123916962,0.9951029858908489,81
0.408,0.9876543209876543,0.9833410724475175,1.0043863199260061,81
0.462,0.9876543209876543,0.9916284046337277,0.9959923660642402,81
0.515,1.0,0.9957445710436845,1.0042736150214258,81
0.568,1.0,0.9983205476525578,1.0016822776525949,81
0.622,1.0,0.9998181215924606,1.0001819114933121,81
