X,Y,cluster_id
2515.0,710.0,22
5973.0,3392.0,7
10218.0,6547.0,57
1594.0,575.0,41
9307.0,3761.0,176
2140.0,753.0,73
7964.0,4646.0,125
9225.0,2567.0,103
3532.0,372.0,31
7083.0,3442.0,69
7875.0,2580.0,169
8070.0,4724.0,77
3093.0,596.0,20
8920.0,5567.0,87
9667.0,4746.0,170
5855.0,3260.0,95
3870.0,561.0,8
3165.0,1796.0,159
1925.0,624.0,73
932.0,1051.0,27
1988.0,673.0,73
10483.0,5207.0,40
987.0,1038.0,27
1572.0,582.0,41
5662.0,3112.0,200
283.0,1623.0,142
9076.0,5865.0,148
3128.0,1997.0,161
1058.0,1021.0,27
3228.0,1743.0,30
1861.0,606.0,73
10274.0,5017.0,128
2878.0,2218.0,147
7647.0,2926.0,9
1114.0,1426.0,17
3381.0,1181.0,12
9286.0,3400.0,3
2118.0,743.0,73
9281.0,3427.0,3
2038.0,705.0,73
383.0,1649.0,112
1994.0,674.0,73
2082.0,728.0,73
5956.0,3723.0,156
1976.0,663.0,73
9340.0,3055.0,4
1828.0,601.0,73
6683.0,3587.0,55
8441.0,1714.0,105
8085.0,2316.0,135
1564.0,585.0,41
7138.0,4206.0,153
3611.0,737.0,43
982.0,1042.0,27
9398.0,2781.0,94
523.0,1177.0,114
1089.0,1016.0,27
5890.0,3617.0,26
6007.0,3775.0,182
975.0,1378.0,167
724.0,1071.0,15
1944.0,639.0,73
2005.0,679.0,73
3309.0,1104.0,12
7510.0,3019.0,46
3973.0,517.0,186
8522.0,5369.0,2
7122.0,3369.0,21
10515.0,6805.0,139
3092.0,2281.0,155
9438.0,6107.0,88
9281.0,3445.0,3
9592.0,4572.0,138
2185.0,776.0,73
930.0,1056.0,27
3191.0,433.0,132
1020.0,1032.0,27
2266.0,822.0,73
7122.0,3163.0,109
8072.0,2456.0,34
2267.0,818.0,73
905.0,1061.0,27
1043.0,1025.0,27
8488.0,5260.0,206
7007.0,4186.0,145
2125.0,746.0,73
6061.0,3811.0,157
5735.0,3338.0,39
9638.0,4440.0,29
5779.0,3004.0,76
7860.0,4570.0,190
3249.0,1703.0,30
5907.0,3650.0,26
10287.0,6652.0,164
7635.0,2937.0,9
