og_centroid,closest_centroid,dist,cluster_id
"(10029.333, 6527.667)","(10139.8, 6545.8)",111.945,45
"(10139.8, 6545.8)","(10029.333, 6527.667)",111.945,154
"(7984.667, 2963.333)","(8058.667, 2879.0)",112.197,105
"(8058.667, 2879.0)","(7984.667, 2963.333)",112.197,153
"(9055.0, 3069.333)","(8946.0, 3153.5)",137.714,47
"(8946.0, 3153.5)","(9055.0, 3069.333)",137.714,16
"(8763.667, 1765.333)","(8707.667, 1892.0)",138.493,87
"(8707.667, 1892.0)","(8763.667, 1765.333)",138.493,21
"(8220.0, 2659.0)","(8084.667, 2700.0)",141.408,76
"(8084.667, 2700.0)","(8220.0, 2659.0)",141.408,64
"(7852.0, 3492.25)","(7828.4, 3643.4)",152.981,112
"(7828.4, 3643.4)","(7852.0, 3492.25)",152.981,100
"(8414.667, 2325.0)","(8571.0, 2414.0)",179.892,34
"(8571.0, 2414.0)","(8414.667, 2325.0)",179.892,167
"(8771.0, 3088.0)","(8946.0, 3153.5)",186.856,52
"(7639.333, 3461.667)","(7852.0, 3492.25)",214.854,210
"(6857.0, 3999.667)","(6646.667, 4071.333)",222.208,82
"(6646.667, 4071.333)","(6857.0, 3999.667)",222.208,145
"(6429.667, 3993.0)","(6646.667, 4071.333)",230.706,33
"(9001.0, 2167.333)","(8784.5, 2255.5)",233.764,143
"(8784.5, 2255.5)","(9001.0, 2167.333)",233.764,43
"(9243.4, 5694.0)","(9427.333, 5848.0)",239.891,3
"(9427.333, 5848.0)","(9243.4, 5694.0)",239.891,226
"(8043.2, 3205.4)","(7984.667, 2963.333)",249.043,23
"(7428.667, 3327.0)","(7639.333, 3461.667)",250.031,70
"(8437.6, 2783.4)","(8220.0, 2659.0)",250.649,51
"(9925.5, 5652.5)","(10164.333, 5737.0)",253.341,25
"(10164.333, 5737.0)","(9925.5, 5652.5)",253.341,181
"(8049.286, 4310.286)","(7855.667, 4143.0)",255.877,14
"(7855.667, 4143.0)","(8049.286, 4310.286)",255.877,12
"(9529.0, 4514.0)","(9304.75, 4642.5)",258.458,55
"(9304.75, 4642.5)","(9529.0, 4514.0)",258.458,40
"(7354.0, 3848.667)","(7407.75, 4110.25)",267.049,50
"(7407.75, 4110.25)","(7354.0, 3848.667)",267.049,2
"(9687.333, 5018.667)","(9470.667, 5175.333)",267.374,15
"(9470.667, 5175.333)","(9687.333, 5018.667)",267.374,26
"(8052.143, 4588.857)","(8049.286, 4310.286)",278.586,13
"(7712.0, 3061.0)","(7984.667, 2963.333)",289.631,46
"(8792.5, 2628.25)","(8571.0, 2414.0)",308.164,4
"(10005.333, 6218.0)","(10029.333, 6527.667)",310.595,29
"(8406.333, 3178.889)","(8043.2, 3205.4)",364.1,28
"(8213.667, 3598.0)","(7852.0, 3492.25)",376.81,20
"(6696.0, 3656.0)","(6857.0, 3999.667)",379.51,104
"(9027.667, 3567.333)","(8946.0, 3153.5)",421.814,37
"(8903.0, 4830.667)","(9304.75, 4642.5)",443.632,344
"(8975.222, 5300.667)","(8903.0, 4830.667)",475.517,1
"(8433.667, 4938.667)","(8903.0, 4830.667)",481.599,17
"(10528.667, 6136.667)","(10005.333, 6218.0)",529.616,102
"(8866.333, 4074.667)","(9027.667, 3567.333)",532.368,109
"(5943.667, 3598.667)","(6429.667, 3993.0)",625.855,80
