og_centroid,closest_centroid,dist,cluster_id
"(2648.333, 1351.667)","(2708.56, 1304.56)",76.461,109
"(2708.56, 1304.56)","(2648.333, 1351.667)",76.461,5
"(2735.386, 1707.432)","(2779.333, 1627.333)",91.362,0
"(2779.333, 1627.333)","(2735.386, 1707.432)",91.362,46
"(8004.333, 3380.5)","(7923.667, 3429.0)",94.124,114
"(7923.667, 3429.0)","(8004.333, 3380.5)",94.124,55
"(2874.667, 1622.333)","(2779.333, 1627.333)",95.464,108
"(8393.0, 4914.0)","(8316.0, 4856.8)",95.921,61
"(8316.0, 4856.8)","(8393.0, 4914.0)",95.921,47
"(3262.4, 796.6)","(3289.5, 693.25)",106.844,6
"(3289.5, 693.25)","(3262.4, 796.6)",106.844,100
"(2608.176, 996.882)","(2683.636, 917.909)",109.229,28
"(2683.636, 917.909)","(2608.176, 996.882)",109.229,27
"(7334.286, 3321.714)","(7217.4, 3292.0)",120.604,22
"(7217.4, 3292.0)","(7334.286, 3321.714)",120.604,45
"(2339.75, 1919.0)","(2385.0, 1806.667)",121.105,52
"(2385.0, 1806.667)","(2339.75, 1919.0)",121.105,20
"(8628.333, 3010.333)","(8754.0, 2973.667)",130.907,82
"(8754.0, 2973.667)","(8628.333, 3010.333)",130.907,57
"(8170.0, 3273.5)","(8298.333, 3198.667)",148.558,118
"(8298.333, 3198.667)","(8170.0, 3273.5)",148.558,50
"(2490.0, 1932.75)","(2339.75, 1919.0)",150.878,37
"(9152.625, 3436.75)","(9243.615, 3311.462)",154.843,43
"(9243.615, 3311.462)","(9152.625, 3436.75)",154.843,10
"(8812.4, 2799.4)","(8964.333, 2755.833)",158.056,39
"(8964.333, 2755.833)","(8812.4, 2799.4)",158.056,38
"(2965.875, 1492.583)","(2874.667, 1622.333)",158.6,58
"(3435.0, 516.0)","(3522.2, 650.6)",160.378,42
"(3522.2, 650.6)","(3435.0, 516.0)",160.378,112
"(8500.6, 2892.2)","(8345.333, 2960.167)",169.491,17
"(8345.333, 2960.167)","(8500.6, 2892.2)",169.491,96
"(3273.2, 465.0)","(3435.0, 516.0)",169.647,48
"(8169.5, 2992.5)","(8345.333, 2960.167)",178.781,101
"(2828.7, 1900.0)","(2991.1, 1825.1)",178.84,60
"(2991.1, 1825.1)","(2828.7, 1900.0)",178.84,21
"(2752.133, 1129.6)","(2708.56, 1304.56)",180.304,13
"(8751.667, 3864.833)","(8937.75, 3846.5)",186.984,30
"(8937.75, 3846.5)","(8751.667, 3864.833)",186.984,56
"(3101.733, 654.4)","(3289.5, 693.25)",191.744,23
"(8361.312, 2461.062)","(8244.857, 2305.286)",194.495,3
"(8244.857, 2305.286)","(8361.312, 2461.062)",194.495,29
"(8349.4, 2657.0)","(8361.312, 2461.062)",196.299,54
"(9260.263, 3114.263)","(9243.615, 3311.462)",197.9,1
"(8489.4, 3264.8)","(8298.333, 3198.667)",202.188,7
"(7359.833, 3111.5)","(7334.286, 3321.714)",211.761,59
"(8733.0, 3467.158)","(8814.25, 3249.5)",232.328,18
"(8814.25, 3249.5)","(8733.0, 3467.158)",232.328,65
"(8198.333, 4643.5)","(8316.0, 4856.8)",243.603,110
"(8617.6, 1813.0)","(8746.875, 1604.875)",245.006,9
"(8746.875, 1604.875)","(8617.6, 1813.0)",245.006,77
"(1654.0, 760.333)","(1436.75, 888.75)",252.366,12
"(1436.75, 888.75)","(1654.0, 760.333)",252.366,26
"(8977.867, 5434.267)","(8681.25, 5442.75)",296.738,25
"(8681.25, 5442.75)","(8977.867, 5434.267)",296.738,15
"(5717.667, 3113.333)","(5900.667, 3355.667)",303.668,14
"(5900.667, 3355.667)","(5717.667, 3113.333)",303.668,72
"(7676.0, 3624.333)","(7923.667, 3429.0)",315.427,78
"(9355.667, 2774.667)","(9260.263, 3114.263)",352.743,51
"(8963.769, 1891.846)","(8617.6, 1813.0)",355.035,83
"(3179.0, 1194.333)","(2965.875, 1492.583)",366.572,80
"(3109.882, 2203.824)","(2991.1, 1825.1)",396.914,53
"(2198.0, 900.75)","(2608.176, 996.882)",421.291,113
"(9141.821, 5935.893)","(9578.2, 6094.0)",464.138,120
"(9578.2, 6094.0)","(9141.821, 5935.893)",464.138,33
"(1394.0, 1755.667)","(1895.667, 1527.0)",551.324,88
"(1895.667, 1527.0)","(1394.0, 1755.667)",551.324,35
"(10233.846, 5512.231)","(10314.0, 6085.667)",579.011,36
"(10314.0, 6085.667)","(10233.846, 5512.231)",579.011,107
"(9799.25, 5094.0)","(10233.846, 5512.231)",603.151,19
"(7746.5, 4241.25)","(8198.333, 4643.5)",604.945,32
"(6760.667, 3795.0)","(7217.4, 3292.0)",679.422,115
"(359.0, 1514.0)","(1394.0, 1755.667)",1062.839,8
