X,Y,cluster_id
9.61,5.571,188
1.519,1.018,384
2.241,1.139,310
9.454,3.829,513
1.07,1.376,319
10.369,6.865,313
3.678,1.146,273
11.047,6.928,68
3.244,1.534,3
11.289,6.718,10
8.87,4.91,112
9.991,4.183,110
1.946,1.9,56
1.355,1.404,233
3.144,2.246,139
8.757,5.011,494
8.726,4.017,499
3.323,2.316,413
9.951,2.633,24
3.074,1.577,302
1.924,1.445,266
2.162,1.247,465
10.445,4.228,350
8.603,4.225,80
1.522,1.11,366
9.268,5.375,19
10.786,5.127,265
7.947,3.97,287
10.908,6.343,417
1.603,1.152,481
9.453,3.505,318
9.548,3.325,485
7.075,4.233,501
9.735,6.127,70
2.771,1.046,332
9.794,2.417,470
9.487,3.629,6
1.349,1.45,233
3.103,1.496,479
10.465,3.053,399
8.728,3.27,256
10.857,6.262,12
11.587,5.956,67
8.876,3.012,98
10.677,6.715,7
0.316,1.907,328
9.556,5.87,303
6.382,3.567,439
10.179,2.142,444
8.601,4.468,278
10.784,6.144,346
0.709,1.431,4
9.701,6.094,70
10.216,4.097,429
10.9,5.647,437
3.442,2.348,474
8.748,3.426,189
8.73,4.648,15
11.177,6.342,482
11.454,6.882,28
10.032,2.681,414
9.282,2.348,122
11.655,6.053,475
9.165,3.237,375
8.962,4.132,495
9.57,5.556,188
3.349,1.168,340
10.44,5.663,338
3.532,2.351,133
1.612,1.984,487
9.903,3.189,463
7.534,4.412,453
10.917,6.265,12
9.161,4.199,111
9.679,5.352,26
9.229,3.848,457
9.614,3.84,349
10.281,3.235,31
9.103,3.792,461
3.843,0.857,378
8.334,3.753,411
9.668,2.954,339
8.39,4.649,269
11.927,7.008,447
0.562,1.588,387
3.544,0.642,224
8.017,4.225,25
9.334,2.349,122
9.106,2.951,370
2.398,2.145,92
9.939,2.654,24
9.227,5.317,19
4.344,0.607,451
11.579,5.774,497
9.526,4.027,502
9.907,3.92,280
10.1,5.94,337
0.376,1.922,510
8.263,4.667,87
10.585,5.679,37
0.676,1.243,432
1.524,1.442,383
8.881,3.135,425
2.738,1.386,409
9.974,4.647,379
10.148,4.421,262
3.515,2.369,133
10.619,5.525,39
8.142,3.807,293
9.377,2.636,23
0.669,1.476,4
2.892,1.789,299
9.772,4.463,145
9.911,1.695,335
1.984,1.885,56
2.211,1.494,401
9.349,2.672,23
10.137,4.168,138
10.407,6.166,86
8.276,3.602,507
3.615,0.837,174
0.794,1.276,60
10.224,3.263,31
10.426,5.16,11
2.093,1.13,22
9.012,3.54,300
8.303,4.458,13
10.117,6.072,275
11.505,6.165,389
9.424,5.488,57
8.587,4.222,80
9.773,5.614,508
3.146,1.22,261
1.429,0.911,279
10.298,2.772,48
10.439,4.045,231
2.848,2.443,388
10.368,5.156,11
9.589,3.978,424
10.736,6.39,52
2.358,1.064,27
8.942,3.629,331
3.403,1.09,426
11.046,6.975,68
7.764,4.238,476
11.766,6.123,327
1.262,1.542,281
10.427,3.404,415
11.326,6.398,35
8.949,3.316,54
9.858,2.945,222
10.089,4.786,40
9.271,2.901,0
9.433,5.061,264
8.645,4.321,434
9.3,4.913,109
9.92,3.445,376
2.015,1.706,79
1.507,1.53,46
0.593,1.386,116
10.364,6.04,449
6.615,4.014,377
11.382,7.438,354
9.538,2.597,288
10.033,3.66,118
10.146,2.508,433
9.297,3.362,359
9.787,2.832,53
9.448,3.642,6
1.911,1.606,292
10.076,2.56,390
1.897,1.944,56
3.177,0.877,511
8.188,3.715,91
10.327,2.8,48
2.249,0.879,283
9.448,2.573,141
9.792,1.937,206
10.652,5.088,307
10.304,5.726,32
9.451,5.66,345
2.364,2.123,92
9.882,3.088,125
9.97,6.089,334
7.082,4.413,343
0.682,1.38,4
9.574,5.202,270
2.377,1.971,395
2.231,1.746,469
11.857,6.709,445
10.582,6.478,106
8.241,4.676,87
11.274,6.35,234
3.711,0.498,403
9.895,2.88,446
3.877,0.864,378
2.053,2.196,95
9.553,2.503,314
9.154,2.866,17
10.714,6.673,7
8.976,2.894,374
9.493,5.506,468
1.964,1.265,214
10.782,5.883,333
10.858,6.539,47
6.745,3.415,483
10.769,6.855,407
9.234,4.736,480
10.272,3.702,382
8.909,3.015,98
9.506,2.187,276
3.027,1.621,498
9.269,3.787,243
10.11,3.623,118
1.912,2.074,58
2.011,0.847,423
3.087,0.895,361
7.584,4.636,38
9.821,2.854,53
8.576,4.024,93
11.092,6.206,246
10.246,5.273,30
11.358,6.466,472
2.258,0.974,172
7.22,4.169,325
8.049,4.262,25
8.769,3.526,342
7.74,4.304,66
7.9,4.237,462
8.818,3.328,285
10.071,3.636,118
11.576,6.115,309
8.213,4.1,368
9.703,2.26,216
10.568,5.677,37
9.422,3.696,6
9.441,4.378,471
3.405,1.408,493
1.452,1.645,46
10.98,6.045,82
2.321,1.001,240
9.09,3.863,2
2.659,1.027,259
2.169,2.227,405
9.555,3.736,373
10.237,4.006,348
3.678,1.044,308
9.246,2.763,282
10.451,4.054,231
3.124,1.342,295
10.226,6.082,459
1.476,1.576,46
9.271,5.351,19
