X,Y,cluster_id
9.206,2.525,29
9.351,5.436,15
1.563,1.983,43
3.225,1.82,88
3.227,1.831,88
0.388,1.67,9
0.464,1.498,119
9.882,3.841,8
9.176,3.363,101
3.235,1.957,61
3.728,0.535,48
1.573,0.948,6
3.58,0.499,48
10.021,6.101,25
3.646,0.887,13
9.86,1.796,38
0.37,1.694,9
3.029,1.258,28
9.876,3.834,8
3.227,1.966,61
9.852,1.785,38
10.49,3.494,0
10.376,3.705,10
3.247,1.833,88
10.408,3.568,0
3.399,2.057,54
9.691,2.06,19
10.371,3.683,10
7.603,4.284,115
10.107,2.162,83
7.449,4.057,103
10.275,6.641,120
9.366,5.48,15
3.593,0.851,13
3.654,0.485,48
8.691,4.759,32
9.551,3.225,17
0.436,1.742,9
3.388,0.747,23
10.411,3.68,10
9.169,5.22,45
0.381,1.725,9
1.884,0.856,12
10.4,3.593,0
2.958,1.132,118
3.593,0.864,13
7.936,4.439,109
1.658,0.999,6
9.407,2.979,110
3.017,0.98,27
9.395,2.77,4
3.677,0.475,48
0.444,1.66,9
3.577,2.548,52
10.227,6.519,120
3.218,1.98,61
3.637,0.567,48
2.969,1.836,7
3.908,0.793,49
9.203,5.23,45
3.935,0.741,49
2.986,0.82,73
1.538,1.255,107
10.325,6.792,120
9.481,5.484,122
1.548,1.952,43
3.279,1.829,88
8.724,4.782,32
8.408,3.662,121
9.784,6.137,33
2.732,1.674,31
9.792,6.127,33
10.341,6.731,120
9.42,5.508,125
1.593,1.99,43
8.249,3.721,22
3.487,0.721,23
2.444,1.023,111
3.235,1.587,58
3.568,0.769,23
3.023,1.442,5
1.661,0.972,6
9.187,5.204,45
8.449,4.702,69
9.423,3.32,96
3.686,0.788,100
3.859,0.578,102
3.694,0.491,48
3.122,0.989,82
7.848,4.622,1
9.844,3.985,8
3.098,1.455,5
9.728,6.138,33
7.823,4.568,1
3.598,0.883,13
3.525,0.742,23
10.123,6.153,25
3.559,2.556,52
3.197,2.175,60
10.327,3.881,21
1.589,1.049,6
3.042,1.075,27
10.357,6.741,120
9.185,3.364,101
3.211,1.828,88
2.876,1.345,5
1.694,0.963,6
8.883,3.857,112
8.116,3.712,46
9.337,5.399,15
10.258,6.727,120
10.104,6.028,25
10.314,6.722,120
3.627,0.892,13
2.976,1.272,28
3.572,2.53,52
10.239,6.54,120
6.413,3.525,14
3.582,0.717,23
2.965,1.944,7
6.736,4.037,62
10.402,3.705,10
3.291,1.963,61
8.25,3.671,22
6.739,4.078,62
3.574,1.312,76
3.616,1.333,76
3.398,2.07,54
3.525,0.686,23
9.936,5.665,24
3.177,1.976,61
3.718,0.546,48
9.404,2.758,4
3.46,1.759,58
3.144,1.916,61
3.658,0.851,13
3.726,0.938,13
10.503,3.477,0
3.554,1.312,76
3.538,0.679,23
8.114,4.336,41
10.262,6.536,120
3.051,1.06,27
3.522,0.765,23
3.569,2.488,52
9.277,5.24,45
3.65,0.508,48
1.873,0.87,12
8.797,3.782,113
3.732,0.514,48
2.119,1.721,35
3.702,0.523,48
9.257,5.227,45
3.714,0.792,100
10.303,6.675,120
8.265,3.467,59
3.727,0.775,100
1.579,1.089,6
3.001,1.394,5
2.964,1.857,7
3.432,0.738,23
10.366,6.766,120
3.116,1.554,5
3.679,0.968,13
3.539,2.487,52
3.045,1.149,118
8.239,3.79,22
8.254,3.459,59
0.404,1.727,9
1.565,0.98,6
9.359,5.493,15
3.187,1.286,28
3.026,1.271,28
3.675,0.764,100
2.991,1.431,5
2.969,1.418,5
11.018,5.696,39
10.539,3.141,34
10.177,6.047,25
7.594,4.266,115
3.009,1.014,27
2.125,1.704,35
9.239,5.221,45
3.368,2.055,54
2.686,2.014,20
3.127,1.844,80
10.398,3.684,10
1.982,1.76,66
1.824,0.84,12
3.918,0.771,49
3.237,1.6,58
3.11,1.915,61
2.884,1.138,118
3.141,1.833,80
8.136,3.714,46
9.459,2.738,4
3.611,0.492,48
3.686,0.556,48
10.131,6.134,25
10.263,6.559,120
3.211,1.808,88
9.441,5.532,125
3.031,1.29,28
7.748,4.357,123
2.869,1.093,118
10.136,6.08,25
8.39,3.439,92
3.615,0.872,13
4.007,0.706,49
8.155,3.479,99
3.132,1.937,61
3.168,1.947,61
10.074,2.064,83
2.957,1.817,7
3.391,0.803,23
3.023,1.137,118
1.61,0.997,6
3.46,1.742,58
10.025,6.088,25
8.25,3.758,22
2.985,1.875,7
10.369,3.509,0
3.117,1.931,61
10.252,6.701,120
2.915,1.396,5
3.754,0.907,13
2.926,1.928,7
8.091,3.709,46
3.566,1.324,76
10.099,2.151,83
3.948,0.693,49
9.82,1.798,38
2.826,2.157,37
3.688,0.884,13
2.654,2.052,20
8.251,3.5,59
6.622,3.785,72
3.1,1.058,27
6.653,3.786,72
6.478,3.784,70
8.631,4.071,18
8.219,3.753,22
8.689,4.777,32
8.927,3.845,112
9.829,3.974,8
3.977,0.699,49
3.108,1.512,5
2.956,1.031,27
2.964,1.885,7
3.117,1.476,5
8.092,3.687,46
3.162,1.96,61
9.415,3.017,110
3.568,1.35,76
3.532,0.723,23
3.326,1.661,58
9.462,5.543,125
10.217,6.62,120
2.709,2.03,20
10.422,3.703,10
2.807,2.177,37
9.271,2.572,29
9.755,6.123,33
2.92,1.009,27
2.988,1.029,27
8.279,3.693,22
2.475,1.034,111
3.608,2.503,52
10.087,3.099,16
9.449,2.73,4
2.956,0.818,73
11.488,6.215,36
3.926,0.704,49
3.162,2.133,60
10.077,6.101,25
3.174,2.146,60
3.1,1.598,5
10.459,3.499,0
8.628,3.377,87
3.627,1.354,76
10.263,6.637,120
8.38,3.459,92
2.931,1.091,118
9.869,3.352,84
10.236,6.646,120
10.806,6.857,67
3.595,1.406,76
11.511,6.233,36
3.036,0.991,27
3.311,1.652,58
8.205,3.543,114
9.234,2.513,29
3.753,0.929,13
9.959,5.89,42
11.092,6.589,63
2.88,1.083,118
3.845,0.594,102
10.377,3.722,10
11.501,6.287,36
2.469,1.005,111
9.38,3.337,96
9.373,2.98,110
2.994,1.507,108
9.937,3.15,79
9.765,3.928,8
9.015,3.812,56
3.49,0.708,23
3.214,1.96,61
2.501,0.989,111
9.386,2.787,4
11.043,5.74,39
3.193,1.994,61
9.79,6.149,33
3.043,1.18,118
3.291,1.614,58
3.075,1.27,28
8.285,3.489,59
2.638,2.148,53
11.617,6.868,26
3.013,1.03,27
10.284,6.684,120
3.353,1.668,58
3.149,2.094,60
3.507,2.446,52
3.209,1.585,58
9.688,2.022,19
9.359,5.51,15
3.112,1.285,28
10.223,6.65,120
3.435,2.461,52
3.559,1.336,76
8.467,3.489,105
9.931,3.633,65
10.788,6.883,67
2.965,1.403,5
3.086,1.415,5
8.158,3.693,46
9.447,2.759,4
10.443,3.448,0
2.779,1.014,98
3.074,1.079,27
3.792,0.46,2
10.266,3.89,21
8.929,3.869,112
11.538,6.217,36
8.47,4.05,74
3.648,0.543,48
9.269,2.704,29
6.637,3.754,72
11.535,6.116,36
9.92,3.106,79
3.086,2.075,116
9.785,3.946,8
2.962,1.156,118
9.359,2.75,4
8.752,4.766,32
3.053,1.378,5
9.717,6.132,33
3.183,2.127,60
10.519,3.495,0
10.072,4.535,93
10.298,6.819,120
3.42,1.781,58
3.778,0.548,48
10.747,6.872,67
10.354,6.774,120
9.569,3.285,17
2.984,1.519,108
9.379,2.773,4
8.678,4.071,18
9.416,2.877,4
3.282,1.706,58
3.114,1.945,61
3.991,0.734,49
2.782,0.996,98
3.993,0.584,44
9.798,3.926,8
3.2,1.943,61
10.16,6.139,25
3.117,1.603,5
9.829,1.78,38
10.994,5.725,39
2.153,1.728,35
9.942,5.854,42
8.595,4.089,18
3.612,1.373,76
3.371,2.015,54
3.883,0.557,102
3.336,1.647,58
11.454,6.24,36
3.223,2.164,60
10.041,2.207,83
3.843,0.49,2
10.074,6.173,25
3.149,1.553,5
10.394,3.528,0
2.55,2.107,106
3.485,2.469,52
9.321,2.657,29
2.919,1.916,7
3.362,1.966,54
9.148,3.692,47
9.885,3.894,8
9.883,4.982,95
9.822,1.827,38
3.13,1.912,61
2.975,1.149,118
3.196,1.976,61
3.588,1.365,76
3.348,2.35,85
11.618,6.843,26
2.65,2.163,53
4.039,0.731,49
9.305,3.689,124
9.699,3.378,40
3.539,1.326,76
10.088,6.146,25
8.263,3.77,22
11.48,6.158,36
8.985,3.254,57
9.278,2.505,29
3.209,1.312,28
2.897,1.163,118
3.868,0.592,102
2.979,1.115,118
3.092,1.517,5
9.435,2.719,4
3.162,1.226,28
3.727,0.882,13
11.075,6.61,63
3.111,0.971,82
10.195,6.099,25
8.308,3.521,59
2.858,1.043,118
3.023,2.004,7
3.719,0.901,13
3.067,1.37,5
6.458,3.503,14
3.456,2.458,52
2.9,1.887,7
10.321,6.808,120
3.369,1.642,58
10.096,3.072,16
3.407,0.721,23
9.831,3.84,8
10.093,3.13,16
9.768,3.898,8
2.857,1.48,104
9.595,3.237,17
3.972,0.75,49
10.307,3.885,21
2.96,1.103,118
9.474,3.94,71
2.924,1.901,7
3.015,1.889,7
10.257,6.139,64
3.112,1.49,5
3.424,1.75,58
11.903,6.697,91
3.033,1.86,7
3.217,1.631,58
9.857,2.813,11
9.383,2.969,110
11.541,6.158,36
9.736,3.132,68
3.444,1.774,58
3.411,2.414,52
10.308,3.868,21
3.519,2.514,52
3.961,0.589,44
3.378,1.729,58
3.424,1.721,58
10.472,3.208,89
9.807,2.842,11
9.699,3.404,40
2.837,1.095,118
3.206,1.914,61
9.324,3.594,50
9.718,3.377,40
3.243,1.944,61
9.676,2.01,19
3.148,2.076,60
3.179,1.527,5
9.007,3.851,56
9.392,3.309,96
9.809,3.449,86
3.33,1.728,58
9.368,3.346,96
9.364,3.589,50
3.369,2.435,52
3.145,1.302,28
3.581,0.758,23
10.063,2.1,83
10.262,3.833,21
2.838,1.389,5
3.315,1.698,58
10.795,6.821,67
10.026,6.148,25
11.546,6.196,36
10.31,6.701,120
10.305,3.823,21
10.099,2.107,83
7.618,4.257,115
10.493,3.392,0
3.291,1.636,58
10.43,3.724,10
9.747,6.086,33
3.13,1.964,61
3.001,1.982,7
9.206,3.346,101
2.985,1.834,7
10.289,3.816,21
3.48,1.743,58
9.537,3.701,3
9.421,2.772,4
3.735,0.565,48
3.05,1.9,7
9.868,1.808,38
1.966,1.763,66
3.353,2.034,54
9.887,3.16,79
10.035,4.282,55
9.295,3.711,124
3.209,1.599,58
11.541,6.08,36
9.335,2.612,29
11.036,5.758,39
2.914,1.365,5
3.669,0.935,13
10.066,4.359,55
3.367,0.765,23
10.123,2.101,83
10.354,3.59,0
9.737,3.177,68
3.041,1.357,5
9.602,3.649,3
2.897,1.86,7
9.413,3.346,96
9.316,3.611,50
8.642,3.367,87
9.297,2.628,29
9.016,3.235,57
2.897,1.905,7
3.363,2.106,54
10.4,3.482,0
9.026,3.79,56
9.811,3.842,8
9.871,4.305,30
9.889,4.352,30
10.224,6.487,120
9.935,5.615,24
11.571,6.824,26
3.597,2.514,52
9.538,3.245,17
3.047,1.875,7
3.004,1.277,28
8.988,3.812,56
9.247,2.583,29
9.191,3.656,47
2.775,2.202,37
9.798,3.958,8
9.31,2.752,4
11.46,6.198,36
2.842,1.078,118
3.438,2.409,52
9.826,4.398,30
3.322,2.054,54
6.423,3.478,14
10.269,6.751,120
3.111,1.815,80
8.432,3.647,121
9.787,3.464,86
9.4,3.114,78
10.17,3.659,97
9.435,2.702,4
9.349,3.32,96
3.268,1.639,58
9.298,2.611,29
2.606,2.153,53
3.223,2.148,60
10.112,3.071,16
3.37,2.09,54
10.127,6.068,25
9.841,3.358,84
9.828,3.96,8
3.513,1.332,76
9.862,3.837,8
9.823,4.334,30
2.729,1.635,31
2.976,1.812,7
3.09,1.25,28
10.266,6.597,120
9.556,3.275,17
3.453,1.29,51
10.053,4.346,55
2.463,1.599,117
2.958,1.534,108
10.3,3.931,21
8.471,4.676,69
9.85,1.86,38
9.788,3.886,8
