og_centroid,closest_centroid,dist,cluster_id
"(10.617, 6.342)","(10.553, 6.498)",0.168,20
"(10.553, 6.498)","(10.617, 6.342)",0.168,106
"(9.652, 5.383)","(9.58, 5.564)",0.194,26
"(9.58, 5.564)","(9.652, 5.383)",0.194,188
"(11.47, 6.89)","(11.329, 6.736)",0.209,28
"(11.329, 6.736)","(11.47, 6.89)",0.209,10
"(9.274, 4.937)","(9.447, 4.732)",0.269,109
"(9.447, 4.732)","(9.274, 4.937)",0.269,115
"(10.91, 6.253)","(10.857, 6.548)",0.299,12
"(10.857, 6.548)","(10.91, 6.253)",0.299,47
"(9.799, 2.859)","(9.962, 2.605)",0.302,53
"(9.962, 2.605)","(9.799, 2.859)",0.302,24
"(9.801, 2.275)","(9.962, 2.605)",0.368,232
"(11.266, 6.348)","(10.91, 6.253)",0.369,234
"(10.302, 2.764)","(9.962, 2.605)",0.375,48
"(9.255, 5.348)","(9.58, 5.564)",0.39,19
"(9.857, 1.858)","(9.801, 2.275)",0.421,5
"(8.99, 4.623)","(9.274, 4.937)",0.424,49
"(10.071, 3.64)","(10.253, 3.247)",0.433,118
"(10.253, 3.247)","(10.071, 3.64)",0.433,31
"(9.382, 2.669)","(9.799, 2.859)",0.458,23
"(8.585, 4.221)","(8.017, 4.252)",0.57,80
"(8.017, 4.252)","(8.585, 4.221)",0.57,25
"(1.948, 1.918)","(1.479, 1.587)",0.574,56
"(1.479, 1.587)","(1.948, 1.918)",0.574,46
"(8.96, 3.344)","(9.452, 3.656)",0.583,54
"(9.452, 3.656)","(8.96, 3.344)",0.583,6
"(8.175, 3.678)","(8.017, 4.252)",0.596,91
"(11.508, 7.507)","(11.47, 6.89)",0.618,59
"(10.086, 4.781)","(9.447, 4.732)",0.641,40
"(10.567, 5.686)","(10.617, 6.342)",0.658,37
"(0.693, 1.383)","(1.479, 1.587)",0.812,4
"(2.393, 1.109)","(1.948, 1.918)",0.924,27
"(3.206, 1.559)","(2.393, 1.109)",0.93,3
"(2.74, 2.448)","(1.948, 1.918)",0.953,14
"(3.537, 0.623)","(3.206, 1.559)",0.993,224
