og_centroid,closest_centroid,dist,cluster_id
"(3.047, 1.468)","(2.979, 1.52)",0.086,5
"(2.979, 1.52)","(3.047, 1.468)",0.086,108
"(9.004, 3.802)","(8.913, 3.857)",0.106,56
"(8.913, 3.857)","(9.004, 3.802)",0.106,112
"(3.233, 1.825)","(3.126, 1.831)",0.107,88
"(3.126, 1.831)","(3.233, 1.825)",0.107,80
"(9.354, 5.463)","(9.441, 5.528)",0.108,15
"(9.441, 5.528)","(9.354, 5.463)",0.108,125
"(3.67, 0.896)","(3.7, 0.78)",0.12,13
"(3.7, 0.78)","(3.67, 0.896)",0.12,100
"(2.934, 1.121)","(3.019, 1.033)",0.123,118
"(3.019, 1.033)","(2.934, 1.121)",0.123,27
"(3.185, 1.95)","(3.126, 1.831)",0.133,61
"(8.119, 3.703)","(8.25, 3.736)",0.135,46
"(8.25, 3.736)","(8.119, 3.703)",0.135,22
"(2.632, 2.158)","(2.683, 2.032)",0.136,53
"(2.683, 2.032)","(2.632, 2.158)",0.136,20
"(9.706, 3.386)","(9.847, 3.345)",0.148,40
"(9.847, 3.345)","(9.706, 3.386)",0.148,84
"(9.335, 3.598)","(9.191, 3.682)",0.167,50
"(9.191, 3.682)","(9.335, 3.598)",0.167,47
"(2.969, 1.891)","(3.126, 1.831)",0.168,7
"(2.801, 2.174)","(2.632, 2.158)",0.17,37
"(10.398, 3.725)","(10.295, 3.866)",0.174,10
"(10.295, 3.866)","(10.398, 3.725)",0.174,21
"(9.913, 3.149)","(10.083, 3.1)",0.178,79
"(10.083, 3.1)","(9.913, 3.149)",0.178,16
"(3.336, 1.679)","(3.233, 1.825)",0.179,58
"(3.864, 0.58)","(3.962, 0.732)",0.181,102
"(3.962, 0.732)","(3.864, 0.58)",0.181,49
"(3.182, 2.137)","(3.185, 1.95)",0.187,60
"(9.388, 3.33)","(9.562, 3.253)",0.19,96
"(9.562, 3.253)","(9.388, 3.33)",0.19,17
"(3.682, 0.523)","(3.864, 0.58)",0.191,48
"(3.364, 2.053)","(3.182, 2.137)",0.201,54
"(9.189, 3.366)","(9.388, 3.33)",0.201,101
"(3.096, 1.27)","(3.047, 1.468)",0.203,28
"(9.844, 4.347)","(10.054, 4.327)",0.21,30
"(10.054, 4.327)","(9.844, 4.347)",0.21,55
"(3.489, 0.736)","(3.7, 0.78)",0.216,23
"(9.405, 2.768)","(9.274, 2.593)",0.219,4
"(9.274, 2.593)","(9.405, 2.768)",0.219,29
"(9.392, 2.989)","(9.405, 2.768)",0.221,110
"(10.416, 3.503)","(10.398, 3.725)",0.223,0
"(9.55, 3.672)","(9.335, 3.598)",0.227,3
"(8.279, 3.5)","(8.25, 3.736)",0.238,59
"(9.823, 3.9)","(9.915, 3.655)",0.262,8
"(9.915, 3.655)","(9.823, 3.9)",0.262,65
"(9.222, 5.223)","(9.354, 5.463)",0.274,45
"(9.839, 1.805)","(9.694, 2.039)",0.276,38
"(9.694, 2.039)","(9.839, 1.805)",0.276,19
"(1.616, 1.0)","(1.861, 0.855)",0.284,6
"(1.861, 0.855)","(1.616, 1.0)",0.284,12
"(9.765, 6.122)","(10.099, 6.113)",0.334,33
"(10.099, 6.113)","(9.765, 6.122)",0.334,25
"(6.432, 3.502)","(6.637, 3.775)",0.342,14
"(6.637, 3.775)","(6.432, 3.502)",0.342,72
"(8.635, 4.077)","(8.913, 3.857)",0.355,18
"(10.524, 3.121)","(10.416, 3.503)",0.397,34
"(10.083, 2.128)","(9.694, 2.039)",0.399,83
"(3.576, 1.343)","(3.336, 1.679)",0.412,76
"(3.498, 2.479)","(3.364, 2.053)",0.446,52
"(2.473, 1.013)","(2.934, 1.121)",0.474,111
"(10.774, 6.855)","(10.283, 6.677)",0.522,67
"(10.283, 6.677)","(10.774, 6.855)",0.522,120
"(2.132, 1.718)","(1.568, 1.975)",0.62,35
"(1.568, 1.975)","(2.132, 1.718)",0.62,43
"(11.512, 6.201)","(11.602, 6.845)",0.651,36
"(11.602, 6.845)","(11.512, 6.201)",0.651,26
"(11.023, 5.73)","(11.512, 6.201)",0.679,39
"(8.714, 4.771)","(9.222, 5.223)",0.68,32
"(7.605, 4.269)","(8.119, 3.703)",0.764,115
"(0.404, 1.703)","(1.568, 1.975)",1.195,9
