X,Y,cluster_id
8184.0,2245.0,29
8313.0,4833.0,47
1390.0,1763.0,88
2867.0,1618.0,108
2869.0,1628.0,108
345.0,1485.0,8
413.0,1331.0,119
8785.0,3415.0,18
8158.0,2990.0,101
2876.0,1740.0,0
3315.0,475.0,48
1398.0,843.0,26
3182.0,444.0,48
8908.0,5424.0,25
3242.0,788.0,6
8766.0,1596.0,77
329.0,1506.0,8
2693.0,1119.0,13
8780.0,3408.0,18
2869.0,1748.0,0
8759.0,1587.0,77
9326.0,3106.0,1
9225.0,3294.0,10
2887.0,1629.0,108
9253.0,3172.0,1
3022.0,1829.0,21
8615.0,1831.0,9
9220.0,3274.0,10
6759.0,3808.0,115
8985.0,1922.0,83
6623.0,3607.0,103
9134.0,5904.0,120
8326.0,4871.0,47
3195.0,756.0,6
3248.0,431.0,48
7726.0,4231.0,32
8490.0,2867.0,17
387.0,1548.0,8
3012.0,664.0,23
9255.0,3271.0,10
8151.0,4640.0,110
339.0,1534.0,8
1675.0,761.0,12
9246.0,3195.0,1
2629.0,1006.0,28
3194.0,768.0,6
7055.0,3947.0,111
1474.0,888.0,26
8362.0,2648.0,54
2682.0,871.0,27
8352.0,2462.0,3
3268.0,422.0,48
395.0,1476.0,8
3180.0,2265.0,53
9091.0,5795.0,120
2861.0,1760.0,0
3233.0,504.0,48
2639.0,1633.0,0
3475.0,705.0,112
8181.0,4649.0,110
3498.0,658.0,112
2654.0,729.0,67
1367.0,1116.0,93
9179.0,6038.0,120
8429.0,4875.0,123
1376.0,1735.0,88
2915.0,1626.0,108
7756.0,4251.0,32
7475.0,3255.0,74
8698.0,5456.0,15
2429.0,1488.0,31
8705.0,5447.0,15
9193.0,5984.0,120
8374.0,4897.0,61
1416.0,1769.0,88
7333.0,3308.0,22
3100.0,641.0,23
2173.0,910.0,113
2876.0,1411.0,58
3172.0,684.0,23
2687.0,1282.0,5
1477.0,864.0,26
8168.0,4626.0,110
7511.0,4180.0,34
8377.0,2952.0,96
3276.0,701.0,100
3431.0,514.0,42
3284.0,436.0,48
2775.0,879.0,73
6977.0,4109.0,4
8752.0,3542.0,18
2754.0,1294.0,5
8648.0,5457.0,15
6955.0,4061.0,4
3199.0,785.0,6
3134.0,659.0,23
9000.0,5470.0,25
3164.0,2272.0,53
2843.0,1934.0,60
9181.0,3450.0,43
1413.0,933.0,26
2705.0,956.0,27
9208.0,5993.0,120
8166.0,2991.0,101
2855.0,1625.0,108
2557.0,1196.0,5
1506.0,856.0,26
7897.0,3429.0,55
7215.0,3300.0,45
8301.0,4799.0,47
9120.0,5980.0,120
8982.0,5359.0,25
9169.0,5976.0,120
3224.0,793.0,6
2646.0,1131.0,13
3176.0,2249.0,53
9102.0,5814.0,120
5702.0,3134.0,14
3185.0,638.0,23
2636.0,1728.0,0
5989.0,3589.0,62
