X,Y,cluster_id
4804.0,2430.0,343
2723.0,3249.0,311
4912.0,2467.0,188
2224.0,3427.0,327
2025.0,2644.0,197
3192.0,2811.0,43
2408.0,3313.0,286
4851.0,1383.0,76
4997.0,1471.0,45
4235.0,1534.0,266
3391.0,1489.0,16
2794.0,3133.0,349
3233.0,1193.0,35
1747.0,2786.0,344
4997.0,2192.0,331
1598.0,3072.0,1
2295.0,2777.0,53
4374.0,1247.0,305
4391.0,1882.0,30
3173.0,1272.0,213
1849.0,649.0,192
3542.0,1480.0,41
3060.0,1400.0,247
5034.0,1320.0,42
2759.0,1248.0,205
3847.0,1346.0,2
2665.0,987.0,271
4430.0,1784.0,24
3702.0,3095.0,355
3446.0,1449.0,88
112.0,2766.0,4
1974.0,3527.0,40
2081.0,3266.0,77
2933.0,3005.0,279
2069.0,3263.0,77
3154.0,3167.0,96
548.0,3056.0,54
2600.0,3685.0,244
3324.0,3544.0,91
2891.0,1401.0,312
2867.0,2218.0,29
4776.0,2672.0,250
2064.0,3616.0,220
2058.0,3468.0,282
3340.0,2897.0,65
2514.0,2967.0,39
1807.0,690.0,170
4205.0,1480.0,332
2494.0,2688.0,219
2110.0,3101.0,23
4988.0,1309.0,42
3263.0,1172.0,35
1414.0,2994.0,328
2273.0,2677.0,253
2565.0,2853.0,206
2368.0,3014.0,236
3263.0,3401.0,26
3461.0,1714.0,75
2060.0,878.0,36
2020.0,3539.0,40
2802.0,2709.0,319
3628.0,2683.0,64
2756.0,3594.0,255
5248.0,1842.0,362
660.0,3052.0,333
3917.0,2678.0,239
84.0,3020.0,278
3659.0,1995.0,69
4540.0,2763.0,292
1928.0,2725.0,195
2973.0,3573.0,37
5223.0,1464.0,287
4065.0,3044.0,17
2631.0,4121.0,184
2257.0,2999.0,20
3633.0,1324.0,276
3369.0,2875.0,65
4623.0,2543.0,284
418.0,2887.0,256
5207.0,2171.0,313
3975.0,3050.0,17
4149.0,1957.0,190
4911.0,2613.0,22
3232.0,2835.0,43
3036.0,2700.0,291
2807.0,2153.0,198
3336.0,2129.0,13
76.0,2804.0,4
2484.0,4031.0,264
460.0,2961.0,86
4322.0,1359.0,27
3401.0,1186.0,200
3343.0,2317.0,299
3067.0,3215.0,196
5073.0,2538.0,347
2045.0,3880.0,363
3753.0,3117.0,3
1894.0,3668.0,204
3058.0,3795.0,290
2017.0,3772.0,237
3888.0,2105.0,18
2615.0,4010.0,306
3666.0,2848.0,84
4868.0,1384.0,76
3131.0,3094.0,329
2534.0,2416.0,15
3154.0,3337.0,28
