og_centroid,closest_centroid,dist,cluster_id
"(3693.5, 1939.5)","(3669.0, 2002.0)",67.13,168
"(3669.0, 2002.0)","(3693.5, 1939.5)",67.13,69
"(3712.667, 1866.667)","(3693.5, 1939.5)",75.313,32
"(3455.5, 1462.5)","(3386.667, 1505.0)",80.897,88
"(3386.667, 1505.0)","(3455.5, 1462.5)",80.897,16
"(2098.0, 2601.5)","(2045.0, 2532.0)",87.403,59
"(2045.0, 2532.0)","(2098.0, 2601.5)",87.403,19
"(2281.5, 2784.0)","(2371.0, 2781.5)",89.535,53
"(2371.0, 2781.5)","(2281.5, 2784.0)",89.535,136
"(2511.5, 2985.5)","(2608.0, 2962.5)",99.203,39
"(2608.0, 2962.5)","(2511.5, 2985.5)",99.203,33
"(3674.0, 2924.667)","(3656.0, 2826.0)",100.295,67
"(3656.0, 2826.0)","(3674.0, 2924.667)",100.295,84
"(3071.333, 3299.0)","(3171.0, 3336.0)",106.313,52
"(3171.0, 3336.0)","(3071.333, 3299.0)",106.313,28
"(2580.0, 3967.5)","(2647.0, 3884.5)",106.668,0
"(2647.0, 3884.5)","(2580.0, 3967.5)",106.668,8
"(3588.714, 1505.429)","(3606.5, 1400.0)",106.918,41
"(3606.5, 1400.0)","(3588.714, 1505.429)",106.918,78
"(501.0, 2972.5)","(556.0, 3065.5)",108.046,86
"(556.0, 3065.5)","(501.0, 2972.5)",108.046,54
"(3155.0, 1122.5)","(3251.25, 1180.75)",112.504,11
"(3251.25, 1180.75)","(3155.0, 1122.5)",112.504,35
"(3548.333, 1785.333)","(3472.0, 1698.5)",115.615,79
"(3472.0, 1698.5)","(3548.333, 1785.333)",115.615,75
"(3936.5, 1240.0)","(3838.667, 1305.333)",117.643,31
"(3838.667, 1305.333)","(3936.5, 1240.0)",117.643,2
"(1691.5, 3235.0)","(1740.5, 3353.5)",128.231,80
"(1740.5, 3353.5)","(1691.5, 3235.0)",128.231,82
"(3276.5, 3415.0)","(3171.0, 3336.0)",131.8,26
"(1847.5, 3276.5)","(1740.5, 3353.5)",131.826,68
"(370.333, 3001.0)","(501.0, 2972.5)",133.739,7
"(1950.5, 3364.5)","(1847.5, 3276.5)",135.473,51
"(2758.5, 3342.5)","(2882.667, 3282.667)",137.831,6
"(2882.667, 3282.667)","(2758.5, 3342.5)",137.831,25
"(3274.667, 1043.0)","(3251.25, 1180.75)",139.726,10
"(4411.5, 1777.5)","(4390.0, 1921.333)",145.431,24
"(4390.0, 1921.333)","(4411.5, 1777.5)",145.431,30
"(1924.5, 811.5)","(2066.5, 863.0)",151.05,63
"(2066.5, 863.0)","(1924.5, 811.5)",151.05,36
"(2123.5, 3120.5)","(2075.0, 3264.5)",151.948,23
"(2075.0, 3264.5)","(2123.5, 3120.5)",151.948,77
"(157.25, 2943.75)","(264.5, 2836.0)",152.028,55
"(264.5, 2836.0)","(157.25, 2943.75)",152.028,85
"(3329.0, 3558.0)","(3276.5, 3415.0)",152.333,91
"(3162.5, 3173.5)","(3071.333, 3299.0)",155.118,96
"(4996.0, 1308.6)","(4859.5, 1383.5)",155.699,42
"(4859.5, 1383.5)","(4996.0, 1308.6)",155.699,76
"(3354.5, 2886.0)","(3205.5, 2834.0)",157.813,65
"(3205.5, 2834.0)","(3354.5, 2886.0)",157.813,43
"(3013.5, 1045.0)","(3155.0, 1122.5)",161.334,338
"(3196.5, 2119.0)","(3100.667, 1983.667)",165.829,46
"(3100.667, 1983.667)","(3196.5, 2119.0)",165.829,83
"(2484.0, 3370.5)","(2354.0, 3477.0)",168.054,216
"(2354.0, 3477.0)","(2484.0, 3370.5)",168.054,21
"(3625.0, 2657.333)","(3656.0, 2826.0)",171.492,64
"(1801.5, 691.5)","(1924.5, 811.5)",171.84,170
"(1487.5, 3269.0)","(1378.0, 3135.5)",172.663,47
"(1378.0, 3135.5)","(1487.5, 3269.0)",172.663,49
"(5015.0, 1484.333)","(4996.0, 1308.6)",176.757,45
"(73.667, 2788.0)","(157.25, 2943.75)",176.76,4
"(4279.5, 2840.5)","(4348.5, 3009.5)",182.543,330
"(4348.5, 3009.5)","(4279.5, 2840.5)",182.543,92
"(3385.0, 2113.667)","(3196.5, 2119.0)",188.575,13
"(2029.0, 3538.6)","(1950.5, 3364.5)",190.979,40
"(3894.5, 2913.5)","(4021.5, 3056.75)",191.441,5
"(4021.5, 3056.75)","(3894.5, 2913.5)",191.441,17
"(2271.0, 2977.0)","(2281.5, 2784.0)",193.285,20
"(3792.25, 3078.0)","(3674.0, 2924.667)",193.634,3
"(3131.5, 2650.0)","(3205.5, 2834.0)",198.323,107
"(2246.5, 763.5)","(2066.5, 863.0)",205.67,176
"(1979.0, 2974.0)","(2123.5, 3120.5)",205.773,62
"(2241.5, 975.5)","(2066.5, 863.0)",208.041,164
"(3417.333, 2609.667)","(3625.0, 2657.333)",213.067,87
"(4433.333, 1564.333)","(4411.5, 1777.5)",214.282,81
"(1583.5, 3049.5)","(1691.5, 3235.0)",214.649,1
"(2925.0, 2580.0)","(3131.5, 2650.0)",218.042,38
"(4343.0, 1359.0)","(4433.333, 1564.333)",224.325,27
"(3916.5, 2344.5)","(3913.5, 2099.5)",245.018,119
"(3913.5, 2099.5)","(3916.5, 2344.5)",245.018,18
"(803.667, 3070.0)","(556.0, 3065.5)",247.708,14
"(4704.5, 2508.5)","(4956.667, 2624.667)",277.638,9
"(4956.667, 2624.667)","(4704.5, 2508.5)",277.638,22
"(2970.667, 3586.333)","(3071.333, 3299.0)",304.457,37
"(2882.0, 2228.0)","(3100.667, 1983.667)",327.893,29
"(5104.0, 2330.0)","(4956.667, 2624.667)",329.447,159
"(3039.0, 1550.5)","(3386.667, 1505.0)",350.631,177
"(3008.0, 4015.5)","(2647.0, 3884.5)",384.034,12
"(2546.667, 2437.0)","(2371.0, 2781.5)",386.703,15
"(2065.0, 4063.0)","(2580.0, 3967.5)",523.78,34
