og_centroid,closest_centroid,dist,cluster_id
"(3151.01, 3120.248)","(3087.079, 3147.207)",69.382,124
"(3087.079, 3147.207)","(3151.01, 3120.248)",69.382,55
"(3500.408, 1248.361)","(3428.239, 1227.169)",75.216,62
"(3428.239, 1227.169)","(3500.408, 1248.361)",75.216,110
"(2011.193, 2717.101)","(2033.566, 2640.843)",79.473,32
"(2033.566, 2640.843)","(2011.193, 2717.101)",79.473,80
"(2458.255, 979.07)","(2392.969, 913.557)",92.488,60
"(2392.969, 913.557)","(2458.255, 979.07)",92.488,29
"(4028.445, 1224.317)","(4108.547, 1175.62)",93.742,105
"(4108.547, 1175.62)","(4028.445, 1224.317)",93.742,50
"(3253.829, 1057.455)","(3160.815, 1078.478)",95.36,104
"(3160.815, 1078.478)","(3253.829, 1057.455)",95.36,31
"(1409.125, 3192.756)","(1371.994, 3102.491)",97.604,11
"(1371.994, 3102.491)","(1409.125, 3192.756)",97.604,121
"(3871.555, 1188.744)","(3929.083, 1108.54)",98.702,3
"(3929.083, 1108.54)","(3871.555, 1188.744)",98.702,10
"(1967.436, 3023.274)","(2061.557, 3060.104)",101.07,63
"(2061.557, 3060.104)","(1967.436, 3023.274)",101.07,98
"(1344.922, 3003.188)","(1371.994, 3102.491)",102.927,47
"(1952.22, 3127.641)","(1967.436, 3023.274)",105.47,58
"(3097.57, 1169.192)","(3160.815, 1078.478)",110.585,61
"(2900.188, 1358.715)","(2945.038, 1462.998)",113.519,54
"(2945.038, 1462.998)","(2900.188, 1358.715)",113.519,116
"(4006.392, 2825.442)","(4011.197, 2705.766)",119.772,0
"(4011.197, 2705.766)","(4006.392, 2825.442)",119.772,4
"(4122.301, 2653.498)","(4011.197, 2705.766)",122.784,20
"(2954.127, 3198.784)","(2964.618, 3069.48)",129.728,22
"(2964.618, 3069.48)","(2954.127, 3198.784)",129.728,36
"(3998.597, 2560.776)","(3868.484, 2567.391)",130.281,57
"(3868.484, 2567.391)","(3998.597, 2560.776)",130.281,14
"(2770.61, 1327.98)","(2900.188, 1358.715)",133.173,97
"(3285.178, 1437.778)","(3419.572, 1435.776)",134.41,21
"(3419.572, 1435.776)","(3285.178, 1437.778)",134.41,18
"(2258.37, 2910.751)","(2386.354, 2951.964)",134.456,13
"(2386.354, 2951.964)","(2258.37, 2910.751)",134.456,119
"(3259.206, 2933.062)","(3139.982, 2867.686)",135.972,126
"(3139.982, 2867.686)","(3259.206, 2933.062)",135.972,128
"(3001.069, 4097.193)","(3093.188, 3987.206)",143.468,33
"(3093.188, 3987.206)","(3001.069, 4097.193)",143.468,56
"(2179.197, 3156.306)","(2061.557, 3060.104)",151.967,1
"(3187.461, 1568.552)","(3285.178, 1437.778)",163.249,19
"(3972.936, 2393.643)","(3998.597, 2560.776)",169.092,101
"(2072.738, 2886.914)","(1967.436, 3023.274)",172.286,37
"(2106.924, 3447.719)","(2142.371, 3624.301)",180.105,6
"(2142.371, 3624.301)","(2106.924, 3447.719)",180.105,25
"(3066.976, 3637.908)","(3151.699, 3475.907)",182.819,39
"(3151.699, 3475.907)","(3066.976, 3637.908)",182.819,109
"(2760.762, 1510.866)","(2770.61, 1327.98)",183.151,70
"(3082.071, 2480.897)","(3261.244, 2522.65)",183.974,51
"(3261.244, 2522.65)","(3082.071, 2480.897)",183.974,81
"(1778.583, 3000.167)","(1967.436, 3023.274)",190.261,34
"(2829.385, 2285.811)","(2661.846, 2181.899)",197.147,16
"(2661.846, 2181.899)","(2829.385, 2285.811)",197.147,115
"(4793.798, 2835.926)","(4648.894, 2971.773)",198.624,23
"(4648.894, 2971.773)","(4793.798, 2835.926)",198.624,5
"(2749.083, 2000.429)","(2661.846, 2181.899)",201.35,83
"(3753.483, 2853.138)","(3869.679, 3025.536)",207.901,45
"(3869.679, 3025.536)","(3753.483, 2853.138)",207.901,99
"(3742.536, 2008.279)","(3766.723, 2218.658)",211.765,30
"(3766.723, 2218.658)","(3742.536, 2008.279)",211.765,48
"(2862.259, 1132.497)","(2770.61, 1327.98)",215.901,24
"(4137.834, 2106.678)","(4262.403, 1925.618)",219.773,12
"(4262.403, 1925.618)","(4137.834, 2106.678)",219.773,2
"(4117.336, 1757.179)","(4262.403, 1925.618)",222.297,7
"(2220.553, 767.442)","(2392.969, 913.557)",226.002,75
"(4202.783, 1381.691)","(4108.547, 1175.62)",226.596,15
"(2762.352, 925.73)","(2862.259, 1132.497)",229.638,52
"(2571.782, 4016.678)","(2414.537, 3838.544)",237.608,17
"(2414.537, 3838.544)","(2571.782, 4016.678)",237.608,87
"(2774.14, 3367.999)","(2954.127, 3198.784)",247.041,67
"(2438.886, 3501.847)","(2627.819, 3670.252)",253.092,40
"(2627.819, 3670.252)","(2438.886, 3501.847)",253.092,106
"(1950.599, 752.902)","(2220.553, 767.442)",270.345,28
"(1068.706, 2997.958)","(1344.922, 3003.188)",276.265,41
"(3431.609, 3372.513)","(3151.699, 3475.907)",298.396,76
"(3364.576, 3726.809)","(3066.976, 3637.908)",310.595,59
"(4351.074, 3063.849)","(4648.894, 2971.773)",311.728,49
"(3161.722, 1880.691)","(3187.461, 1568.552)",313.199,9
"(755.267, 3088.752)","(1068.706, 2997.958)",326.324,35
"(3373.809, 2213.717)","(3261.244, 2522.65)",328.802,103
"(1776.855, 3466.279)","(2106.924, 3447.719)",330.591,26
"(2615.355, 2700.689)","(2386.354, 2951.964)",339.971,27
"(2287.808, 4205.666)","(2571.782, 4016.678)",341.113,43
"(316.605, 2962.849)","(755.267, 3088.752)",456.373,8
