X,Y,cluster_id
2.006,11.507,95
2.22,10.359,20
2.262,10.319,20
2.351,9.729,159
2.249,8.046,16
2.046,6.851,23
2.331,6.611,1
2.453,6.393,21
4.461,6.28,6
4.459,6.224,6
4.166,5.834,57
3.938,5.653,27
4.342,4.828,76
4.464,4.311,125
4.27,3.131,74
4.207,3.044,70
5.293,2.776,135
5.392,2.736,109
4.145,2.7,13
4.2,2.698,13
4.278,2.669,13
5.13,2.583,26
4.566,2.474,89
4.534,2.465,89
4.552,2.441,89
4.53,2.426,89
4.824,2.255,99
3.125,2.23,127
4.733,1.965,24
5.035,1.873,56
4.819,1.725,147
4.571,1.527,75
2.2,10.563,31
2.252,10.568,31
2.252,10.514,31
2.198,10.514,31
2.169,10.495,31
2.115,10.505,31
2.313,10.468,64
2.32,10.453,64
2.194,10.347,20
2.255,10.349,20
2.315,10.311,20
2.3,10.295,20
1.41,10.556,79
1.419,10.527,79
1.273,10.516,118
1.459,10.874,52
1.444,10.883,52
1.437,10.93,52
1.423,10.948,52
1.437,11.088,5
1.414,11.047,5
1.376,11.072,5
1.392,11.11,5
1.347,11.146,5
1.41,10.854,52
1.376,10.874,52
1.385,10.849,52
1.372,10.824,52
1.387,10.809,52
1.189,10.818,19
1.146,10.838,19
1.117,10.853,19
1.097,10.856,19
1.041,10.881,19
1.02,10.854,19
0.968,10.892,15
0.928,11.115,7
1.097,10.768,19
1.065,10.804,19
1.032,10.824,19
1.014,10.809,19
1.0,10.829,19
0.998,10.838,19
0.935,10.847,15
0.883,11.081,7
0.869,11.061,7
1.205,11.273,9
1.191,11.255,9
1.218,11.227,9
1.221,11.189,9
1.117,11.18,9
1.167,11.153,9
1.194,11.167,9
1.135,11.106,9
1.227,11.162,9
1.115,10.448,3
1.106,10.48,3
1.198,10.554,11
1.191,10.59,11
1.124,10.703,42
1.108,10.678,42
0.928,10.766,58
0.948,10.736,58
0.914,10.73,58
0.946,10.628,104
1.101,10.554,103
1.072,10.541,103
0.998,10.532,110
1.169,10.471,3
1.056,10.392,80
1.065,10.372,80
1.016,10.376,80
1.097,10.381,80
1.09,10.365,80
1.167,10.324,17
1.155,10.414,3
1.137,10.324,17
1.113,10.302,17
1.056,10.293,17
1.025,10.264,17
1.173,9.966,53
1.137,9.948,53
1.038,9.926,107
1.027,9.89,107
0.955,9.806,88
1.041,9.878,107
1.439,9.899,82
1.41,9.872,82
1.376,9.867,82
1.286,9.869,150
1.282,9.838,150
1.306,9.833,150
1.322,9.827,150
1.421,9.811,134
1.426,9.777,134
1.437,9.766,134
1.441,9.75,134
1.356,9.761,108
1.23,9.736,129
1.104,9.689,119
1.757,9.61,29
1.766,9.581,29
1.097,9.399,136
1.097,9.376,136
1.077,9.315,158
1.095,9.302,158
1.489,9.511,97
1.482,9.482,97
1.498,9.453,97
1.32,9.207,8
1.324,9.171,8
1.351,9.151,8
1.32,9.101,8
1.277,9.092,8
1.284,9.173,8
1.268,9.117,8
1.327,9.014,8
1.306,9.052,8
1.288,9.014,8
1.466,8.646,25
1.475,8.596,25
1.502,8.59,25
1.466,8.583,25
1.804,8.457,144
1.827,8.468,144
1.824,8.432,144
1.854,8.464,144
2.068,8.02,140
2.081,7.932,120
2.124,7.975,169
2.277,8.097,16
2.236,8.09,16
2.011,7.468,111
1.995,7.437,111
2.173,7.8,143
2.144,7.293,168
2.264,7.241,4
2.207,7.257,4
2.189,7.241,4
2.144,7.232,4
2.189,7.218,4
2.209,7.187,4
2.225,7.182,4
2.167,7.155,4
2.036,7.273,102
2.122,7.117,4
2.05,7.061,69
2.027,7.025,69
1.919,6.962,161
2.018,6.905,23
2.083,6.831,23
2.045,6.899,23
2.18,6.635,1
2.194,6.608,1
2.336,6.685,139
2.286,6.646,1
2.268,6.619,1
2.306,6.617,1
2.25,6.588,1
2.309,6.583,1
2.273,6.574,1
2.426,6.423,21
2.381,6.396,21
2.525,6.392,21
2.495,6.417,21
2.495,6.405,21
2.471,6.39,21
2.495,6.381,21
2.696,6.315,115
3.937,5.635,27
3.903,5.642,27
3.914,5.574,27
3.865,5.568,27
3.944,5.586,27
3.95,5.568,27
3.941,5.541,27
3.437,5.568,32
3.396,5.581,32
3.529,5.788,77
3.505,5.752,77
3.491,5.788,77
3.455,5.766,77
3.342,5.887,116
3.376,5.804,77
3.444,5.84,77
3.534,5.946,155
3.775,5.91,93
3.995,5.995,81
4.002,5.966,81
3.984,5.944,81
3.962,5.989,81
3.95,5.966,81
3.356,6.173,114
3.345,6.131,114
3.302,6.086,40
3.291,6.036,40
3.311,6.014,40
3.322,5.995,40
3.227,6.074,40
3.23,6.038,40
3.212,6.079,40
3.198,6.086,40
3.282,6.218,114
3.324,6.209,114
3.32,6.178,114
3.196,6.18,121
3.225,6.318,43
3.257,6.327,43
3.261,6.287,43
3.847,3.221,100
3.849,3.196,100
3.815,3.216,100
4.002,3.457,98
4.014,3.309,34
4.007,3.266,34
3.937,3.279,166
4.191,3.311,113
4.216,3.318,113
4.162,3.304,113
4.196,3.27,113
4.178,3.257,113
4.385,3.682,132
4.405,3.61,0
4.387,3.565,0
4.428,3.538,0
4.197,3.518,123
3.911,3.716,22
3.7,4.057,37
3.69,4.077,37
3.668,4.125,37
3.628,4.126,37
3.619,4.098,37
4.078,4.381,94
4.298,4.435,138
4.283,4.364,133
4.295,4.338,133
4.298,4.305,133
4.259,4.295,133
4.489,3.532,0
4.466,3.523,0
4.47,3.501,0
4.421,3.466,0
3.868,3.743,22
3.889,3.686,22
3.939,3.689,22
3.895,3.489,151
3.755,3.892,54
3.551,3.741,167
4.411,3.963,85
4.316,4.062,154
4.318,4.081,154
4.187,4.155,30
4.152,4.133,30
4.479,4.234,112
4.218,4.572,65
4.26,4.559,65
4.282,4.554,65
4.304,4.592,65
4.269,4.595,65
4.314,4.573,65
4.327,4.681,38
4.285,4.687,38
4.282,4.74,38
4.364,4.74,76
4.346,4.777,76
4.349,4.795,76
4.354,4.809,76
4.516,4.547,72
4.507,4.5,72
4.485,4.51,72
4.431,4.468,73
4.434,4.438,73
4.381,4.574,38
4.376,4.59,38
4.404,4.608,38
4.384,4.627,38
4.407,4.637,38
4.476,4.764,50
4.475,4.741,50
4.391,4.68,38
4.37,4.66,38
4.345,4.659,38
4.37,4.785,76
4.2,4.446,33
4.193,4.466,33
4.202,4.498,33
4.133,4.545,28
4.151,4.47,33
4.139,4.472,33
4.111,4.574,28
4.092,4.574,28
4.071,4.614,28
4.069,4.667,28
4.064,4.645,28
4.053,4.642,28
4.295,4.916,66
4.291,4.965,66
4.368,4.977,66
4.352,4.974,66
4.357,5.028,66
4.342,4.988,66
4.322,4.998,66
3.839,5.363,92
3.724,5.345,149
3.984,5.079,96
4.271,4.301,133
4.417,4.921,46
4.413,4.896,46
4.18,5.883,57
4.171,5.873,57
4.025,5.99,81
4.041,5.985,81
4.041,5.964,81
4.139,5.845,57
4.137,5.877,57
4.485,6.395,61
4.472,6.412,61
4.505,6.374,61
4.5,6.35,61
3.012,5.892,14
3.041,5.91,14
3.057,5.914,14
3.071,5.578,51
2.508,5.686,148
2.423,5.565,101
2.401,5.559,101
3.361,5.473,32
3.395,5.527,32
3.343,5.523,32
3.409,5.493,32
3.447,5.511,32
3.105,5.569,51
3.105,5.556,51
3.119,5.56,51
3.124,5.584,51
2.605,5.276,163
2.571,5.545,117
3.231,4.805,71
3.251,4.766,71
3.298,4.805,71
3.287,4.785,71
3.279,4.762,71
3.27,4.698,18
3.296,4.649,18
3.285,4.637,18
3.416,4.306,35
3.387,4.319,35
3.391,4.36,35
3.375,4.293,35
3.374,4.265,35
3.343,4.279,35
3.325,4.303,35
3.323,4.266,35
3.256,4.285,126
3.14,4.294,44
3.1,4.276,44
3.333,4.217,35
3.348,4.211,35
3.36,4.135,128
3.366,4.099,128
2.463,5.411,84
3.944,3.218,146
3.937,3.199,146
4.26,3.102,74
4.286,3.082,74
4.236,3.105,74
4.236,3.154,74
4.215,3.166,74
4.218,3.143,74
4.512,3.265,12
4.457,3.277,12
4.374,3.295,59
4.208,2.999,70
4.179,3.034,70
4.177,2.997,70
3.642,2.785,91
3.769,2.718,90
3.786,2.682,90
3.74,2.722,90
4.083,2.708,13
4.116,2.677,13
3.677,3.07,45
3.714,3.065,45
3.721,3.052,45
3.678,3.101,45
3.648,3.106,45
5.474,2.627,39
5.519,2.632,39
5.293,2.756,135
5.507,2.681,39
4.965,2.762,67
4.983,2.734,67
5.172,2.577,26
5.178,2.543,26
5.227,2.568,26
5.207,2.55,26
5.241,2.55,26
5.235,2.538,26
5.216,2.524,26
5.239,2.509,26
5.213,2.483,26
5.164,2.491,26
5.159,2.462,26
5.128,2.477,26
5.122,2.542,26
5.158,2.533,26
4.815,2.387,78
4.771,2.385,78
5.042,2.173,164
5.072,2.119,157
4.753,2.01,24
5.105,2.029,2
5.114,2.059,2
5.14,2.077,2
5.169,2.025,2
5.203,2.063,2
5.235,2.015,2
5.343,2.045,48
5.356,2.024,48
5.426,2.123,48
5.396,2.104,48
5.434,2.079,48
5.39,2.061,48
5.394,2.025,48
5.421,2.042,48
5.438,2.054,48
5.555,2.01,156
5.586,2.068,63
5.587,2.128,63
5.61,2.132,63
5.614,2.106,63
5.016,1.903,56
5.047,1.923,56
5.088,1.902,56
4.983,1.61,87
5.438,2.282,160
5.417,2.265,160
5.357,2.284,142
5.339,2.295,142
5.691,2.408,105
5.697,2.373,105
4.582,2.425,89
4.55,1.519,75
4.55,1.483,75
4.729,1.479,152
4.706,1.464,152
4.634,1.481,165
4.639,1.463,165
5.815,2.857,124
5.804,2.859,124
5.623,2.793,137
5.668,2.85,55
5.702,2.864,55
5.825,2.964,47
5.807,2.938,47
5.85,2.997,47
5.821,3.008,47
5.707,2.774,145
5.449,2.483,141
4.305,3.153,74
4.32,3.119,74
4.266,2.756,36
4.32,2.684,13
4.233,2.795,36
4.218,2.764,36
4.189,2.82,36
4.187,2.791,36
4.266,2.676,13
4.236,2.682,13
4.198,2.662,13
4.208,3.278,113
4.227,3.277,113
4.012,4.97,68
3.8,5.595,130
3.846,5.664,83
3.98,5.908,81
4.439,6.296,6
3.259,6.114,40
3.242,6.111,40
3.404,5.761,77
3.476,5.83,77
3.468,5.797,77
3.101,5.838,14
3.075,5.876,14
3.079,5.843,14
2.669,5.699,162
2.634,5.68,162
2.745,5.735,153
2.669,5.735,162
2.691,5.696,162
3.224,5.416,131
2.089,5.488,86
2.191,5.493,106
1.918,5.597,62
1.916,5.577,62
1.922,5.563,62
1.775,5.646,49
1.743,5.609,49
1.727,5.574,49
1.65,5.738,10
1.68,5.704,10
1.694,5.767,10
1.653,5.806,10
1.221,9.313,41
1.55,9.322,60
1.536,9.3,60
1.485,9.593,122
1.019,10.712,19
1.045,10.761,19
1.172,10.636,11
1.123,10.81,19
0.898,11.137,7
1.163,11.195,9
1.166,11.249,9
