og_centroid,closest_centroid,dist,cluster_id
"(3.318, 5.416)","(3.32, 5.554)",0.138,36
"(3.32, 5.554)","(3.318, 5.416)",0.138,88
"(1.524, 9.625)","(1.496, 9.804)",0.181,22
"(1.496, 9.804)","(1.524, 9.625)",0.181,31
"(2.914, 6.32)","(2.917, 6.138)",0.182,49
"(2.917, 6.138)","(2.914, 6.32)",0.182,28
"(4.095, 2.626)","(3.929, 2.709)",0.185,32
"(3.929, 2.709)","(4.095, 2.626)",0.185,15
"(3.791, 2.582)","(3.929, 2.709)",0.187,48
"(3.51, 5.779)","(3.448, 5.956)",0.188,73
"(3.448, 5.956)","(3.51, 5.779)",0.188,39
"(3.768, 4.057)","(3.636, 3.835)",0.258,55
"(3.636, 3.835)","(3.768, 4.057)",0.258,18
"(3.938, 5.671)","(3.72, 5.516)",0.267,6
"(3.72, 5.516)","(3.938, 5.671)",0.267,14
"(3.939, 5.285)","(4.187, 5.174)",0.272,89
"(4.187, 5.174)","(3.939, 5.285)",0.272,131
"(3.388, 4.51)","(3.231, 4.261)",0.295,1
"(3.231, 4.261)","(3.388, 4.51)",0.295,4
"(3.025, 5.299)","(3.318, 5.416)",0.315,37
"(4.417, 2.7)","(4.095, 2.626)",0.331,77
"(4.27, 4.437)","(3.903, 4.507)",0.373,33
"(3.903, 4.507)","(4.27, 4.437)",0.373,154
"(1.445, 10.933)","(1.022, 10.926)",0.422,128
"(1.022, 10.926)","(1.445, 10.933)",0.422,13
"(5.612, 2.74)","(5.553, 2.303)",0.442,56
"(5.553, 2.303)","(5.612, 2.74)",0.442,65
"(4.901, 2.663)","(4.417, 2.7)",0.485,26
"(1.516, 10.358)","(1.496, 9.804)",0.555,41
"(0.935, 10.181)","(1.516, 10.358)",0.608,62
"(2.358, 6.593)","(2.914, 6.32)",0.619,40
"(2.094, 7.303)","(2.358, 6.593)",0.757,168
"(2.259, 10.529)","(1.516, 10.358)",0.762,3
"(4.846, 1.786)","(5.553, 2.303)",0.876,132
"(1.582, 5.795)","(2.358, 6.593)",1.113,7
