og_centroid,closest_centroid,dist,cluster_id
"(1.065, 10.377)","(1.1, 10.301)",0.083,80
"(1.1, 10.301)","(1.065, 10.377)",0.083,17
"(4.205, 2.684)","(4.219, 2.785)",0.102,13
"(4.219, 2.785)","(4.205, 2.684)",0.102,36
"(1.136, 10.453)","(1.065, 10.377)",0.104,3
"(1.431, 9.776)","(1.408, 9.879)",0.106,134
"(1.408, 9.879)","(1.431, 9.776)",0.106,82
"(4.275, 4.574)","(4.359, 4.649)",0.113,65
"(4.359, 4.649)","(4.275, 4.574)",0.113,38
"(1.299, 9.842)","(1.408, 9.879)",0.116,150
"(4.491, 6.383)","(4.453, 6.267)",0.122,61
"(4.453, 6.267)","(4.491, 6.383)",0.122,6
"(3.269, 4.785)","(3.284, 4.661)",0.124,71
"(3.284, 4.661)","(3.269, 4.785)",0.124,18
"(4.193, 3.019)","(4.261, 3.128)",0.129,70
"(4.261, 3.128)","(4.193, 3.019)",0.129,74
"(3.325, 6.182)","(3.259, 6.063)",0.136,114
"(3.259, 6.063)","(3.325, 6.182)",0.136,40
"(4.354, 4.789)","(4.359, 4.649)",0.14,76
"(4.177, 4.47)","(4.275, 4.574)",0.142,33
"(1.187, 10.593)","(1.136, 10.453)",0.149,11
"(3.248, 6.311)","(3.325, 6.182)",0.15,43
"(1.067, 10.817)","(0.93, 10.744)",0.155,19
"(0.93, 10.744)","(1.067, 10.817)",0.155,58
"(1.748, 5.61)","(1.669, 5.754)",0.164,49
"(1.669, 5.754)","(1.748, 5.61)",0.164,10
"(4.085, 4.609)","(4.177, 4.47)",0.166,28
"(4.197, 3.288)","(4.261, 3.128)",0.172,113
"(1.919, 5.579)","(1.748, 5.61)",0.173,62
"(4.281, 4.321)","(4.177, 4.47)",0.182,133
"(5.161, 2.045)","(5.047, 1.9)",0.184,2
"(5.047, 1.9)","(5.161, 2.045)",0.184,56
"(4.332, 4.978)","(4.354, 4.789)",0.19,66
"(3.998, 5.967)","(4.159, 5.862)",0.192,81
"(4.159, 5.862)","(3.998, 5.967)",0.192,57
"(4.503, 4.519)","(4.359, 4.649)",0.194,72
"(3.837, 3.211)","(3.688, 3.079)",0.199,100
"(3.688, 3.079)","(3.837, 3.211)",0.199,45
"(5.599, 2.109)","(5.4, 2.062)",0.205,63
"(5.4, 2.062)","(5.599, 2.109)",0.205,48
"(2.198, 10.527)","(2.258, 10.33)",0.205,31
"(2.258, 10.33)","(2.198, 10.527)",0.205,20
"(1.393, 11.093)","(1.41, 10.872)",0.222,5
"(1.41, 10.872)","(1.393, 11.093)",0.222,52
"(1.182, 11.196)","(1.393, 11.093)",0.235,9
"(1.035, 9.898)","(1.299, 9.842)",0.27,107
"(3.061, 5.879)","(3.259, 6.063)",0.271,14
"(3.398, 5.525)","(3.461, 5.792)",0.274,32
"(3.461, 5.792)","(3.398, 5.525)",0.274,77
"(2.468, 6.4)","(2.266, 6.609)",0.29,21
"(2.266, 6.609)","(2.468, 6.4)",0.29,1
"(3.105, 5.569)","(3.398, 5.525)",0.297,51
"(1.49, 9.482)","(1.431, 9.776)",0.3,97
"(0.895, 11.099)","(1.182, 11.196)",0.304,7
"(5.186, 2.529)","(5.5, 2.647)",0.336,26
"(5.5, 2.647)","(5.186, 2.529)",0.336,39
"(2.048, 6.872)","(2.266, 6.609)",0.341,23
"(4.438, 3.534)","(4.197, 3.288)",0.344,0
"(3.361, 4.282)","(3.661, 4.097)",0.352,35
"(3.661, 4.097)","(3.361, 4.282)",0.352,37
"(3.924, 5.596)","(4.159, 5.862)",0.355,27
"(2.191, 7.203)","(2.048, 6.872)",0.361,4
"(3.765, 2.707)","(3.688, 3.079)",0.379,90
"(1.477, 8.604)","(1.827, 8.455)",0.38,25
"(1.827, 8.455)","(1.477, 8.604)",0.38,144
"(1.306, 9.109)","(1.49, 9.482)",0.415,8
"(4.553, 2.446)","(4.205, 2.684)",0.422,89
"(2.666, 5.702)","(3.061, 5.879)",0.433,162
"(3.902, 3.708)","(3.661, 4.097)",0.457,22
"(5.826, 2.977)","(5.5, 2.647)",0.464,47
"(2.254, 8.078)","(1.827, 8.455)",0.57,16
"(4.557, 1.51)","(5.047, 1.9)",0.626,75
