X,Y,cluster_id
2.427,6.616,18
3.552,3.956,76
3.87,4.267,321
4.943,2.515,6
2.489,5.457,140
3.859,4.355,349
5.233,1.852,239
5.117,2.463,212
1.258,10.19,50
2.751,5.177,92
2.642,6.515,243
5.553,2.737,293
3.807,4.018,2
3.173,5.524,65
1.373,10.82,230
1.184,10.555,25
5.321,2.099,23
2.226,7.13,284
2.163,6.903,179
3.389,4.784,256
1.766,9.686,33
3.926,4.398,71
5.839,2.027,192
3.978,5.36,89
3.871,2.726,273
3.566,3.642,27
1.702,9.755,44
4.181,5.834,299
3.845,5.328,45
5.223,2.696,41
4.726,2.505,346
5.198,2.371,57
4.201,5.334,322
2.223,5.471,113
1.232,9.246,269
2.213,6.701,297
2.286,6.771,191
1.98,7.43,244
4.445,4.467,39
4.985,2.633,277
4.002,4.98,7
1.22,10.508,25
3.22,4.994,351
2.13,7.686,20
5.005,2.485,334
3.921,5.91,210
2.804,5.17,92
4.737,1.832,185
4.919,2.362,298
3.728,4.622,363
4.186,3.812,323
1.92,8.362,257
0.403,8.943,241
3.143,5.847,24
3.387,5.571,52
5.529,2.407,242
4.998,2.162,48
5.094,2.214,19
4.078,5.264,203
3.949,3.979,2
4.121,4.259,15
4.964,1.79,0
2.391,6.658,18
4.243,5.972,309
3.489,5.465,291
2.602,5.215,196
1.332,8.811,364
5.749,1.981,94
1.134,9.164,301
4.161,2.777,316
2.213,7.967,319
1.146,10.831,186
3.433,3.65,53
1.448,8.584,9
3.155,5.998,38
2.137,5.438,30
3.955,4.544,317
3.233,4.035,93
4.04,5.373,89
2.007,8.277,77
2.747,5.179,92
3.697,3.082,34
3.713,2.768,281
3.944,5.103,3
3.147,5.98,38
4.343,6.023,271
1.639,10.791,222
1.916,5.613,285
1.765,9.741,33
3.206,4.305,335
4.638,2.578,177
5.146,2.235,19
3.512,4.117,288
4.389,2.903,26
3.798,2.51,56
1.357,10.063,352
5.192,2.289,300
2.053,8.279,77
3.175,5.294,10
1.711,9.369,343
4.542,4.088,128
3.53,4.479,265
4.129,5.433,215
1.697,9.584,219
2.181,7.664,20
3.613,5.459,325
1.018,8.692,235
2.965,6.071,333
1.468,9.115,199
2.773,6.117,336
3.758,6.114,218
3.444,4.622,369
3.613,4.501,63
1.099,10.873,362
4.33,6.316,14
1.436,9.925,331
3.166,6.168,208
3.952,2.744,295
2.033,7.006,282
3.532,4.18,350
4.075,5.613,21
5.394,2.31,240
1.39,9.556,11
2.123,7.544,5
2.719,6.454,292
2.093,7.493,5
3.045,5.313,251
3.861,5.268,318
1.188,11.168,200
4.247,4.143,28
4.407,2.62,66
1.372,10.265,62
1.43,11.085,64
4.108,4.31,15
3.37,4.655,246
3.808,3.969,2
3.962,4.183,124
5.064,1.879,36
2.231,7.21,278
1.058,9.155,70
1.031,9.792,307
3.076,5.925,24
5.021,1.807,0
2.092,7.694,20
5.591,2.586,280
3.484,3.926,204
0.961,10.534,60
2.915,5.007,51
4.109,5.061,329
2.444,5.641,61
3.379,5.427,55
3.539,3.601,27
5.341,2.645,160
3.278,4.008,93
4.366,4.46,283
1.423,10.256,62
1.035,10.334,12
3.64,5.525,4
3.039,4.36,275
4.499,1.129,90
5.173,2.015,255
2.201,7.492,237
3.327,5.939,87
1.642,5.813,238
5.358,2.469,310
3.242,6.069,119
4.139,3.411,175
2.871,5.432,141
4.052,4.948,7
4.493,2.858,267
4.025,5.638,21
3.172,4.044,264
4.215,5.263,339
4.953,2.281,302
1.267,10.078,320
2.261,6.615,202
3.377,4.447,231
1.007,10.423,120
5.445,2.49,367
3.44,4.511,88
0.894,8.7,213
1.135,11.252,357
1.417,11.075,64
0.798,10.009,16
1.452,9.632,274
4.467,4.03,184
1.022,9.218,70
4.872,1.853,69
1.733,9.801,44
3.771,6.024,290
4.74,1.583,32
4.349,5.774,247
3.322,5.783,83
0.998,10.794,42
2.025,7.3,217
3.268,5.961,87
4.179,5.736,114
1.148,10.721,201
2.98,4.996,51
3.173,6.044,38
3.848,5.388,45
4.294,4.154,28
1.475,11.028,159
4.363,4.331,168
4.2,3.931,31
1.245,11.256,341
1.107,8.965,59
2.98,5.588,303
5.411,2.416,332
3.147,5.438,368
3.314,5.949,87
4.3,6.245,306
3.971,4.328,187
5.33,2.574,324
4.462,3.11,259
2.019,8.35,361
1.111,9.042,148
3.912,3.369,182
3.277,5.768,83
1.316,8.873,337
4.408,4.052,233
3.619,5.571,4
3.966,5.441,118
4.319,4.902,75
1.439,10.883,268
4.286,3.045,1
4.481,4.213,134
4.564,1.225,145
0.907,10.087,287
5.772,2.956,211
4.144,5.946,370
0.421,8.837,326
1.2,10.041,142
2.854,6.233,22
3.701,5.515,4
2.238,6.516,375
4.984,2.049,258
0.9,11.032,216
3.038,5.177,95
3.07,5.827,24
3.962,3.126,125
1.209,9.147,340
3.949,4.342,187
4.399,2.852,26
4.333,3.397,236
4.255,2.79,105
5.071,2.267,19
2.772,5.49,13
3.813,5.937,107
5.327,2.747,249
3.987,5.909,354
1.418,10.085,117
4.832,1.728,174
3.154,6.072,38
3.494,4.584,356
2.791,5.574,13
3.475,5.576,40
4.143,4.784,228
4.445,4.57,209
4.018,5.109,294
3.736,2.61,347
4.022,3.793,85
4.237,2.589,353
