og_centroid,closest_centroid,dist,cluster_id
"(1728.606, 6000.485)","(1896.75, 5966.333)",171.577,2
"(1896.75, 5966.333)","(1728.606, 6000.485)",171.577,7
"(1909.0, 5770.846)","(1896.75, 5966.333)",195.871,0
"(1334.083, 9437.367)","(1100.822, 9727.667)",372.404,4
"(1100.822, 9727.667)","(1334.083, 9437.367)",372.404,13
"(3981.212, 3240.0)","(3829.6, 2882.9)",387.952,9
"(3829.6, 2882.9)","(3981.212, 3240.0)",387.952,10
"(738.688, 9525.688)","(1100.822, 9727.667)",414.653,1
"(788.013, 10006.769)","(1100.822, 9727.667)",419.223,6
"(892.346, 8033.269)","(1094.655, 8429.563)",444.947,3
"(1094.655, 8429.563)","(892.346, 8033.269)",444.947,5
"(1657.875, 6550.958)","(1728.606, 6000.485)",554.999,8
"(2640.0, 4324.615)","(3321.52, 5014.88)",970.018,12
"(3321.52, 5014.88)","(2640.0, 4324.615)",970.018,14
"(4885.706, 2283.824)","(4281.778, 1339.111)",1121.254,11
"(4281.778, 1339.111)","(4885.706, 2283.824)",1121.254,15
