og_centroid,closest_centroid,dist,cluster_id
"(965.453, 8275.253)","(975.232, 8345.482)",70.908,158
"(975.232, 8345.482)","(965.453, 8275.253)",70.908,136
"(4121.846, 1308.607)","(4193.855, 1308.162)",72.01,165
"(4193.855, 1308.162)","(4121.846, 1308.607)",72.01,152
"(4825.044, 2021.14)","(4754.369, 2035.364)",72.093,160
"(4754.369, 2035.364)","(4825.044, 2021.14)",72.093,142
"(946.606, 9225.326)","(977.544, 9157.94)",74.149,80
"(977.544, 9157.94)","(946.606, 9225.326)",74.149,17
"(4051.171, 1342.093)","(4121.846, 1308.607)",78.207,75
"(4002.869, 4017.389)","(3940.49, 3958.715)",85.637,72
"(3940.49, 3958.715)","(4002.869, 4017.389)",85.637,73
"(3750.333, 2476.042)","(3737.947, 2386.075)",90.816,36
"(3737.947, 2386.075)","(3750.333, 2476.042)",90.816,13
"(3411.091, 2854.577)","(3503.102, 2852.355)",92.038,100
"(3503.102, 2852.355)","(3411.091, 2854.577)",92.038,146
"(1010.125, 9292.934)","(946.606, 9225.326)",92.766,3
"(3565.332, 2922.586)","(3503.102, 2852.355)",93.835,34
"(1252.007, 8782.722)","(1272.38, 8690.859)",94.095,82
"(1272.38, 8690.859)","(1252.007, 8782.722)",94.095,134
"(965.898, 9376.722)","(1010.125, 9292.934)",94.745,103
"(3924.933, 4363.655)","(3851.527, 4425.44)",95.947,46
"(3851.527, 4425.44)","(3924.933, 4363.655)",95.947,66
"(1055.242, 9417.468)","(965.898, 9376.722)",98.197,11
"(3875.391, 4133.282)","(3800.028, 4066.432)",100.74,38
"(3800.028, 4066.432)","(3875.391, 4133.282)",100.74,65
"(1154.81, 8749.311)","(1252.007, 8782.722)",102.78,150
"(5179.089, 2646.33)","(5164.642, 2540.761)",106.553,47
"(5164.642, 2540.761)","(5179.089, 2646.33)",106.553,124
"(992.123, 9503.85)","(1055.242, 9417.468)",106.985,42
"(3958.715, 5571.064)","(3992.052, 5674.262)",108.449,6
"(3992.052, 5674.262)","(3958.715, 5571.064)",108.449,61
"(2919.178, 4143.923)","(2906.317, 4253.507)",110.336,18
"(2906.317, 4253.507)","(2919.178, 4143.923)",110.336,71
"(5053.962, 2539.872)","(5164.642, 2540.761)",110.684,55
"(3870.852, 4257.419)","(3978.717, 4224.97)",112.64,76
"(3978.717, 4224.97)","(3870.852, 4257.419)",112.64,50
"(948.444, 9616.308)","(845.884, 9662.98)",112.681,19
"(845.884, 9662.98)","(948.444, 9616.308)",112.681,15
"(826.77, 9551.411)","(845.884, 9662.98)",113.195,58
"(3727.353, 2683.446)","(3787.731, 2781.087)",114.801,70
"(3787.731, 2781.087)","(3727.353, 2683.446)",114.801,74
"(920.411, 8799.317)","(1026.794, 8851.768)",118.61,107
"(1026.794, 8851.768)","(920.411, 8799.317)",118.61,53
"(2897.605, 5390.271)","(2956.279, 5495.617)",120.584,40
"(2956.279, 5495.617)","(2897.605, 5390.271)",120.584,114
"(2059.367, 9299.38)","(1953.725, 9358.054)",120.843,64
"(1953.725, 9358.054)","(2059.367, 9299.38)",120.843,31
"(3713.351, 3974.184)","(3800.028, 4066.432)",126.581,33
"(2007.065, 9183.365)","(2059.367, 9299.38)",127.259,20
"(2887.174, 5610.18)","(2956.279, 5495.617)",133.791,43
"(3837.811, 3619.562)","(3706.684, 3684.014)",146.111,154
"(3706.684, 3684.014)","(3837.811, 3619.562)",146.111,30
"(1483.962, 5115.081)","(1554.267, 4986.991)",146.116,10
"(1554.267, 4986.991)","(1483.962, 5115.081)",146.116,49
"(2988.372, 3806.607)","(2989.705, 3660.011)",146.602,35
"(2989.705, 3660.011)","(2988.372, 3806.607)",146.602,128
"(3631.309, 4097.145)","(3713.351, 3974.184)",147.819,28
"(1820.671, 6108.76)","(1812.226, 6261.224)",152.697,23
"(1812.226, 6261.224)","(1820.671, 6108.76)",152.697,69
"(3731.004, 2922.903)","(3787.731, 2781.087)",152.741,113
"(1705.694, 4959.728)","(1554.267, 4986.991)",153.861,62
"(1324.313, 8429.493)","(1371.726, 8277.475)",159.24,97
"(1371.726, 8277.475)","(1324.313, 8429.493)",159.24,60
"(3805.985, 3841.011)","(3713.351, 3974.184)",162.222,133
"(4486.336, 1689.321)","(4588.127, 1817.708)",163.842,56
"(4588.127, 1817.708)","(4486.336, 1689.321)",163.842,2
"(3554.022, 5305.055)","(3696.993, 5211.671)",170.767,81
"(3696.993, 5211.671)","(3554.022, 5305.055)",170.767,57
"(3278.274, 2737.052)","(3411.091, 2854.577)",177.348,45
"(4800.399, 1833.018)","(4977.73, 1874.456)",182.108,48
"(4977.73, 1874.456)","(4800.399, 1833.018)",182.108,63
"(1947.502, 6403.76)","(1812.226, 6261.224)",196.51,4
