X,Y,cluster_id
1923.0,5934.0,2
1105.0,8442.0,1
1733.0,5997.0,2
3787.0,2913.0,10
1001.0,8531.0,1
870.0,9995.0,12
1686.0,6527.0,9
1070.0,9729.0,8
1025.0,8363.0,1
1607.0,6556.0,9
1154.0,8399.0,1
1935.0,5725.0,6
1046.0,9667.0,8
4021.0,3299.0,4
1329.0,9346.0,14
1261.0,9493.0,14
1713.0,6071.0,2
1114.0,8386.0,1
826.0,9922.0,12
1262.0,9418.0,14
1645.0,6553.0,9
1688.0,6066.0,2
715.0,9996.0,12
1049.0,8534.0,1
1073.0,9647.0,8
4020.0,3202.0,4
1390.0,9531.0,14
4873.0,2262.0,11
4262.0,1329.0,7
1387.0,9374.0,14
1155.0,9735.0,8
1133.0,8341.0,1
1111.0,9753.0,8
983.0,8406.0,1
1676.0,5985.0,2
1751.0,5971.0,2
1037.0,8402.0,1
786.0,9976.0,12
1344.0,9483.0,14
1085.0,8353.0,1
3267.0,5047.0,5
1703.0,6044.0,2
1107.0,9801.0,8
1220.0,8475.0,1
726.0,10007.0,12
1136.0,8361.0,1
1070.0,8350.0,1
745.0,9557.0,3
1095.0,8528.0,1
1619.0,6565.0,9
1173.0,8336.0,1
1081.0,9770.0,8
1328.0,9435.0,14
685.0,10015.0,12
1391.0,9469.0,14
1920.0,5985.0,2
1166.0,9724.0,8
3325.0,5009.0,5
1866.0,5846.0,6
1854.0,5825.0,6
1035.0,8571.0,1
779.0,9530.0,3
1121.0,9650.0,8
963.0,8491.0,1
4920.0,2252.0,11
1175.0,8361.0,1
1234.0,8393.0,1
2684.0,4280.0,13
812.0,10078.0,12
1682.0,6597.0,9
883.0,9958.0,12
3785.0,2858.0,10
3396.0,5051.0,5
3391.0,5082.0,5
2594.0,4325.0,13
1367.0,9456.0,14
673.0,10012.0,12
1146.0,9691.0,8
1663.0,6055.0,2
1430.0,9443.0,14
1367.0,9383.0,14
1078.0,8590.0,1
1165.0,8469.0,1
1154.0,9710.0,8
1083.0,9649.0,8
695.0,9586.0,3
1905.0,5795.0,6
760.0,9551.0,3
978.0,8435.0,1
774.0,9543.0,3
3342.0,4992.0,5
3301.0,4983.0,5
808.0,10028.0,12
2672.0,4362.0,13
3829.0,2918.0,10
1131.0,9726.0,8
1917.0,6017.0,2
1086.0,9765.0,8
1116.0,8299.0,1
3971.0,3204.0,4
1219.0,8327.0,1
1159.0,8471.0,1
1078.0,8473.0,1
1319.0,9545.0,14
1340.0,9498.0,14
1103.0,8404.0,1
808.0,9501.0,3
2649.0,4270.0,13
3323.0,4971.0,5
3987.0,3278.0,4
1175.0,8460.0,1
1875.0,5864.0,6
1877.0,5953.0,2
2666.0,4306.0,13
1631.0,6536.0,9
993.0,8417.0,1
1135.0,8550.0,1
729.0,10001.0,12
1049.0,8358.0,1
786.0,10026.0,12
1425.0,9465.0,14
799.0,9484.0,3
3339.0,4974.0,5
3278.0,4961.0,5
3962.0,3254.0,4
1240.0,8428.0,1
777.0,9988.0,12
1894.0,5994.0,2
1154.0,8450.0,1
1959.0,5745.0,6
763.0,9505.0,3
1963.0,5752.0,6
1190.0,8388.0,1
4925.0,2233.0,11
1142.0,8410.0,1
779.0,9941.0,12
1326.0,9491.0,14
991.0,8541.0,1
2605.0,4337.0,13
779.0,9951.0,12
956.0,8464.0,1
941.0,8062.0,0
916.0,7987.0,0
803.0,10069.0,12
743.0,9481.0,3
1068.0,9677.0,8
1242.0,8368.0,1
1141.0,8566.0,1
3811.0,2911.0,10
1747.0,5952.0,2
3809.0,2899.0,10
1301.0,9502.0,14
1934.0,6007.0,2
4254.0,1351.0,7
842.0,9919.0,12
1776.0,6068.0,2
3391.0,5006.0,5
740.0,9505.0,3
1089.0,9823.0,8
3291.0,5050.0,5
3289.0,5056.0,5
1290.0,9427.0,14
3924.0,3231.0,4
1055.0,9772.0,8
2686.0,4332.0,13
1273.0,9348.0,14
1165.0,8420.0,1
1889.0,5748.0,6
1345.0,9469.0,14
805.0,10081.0,12
852.0,10057.0,12
1865.0,5858.0,6
1855.0,5981.0,2
1608.0,6525.0,9
1170.0,8372.0,1
1094.0,9807.0,8
946.0,8063.0,0
809.0,10088.0,12
1066.0,8518.0,1
1241.0,8397.0,1
1872.0,5747.0,6
3805.0,2851.0,10
725.0,9564.0,3
1118.0,8471.0,1
1137.0,8328.0,1
765.0,10097.0,12
1101.0,8410.0,1
1266.0,9458.0,14
1682.0,6587.0,9
2642.0,4289.0,13
1111.0,8558.0,1
1196.0,8463.0,1
1097.0,9666.0,8
745.0,9915.0,12
2608.0,4353.0,13
1057.0,8359.0,1
1424.0,9421.0,14
1812.0,5993.0,2
4278.0,1322.0,7
4935.0,2268.0,11
1111.0,8537.0,1
1763.0,5993.0,2
1212.0,8372.0,1
3946.0,3193.0,4
1683.0,6566.0,9
1925.0,5737.0,6
695.0,9994.0,12
1136.0,9720.0,8
1044.0,8509.0,1
722.0,10044.0,12
998.0,8480.0,1
1192.0,8530.0,1
1890.0,5972.0,2
2627.0,4368.0,13
1753.0,6068.0,2
1875.0,5989.0,2
1116.0,8508.0,1
1835.0,5773.0,6
1936.0,5788.0,6
1744.0,6004.0,2
1141.0,8387.0,1
1334.0,9548.0,14
1754.0,5998.0,2
1331.0,9411.0,14
684.0,10063.0,12
781.0,9487.0,3
1846.0,5772.0,6
1180.0,8500.0,1
3340.0,4998.0,5
664.0,9508.0,3
1037.0,9730.0,8
2672.0,4267.0,13
875.0,9977.0,12
1742.0,6030.0,2
1697.0,6058.0,2
1002.0,8451.0,1
1892.0,5798.0,6
1059.0,8563.0,1
1745.0,5999.0,2
859.0,9970.0,12
1904.0,5758.0,6
1191.0,8440.0,1
1096.0,8331.0,1
1855.0,5761.0,6
3987.0,3238.0,4
2637.0,4288.0,13
1056.0,8410.0,1
1157.0,8498.0,1
1178.0,8425.0,1
1657.0,6530.0,9
2615.0,4336.0,13
1724.0,6015.0,2
3950.0,3181.0,4
1309.0,9533.0,14
3951.0,3297.0,4
1205.0,8504.0,1
849.0,10039.0,12
1707.0,6563.0,9
1902.0,5787.0,6
3411.0,5040.0,5
1659.0,6033.0,2
4920.0,2297.0,11
1681.0,6049.0,2
672.0,9539.0,3
836.0,10033.0,12
1183.0,8496.0,1
786.0,9475.0,3
3787.0,2853.0,10
1068.0,8448.0,1
791.0,9930.0,12
3311.0,5067.0,5
4295.0,1336.0,7
1149.0,9735.0,8
764.0,9574.0,3
1704.0,6001.0,2
1239.0,9429.0,14
3805.0,2866.0,10
1126.0,8570.0,1
1106.0,8297.0,1
1092.0,9636.0,8
1718.0,6544.0,9
4014.0,3260.0,4
868.0,7996.0,0
1944.0,5763.0,6
1394.0,9403.0,14
1252.0,9425.0,14
1138.0,9688.0,8
3936.0,3284.0,4
1307.0,9510.0,14
1903.0,5804.0,6
1284.0,9448.0,14
1057.0,9728.0,8
1057.0,8367.0,1
1334.0,9391.0,14
1036.0,8336.0,1
1145.0,8459.0,1
1089.0,9664.0,8
1221.0,8398.0,1
2663.0,4338.0,13
751.0,10040.0,12
4896.0,2238.0,11
773.0,10038.0,12
731.0,9985.0,12
1245.0,9487.0,14
4027.0,3272.0,4
712.0,9943.0,12
1104.0,8387.0,1
1891.0,5854.0,6
1017.0,8502.0,1
1281.0,9422.0,14
1120.0,9661.0,8
1936.0,5751.0,6
3861.0,2889.0,10
1214.0,8384.0,1
682.0,9555.0,3
1150.0,8565.0,1
3954.0,3196.0,4
1390.0,9455.0,14
3948.0,3226.0,4
964.0,8417.0,1
1360.0,9486.0,14
1116.0,9739.0,8
3387.0,5085.0,5
679.0,9575.0,3
1618.0,6551.0,9
840.0,8089.0,0
1620.0,6557.0,9
1147.0,8279.0,1
794.0,9525.0,3
1899.0,5754.0,6
1051.0,8413.0,1
3335.0,5008.0,5
1433.0,9473.0,14
1019.0,8330.0,1
1773.0,5998.0,2
880.0,8008.0,0
684.0,10002.0,12
1385.0,9363.0,14
4262.0,1310.0,7
690.0,10017.0,12
1894.0,5724.0,6
807.0,10059.0,12
1896.0,5817.0,6
1112.0,8452.0,1
823.0,10050.0,12
1366.0,9542.0,14
1832.0,5812.0,6
1683.0,6040.0,2
827.0,8057.0,0
3847.0,2909.0,10
1402.0,9525.0,14
3938.0,3296.0,4
1007.0,8336.0,1
1942.0,5771.0,6
1049.0,8482.0,1
1191.0,8371.0,1
770.0,9505.0,3
994.0,8497.0,1
1094.0,8581.0,1
1677.0,6056.0,2
1908.0,5804.0,6
693.0,9506.0,3
1056.0,8421.0,1
1170.0,8505.0,1
672.0,9497.0,3
1686.0,6060.0,2
738.0,10102.0,12
1847.0,5759.0,6
992.0,8557.0,1
1874.0,5718.0,6
989.0,8531.0,1
3860.0,2894.0,10
3837.0,2849.0,10
834.0,10060.0,12
676.0,9997.0,12
1283.0,9505.0,14
2679.0,4355.0,13
3294.0,5034.0,5
1018.0,8582.0,1
1032.0,8555.0,1
1131.0,8306.0,1
1347.0,9501.0,14
1144.0,9745.0,8
1235.0,9421.0,14
2646.0,4278.0,13
2651.0,4322.0,13
2623.0,4334.0,13
3869.0,2907.0,10
4919.0,2289.0,11
1125.0,9809.0,8
3381.0,4994.0,5
1162.0,8478.0,1
1152.0,8539.0,1
1299.0,9526.0,14
1866.0,5796.0,6
827.0,10069.0,12
823.0,10080.0,12
701.0,9549.0,3
1053.0,8476.0,1
712.0,10040.0,12
1423.0,9451.0,14
1699.0,5985.0,2
1844.0,5798.0,6
1116.0,8358.0,1
1106.0,8499.0,1
1953.0,5705.0,6
724.0,9995.0,12
1115.0,8521.0,1
1077.0,8321.0,1
1789.0,5980.0,2
829.0,10048.0,12
716.0,9554.0,3
1912.0,5764.0,6
4011.0,3203.0,4
974.0,8491.0,1
676.0,10016.0,12
704.0,9583.0,3
4006.0,3325.0,4
1901.0,5792.0,6
946.0,8011.0,0
1162.0,8374.0,1
4286.0,1337.0,7
765.0,10003.0,12
1007.0,8414.0,1
1955.0,5732.0,6
1667.0,6518.0,9
2665.0,4311.0,13
4006.0,3250.0,4
1068.0,8317.0,1
1715.0,6004.0,2
1917.0,5745.0,6
1942.0,5968.0,2
1177.0,8444.0,1
711.0,10058.0,12
1071.0,8411.0,1
1373.0,9458.0,14
3370.0,5009.0,5
1686.0,6548.0,9
3955.0,3189.0,4
751.0,9476.0,3
2618.0,4299.0,13
1873.0,6010.0,2
973.0,8505.0,1
1106.0,9783.0,8
1169.0,8517.0,1
1058.0,9672.0,8
1880.0,5948.0,2
1138.0,9737.0,8
1261.0,9358.0,14
942.0,8073.0,0
2659.0,4309.0,13
1216.0,8340.0,1
1289.0,9505.0,14
1931.0,5847.0,6
711.0,9949.0,12
1102.0,9821.0,8
1182.0,8437.0,1
1771.0,6031.0,2
2646.0,4328.0,13
1229.0,8454.0,1
1353.0,9387.0,14
1218.0,8405.0,1
1838.0,5790.0,6
744.0,9529.0,3
853.0,9958.0,12
912.0,8038.0,0
1040.0,9713.0,8
1046.0,9694.0,8
823.0,9969.0,12
3986.0,3295.0,4
872.0,8052.0,0
1077.0,9659.0,8
1116.0,8320.0,1
1277.0,9371.0,14
3996.0,3247.0,4
1035.0,8360.0,1
1760.0,6083.0,2
1316.0,9426.0,14
1142.0,8498.0,1
1024.0,8389.0,1
737.0,9474.0,3
1095.0,8546.0,1
848.0,10002.0,12
789.0,9539.0,3
1134.0,8320.0,1
1023.0,8415.0,1
699.0,9980.0,12
1046.0,8342.0,1
1719.0,5977.0,2
1177.0,8404.0,1
664.0,9998.0,12
1919.0,5964.0,2
1159.0,8392.0,1
1083.0,9744.0,8
3374.0,4994.0,5
1000.0,8456.0,1
1129.0,8551.0,1
3996.0,3258.0,4
3994.0,3292.0,4
1031.0,8390.0,1
4887.0,2250.0,11
866.0,8010.0,0
1961.0,5728.0,6
1852.0,5755.0,6
1099.0,9811.0,8
1664.0,6522.0,9
3789.0,2863.0,10
798.0,9985.0,12
3949.0,3283.0,4
723.0,10091.0,12
1060.0,8399.0,1
1157.0,9725.0,8
3300.0,4999.0,5
713.0,9962.0,12
3977.0,3263.0,4
1281.0,9363.0,14
4917.0,2232.0,11
1103.0,8311.0,1
3946.0,3217.0,4
1031.0,8447.0,1
888.0,8037.0,0
1858.0,5858.0,6
1126.0,8289.0,1
1283.0,9406.0,14
4896.0,2254.0,11
3337.0,5087.0,5
1311.0,9367.0,14
1073.0,8506.0,1
782.0,9972.0,12
715.0,9580.0,3
1648.0,6524.0,9
1304.0,9438.0,14
1937.0,5706.0,6
771.0,9552.0,3
1353.0,9450.0,14
1103.0,9638.0,8
1279.0,9515.0,14
1254.0,9432.0,14
1213.0,8411.0,1
712.0,9924.0,12
906.0,8008.0,0
748.0,9570.0,3
1629.0,6531.0,9
1187.0,8292.0,1
1055.0,8580.0,1
1157.0,9702.0,8
