X,Y,cluster_id
3271.0,3834.0,309
1912.0,6124.0,261
3895.0,4194.0,321
2814.0,3850.0,237
2705.0,5349.0,91
3073.0,5412.0,269
1173.0,9467.0,44
1598.0,8588.0,57
1259.0,8365.0,66
3930.0,3664.0,305
2562.0,5001.0,256
1035.0,8713.0,290
5152.0,2351.0,303
2969.0,5053.0,101
3128.0,3569.0,277
4105.0,1335.0,0
880.0,9877.0,104
785.0,8800.0,184
2025.0,9188.0,43
2925.0,4623.0,333
4107.0,2189.0,361
2816.0,4744.0,293
759.0,8859.0,40
1190.0,8753.0,283
3716.0,2320.0,322
2508.0,4658.0,18
2299.0,5770.0,37
3857.0,2263.0,1
2831.0,4972.0,9
3045.0,3204.0,319
2743.0,4999.0,365
2583.0,5267.0,222
4650.0,2267.0,325
2758.0,4625.0,331
2469.0,4969.0,241
1931.0,6291.0,48
1301.0,5156.0,246
1796.0,6228.0,5
4654.0,2019.0,281
4182.0,2311.0,143
3050.0,4053.0,200
3842.0,5413.0,300
3415.0,5305.0,339
3533.0,2857.0,20
3919.0,2998.0,323
2682.0,5334.0,91
2560.0,5500.0,4
5189.0,2625.0,223
913.0,8680.0,285
3383.0,2721.0,10
4170.0,1723.0,198
2928.0,4984.0,364
4076.0,2235.0,89
2640.0,4538.0,320
3437.0,2364.0,199
4725.0,2487.0,271
3495.0,2771.0,282
1314.0,8474.0,217
1154.0,9474.0,44
2209.0,4948.0,185
936.0,9142.0,359
2974.0,5056.0,101
3642.0,3957.0,27
1817.0,6467.0,196
3668.0,5044.0,47
1900.0,6973.0,36
4706.0,2296.0,327
4006.0,979.0,81
4035.0,1361.0,99
4067.0,5853.0,72
1601.0,5023.0,21
814.0,9762.0,214
996.0,8617.0,63
3821.0,2304.0,366
4263.0,1567.0,50
4070.0,3545.0,267
2427.0,5681.0,264
4209.0,2334.0,143
4398.0,1499.0,31
961.0,9434.0,192
3916.0,2372.0,358
4476.0,2214.0,82
3729.0,4552.0,255
3855.0,2789.0,61
3082.0,3693.0,131
2946.0,3863.0,160
2234.0,5660.0,52
1646.0,5021.0,21
3684.0,4711.0,367
4325.0,2382.0,15
2533.0,4837.0,74
2026.0,5977.0,77
1306.0,8188.0,354
2370.0,5077.0,306
4769.0,2021.0,363
3434.0,3728.0,51
3009.0,4131.0,332
1018.0,8646.0,63
2215.0,5775.0,105
3044.0,4218.0,349
3528.0,2964.0,270
2566.0,4337.0,279
1048.0,8838.0,194
3575.0,3323.0,317
1261.0,8865.0,345
3482.0,4041.0,96
3229.0,3783.0,86
3968.0,5659.0,147
3803.0,4629.0,351
898.0,7781.0,259
2934.0,4845.0,28
3128.0,5461.0,230
4934.0,1992.0,23
3384.0,4990.0,328
4163.0,1341.0,0
3469.0,2211.0,275
3802.0,2697.0,14
3236.0,3289.0,295
3073.0,3837.0,278
4336.0,1721.0,174
3228.0,5476.0,343
4567.0,2002.0,182
2351.0,4975.0,42
1429.0,9320.0,329
5061.0,2037.0,23
3599.0,5305.0,60
4009.0,2179.0,54
812.0,8954.0,189
3928.0,5803.0,243
3667.0,4783.0,234
2904.0,4440.0,258
3675.0,4995.0,47
1311.0,9682.0,8
1856.0,7371.0,311
3484.0,4912.0,33
892.0,9176.0,340
2823.0,4921.0,9
1451.0,8316.0,11
5137.0,1875.0,128
5193.0,1929.0,88
3741.0,2458.0,224
2040.0,7393.0,65
3841.0,3476.0,342
1844.0,6788.0,16
5180.0,1712.0,76
3551.0,3445.0,98
2881.0,3929.0,221
4023.0,5869.0,72
2021.0,7427.0,65
814.0,9430.0,201
2847.0,5393.0,2
3755.0,4437.0,249
3780.0,2228.0,1
1322.0,7658.0,239
3862.0,4739.0,71
3663.0,3946.0,27
2913.0,3633.0,13
1806.0,6280.0,5
4892.0,2202.0,284
3416.0,3735.0,51
3380.0,2509.0,344
4080.0,5944.0,209
860.0,9698.0,146
3507.0,5123.0,56
3019.0,3526.0,357
2991.0,5249.0,353
4988.0,1779.0,97
2289.0,5819.0,37
4618.0,1715.0,257
3123.0,3785.0,144
1167.0,8194.0,12
3275.0,4776.0,25
2401.0,5621.0,326
1936.0,6195.0,238
3460.0,5137.0,56
2207.0,5640.0,52
3388.0,5178.0,341
952.0,9077.0,304
4311.0,1406.0,210
4104.0,1102.0,140
4896.0,2093.0,7
1013.0,9179.0,265
3413.0,4926.0,288
3240.0,4858.0,235
3728.0,3641.0,346
3782.0,5246.0,302
3471.0,3947.0,190
2530.0,5447.0,166
3470.0,5131.0,56
2386.0,4669.0,348
2218.0,5766.0,105
4531.0,2054.0,121
2990.0,4401.0,231
2403.0,5496.0,124
1961.0,5973.0,252
3692.0,3801.0,202
3273.0,4938.0,240
3097.0,3689.0,131
2577.0,4549.0,78
3201.0,3692.0,228
3767.0,4725.0,87
3889.0,4666.0,71
810.0,7701.0,120
2084.0,5672.0,203
2684.0,4449.0,347
3568.0,4787.0,197
2012.0,4885.0,94
2418.0,5460.0,124
1137.0,10114.0,207
4047.0,6091.0,244
5149.0,1712.0,76
4346.0,1723.0,174
2386.0,5560.0,316
3907.0,3991.0,186
3817.0,5533.0,297
836.0,9231.0,173
3599.0,5271.0,60
3749.0,2375.0,318
2206.0,5016.0,35
2941.0,4717.0,119
2348.0,4713.0,172
1374.0,5128.0,250
3960.0,1013.0,81
3986.0,2711.0,73
1449.0,8378.0,158
1782.0,6185.0,5
839.0,9698.0,146
1070.0,8249.0,273
3897.0,3719.0,45
4933.0,1965.0,23
4704.0,2231.0,314
3968.0,3410.0,313
2015.0,9146.0,43
3798.0,3514.0,352
3984.0,2745.0,73
2926.0,4442.0,258
1894.0,4840.0,307
1142.0,8239.0,12
4033.0,3414.0,312
3982.0,2391.0,337
5000.0,2013.0,23
3521.0,5101.0,56
3091.0,3684.0,131
5029.0,2031.0,23
1276.0,7865.0,59
4243.0,1721.0,39
1944.0,6810.0,206
4659.0,2337.0,213
4433.0,1998.0,106
3280.0,2243.0,32
1642.0,7511.0,287
2052.0,7495.0,262
3988.0,3336.0,138
3740.0,4723.0,87
3816.0,3153.0,299
2940.0,4223.0,362
344.0,7947.0,274
1542.0,8403.0,310
3501.0,3400.0,98
4279.0,1710.0,39
3401.0,2739.0,10
4080.0,6230.0,335
3747.0,2862.0,276
3870.0,4390.0,29
1328.0,8301.0,66
3291.0,3536.0,315
1867.0,6986.0,36
3502.0,4919.0,33
1957.0,6935.0,296
1974.0,7253.0,195
3838.0,3366.0,268
1193.0,8190.0,12
1819.0,7101.0,187
3836.0,4445.0,29
1200.0,8527.0,156
4674.0,2131.0,280
3431.0,2802.0,10
1874.0,6827.0,16
1380.0,8628.0,191
3402.0,4094.0,330
4940.0,2064.0,7
679.0,7778.0,92
832.0,9289.0,137
3047.0,3762.0,144
5146.0,1778.0,308
3692.0,2919.0,242
2125.0,4986.0,35
4516.0,2118.0,41
2408.0,5020.0,42
1212.0,9476.0,44
2510.0,5321.0,324
2724.0,4789.0,62
3526.0,5229.0,218
2452.0,4680.0,18
2593.0,4709.0,208
3414.0,3122.0,247
3526.0,4047.0,96
2696.0,3800.0,236
4335.0,1729.0,174
1034.0,9800.0,152
1106.0,8096.0,130
3529.0,3649.0,30
2616.0,4978.0,171
3905.0,2454.0,220
2866.0,4938.0,9
4586.0,1951.0,22
4304.0,1490.0,108
3374.0,3661.0,215
4008.0,3045.0,19
4802.0,2237.0,162
1978.0,9132.0,43
5111.0,1848.0,128
3679.0,3543.0,90
1258.0,8016.0,188
3778.0,2207.0,1
2253.0,5036.0,35
3727.0,5280.0,38
1380.0,5213.0,360
1469.0,5162.0,151
2467.0,5643.0,180
862.0,9874.0,104
1411.0,8283.0,11
1255.0,7865.0,59
3191.0,4794.0,175
744.0,8889.0,40
4044.0,5885.0,72
3142.0,3884.0,254
3138.0,5357.0,260
2927.0,3806.0,169
2135.0,5897.0,253
2881.0,4956.0,9
3855.0,4135.0,141
3299.0,4121.0,93
3983.0,2171.0,54
1598.0,8593.0,57
3615.0,4159.0,368
2875.0,5253.0,233
3336.0,2248.0,32
2364.0,4919.0,17
1210.0,7858.0,59
4955.0,1930.0,23
1403.0,8435.0,338
2512.0,5677.0,298
2916.0,3685.0,13
2121.0,4991.0,35
2529.0,5435.0,166
2713.0,5333.0,91
3687.0,5083.0,47
3863.0,2745.0,61
2899.0,3442.0,75
3809.0,2239.0,1
3836.0,4049.0,100
1109.0,8938.0,26
2728.0,5439.0,64
4545.0,2066.0,121
4011.0,2938.0,118
3773.0,4903.0,226
2963.0,4768.0,179
2442.0,4728.0,18
1896.0,6280.0,48
2570.0,5706.0,232
2496.0,5576.0,4
2722.0,4802.0,62
950.0,9555.0,155
3368.0,3268.0,227
4369.0,2409.0,15
3380.0,3450.0,58
3275.0,3976.0,164
1017.0,8584.0,63
3952.0,4261.0,159
1978.0,7065.0,291
4030.0,988.0,81
3441.0,2845.0,10
2982.0,4894.0,28
1432.0,8382.0,158
3367.0,4037.0,165
3620.0,2405.0,136
3371.0,4041.0,165
3982.0,3004.0,19
2836.0,4050.0,170
1735.0,8880.0,95
1955.0,6331.0,48
4959.0,1982.0,23
4278.0,2223.0,245
3764.0,3371.0,24
3011.0,3685.0,289
1339.0,8390.0,294
4909.0,1995.0,23
2698.0,5154.0,272
4428.0,2364.0,216
3475.0,4038.0,96
1994.0,9146.0,43
4895.0,2384.0,139
1945.0,7163.0,84
3008.0,5341.0,229
2402.0,5379.0,46
3559.0,3417.0,98
3962.0,5667.0,147
3892.0,5458.0,126
2146.0,4998.0,35
1970.0,6043.0,219
4210.0,2211.0,292
1035.0,8175.0,116
1298.0,8608.0,107
1304.0,8245.0,148
4503.0,2159.0,41
2540.0,5549.0,4
3870.0,2802.0,61
2253.0,4906.0,336
3926.0,3718.0,45
3461.0,3581.0,167
3451.0,2660.0,193
2400.0,4881.0,17
2721.0,5439.0,64
3673.0,3054.0,157
1387.0,9236.0,350
3601.0,2989.0,3
2871.0,3531.0,225
3896.0,3859.0,127
2424.0,5052.0,42
3561.0,3024.0,3
1103.0,8954.0,26
2504.0,4680.0,18
1051.0,8811.0,194
3758.0,4207.0,6
1207.0,9661.0,134
3493.0,2875.0,20
2489.0,4759.0,18
724.0,9053.0,112
4067.0,2240.0,89
2660.0,5253.0,248
2072.0,5986.0,77
1266.0,8351.0,66
2847.0,4223.0,205
3679.0,3552.0,90
2384.0,4989.0,42
3891.0,2322.0,178
1052.0,8967.0,26
2314.0,4628.0,154
2859.0,3638.0,13
2652.0,4620.0,113
2058.0,7368.0,65
4384.0,1452.0,31
3062.0,3597.0,69
3338.0,5145.0,266
3750.0,2658.0,14
2794.0,5403.0,2
3234.0,4756.0,25
754.0,8933.0,40
3833.0,3793.0,132
3401.0,4728.0,111
2015.0,9281.0,135
971.0,8946.0,301
3857.0,3782.0,132
3823.0,4395.0,29
2880.0,4465.0,258
825.0,9114.0,149
962.0,9204.0,356
3773.0,2654.0,14
2276.0,5734.0,37
3091.0,3762.0,144
2136.0,5015.0,35
1110.0,9469.0,44
2452.0,4762.0,18
4250.0,1561.0,50
3610.0,3604.0,103
3717.0,4857.0,68
4336.0,2111.0,251
3384.0,2749.0,10
4346.0,2165.0,181
3217.0,3748.0,86
4445.0,2141.0,83
3984.0,1004.0,81
3836.0,4388.0,29
3177.0,3952.0,129
2503.0,5568.0,4
3910.0,5575.0,163
986.0,9951.0,168
1117.0,7932.0,204
4945.0,1781.0,97
4158.0,1325.0,0
3745.0,3697.0,212
4959.0,2383.0,79
3788.0,4164.0,6
1819.0,6524.0,355
3953.0,5878.0,286
1327.0,8800.0,161
3519.0,3393.0,98
3945.0,5676.0,147
3480.0,3656.0,30
5211.0,1891.0,88
2956.0,4858.0,28
1950.0,6496.0,145
2957.0,3409.0,123
3221.0,2468.0,263
