og_centroid,closest_centroid,dist,cluster_id
"(2922.5, 5537.5)","(2970.5, 5479.5)",75.286,156
"(2970.5, 5479.5)","(2922.5, 5537.5)",75.286,84
"(3189.5, 5134.5)","(3110.0, 5159.0)",83.19,23
"(3110.0, 5159.0)","(3189.5, 5134.5)",83.19,168
"(1929.0, 9179.0)","(1848.5, 9203.0)",84.001,182
"(1848.5, 9203.0)","(1929.0, 9179.0)",84.001,43
"(4325.5, 2298.0)","(4408.0, 2270.5)",86.963,3
"(4408.0, 2270.5)","(4325.5, 2298.0)",86.963,83
"(4243.5, 1750.5)","(4324.5, 1785.0)",88.041,6
"(4324.5, 1785.0)","(4243.5, 1750.5)",88.041,101
"(1071.0, 9306.5)","(990.0, 9342.0)",88.438,298
"(990.0, 9342.0)","(1071.0, 9306.5)",88.438,14
"(1195.5, 9861.5)","(1167.5, 9946.5)",89.493,38
"(1167.5, 9946.5)","(1195.5, 9861.5)",89.493,92
"(2005.0, 9229.5)","(1929.0, 9179.0)",91.248,17
"(3059.0, 5456.333)","(2970.5, 5479.5)",91.482,86
"(5160.0, 1839.0)","(5165.0, 1932.0)",93.134,95
"(5165.0, 1932.0)","(5160.0, 1839.0)",93.134,129
"(2644.5, 4902.0)","(2579.333, 4828.333)",98.354,96
"(2579.333, 4828.333)","(2644.5, 4902.0)",98.354,45
"(3283.333, 2749.0)","(3370.0, 2701.5)",98.83,25
"(3370.0, 2701.5)","(3283.333, 2749.0)",98.83,61
"(5060.0, 1815.5)","(5160.0, 1839.0)",102.724,63
"(1763.5, 9141.5)","(1848.5, 9203.0)",104.915,34
"(2741.5, 4943.0)","(2644.5, 4902.0)",105.309,60
"(2250.333, 4946.0)","(2165.0, 5009.5)",106.367,8
"(2165.0, 5009.5)","(2250.333, 4946.0)",106.367,94
"(3328.0, 2602.0)","(3370.0, 2701.5)",108.001,0
"(2919.0, 5000.25)","(2942.667, 5110.333)",112.599,178
"(2942.667, 5110.333)","(2919.0, 5000.25)",112.599,57
"(2907.667, 5385.667)","(2970.5, 5479.5)",112.928,77
"(3649.0, 5209.333)","(3701.5, 5314.5)",117.543,30
"(3701.5, 5314.5)","(3649.0, 5209.333)",117.543,69
"(3818.0, 5282.8)","(3701.5, 5314.5)",120.736,4
"(2756.5, 3649.5)","(2739.5, 3772.5)",124.169,39
"(2739.5, 3772.5)","(2756.5, 3649.5)",124.169,66
"(3593.5, 3448.0)","(3548.5, 3565.0)",125.355,11
"(3548.5, 3565.0)","(3593.5, 3448.0)",125.355,82
"(2409.0, 4701.5)","(2405.5, 4831.5)",130.047,35
"(2405.5, 4831.5)","(2409.0, 4701.5)",130.047,36
"(694.5, 8855.75)","(776.0, 8958.0)",130.757,31
"(776.0, 8958.0)","(694.5, 8855.75)",130.757,46
"(2946.0, 4297.667)","(2872.5, 4408.0)",132.573,87
"(2872.5, 4408.0)","(2946.0, 4297.667)",132.573,28
"(3779.0, 3494.5)","(3733.6, 3620.0)",133.459,27
"(3733.6, 3620.0)","(3779.0, 3494.5)",133.459,47
"(2887.0, 3685.5)","(2756.5, 3649.5)",135.374,26
"(1017.667, 9476.333)","(990.0, 9342.0)",137.153,21
"(3395.0, 4922.0)","(3478.0, 4810.5)",139.001,71
"(3478.0, 4810.5)","(3395.0, 4922.0)",139.001,352
"(3027.5, 3705.0)","(2887.0, 3685.5)",141.847,5
"(4865.0, 1897.5)","(4739.333, 1963.333)",141.867,130
"(4739.333, 1963.333)","(4865.0, 1897.5)",141.867,37
"(2835.0, 4828.0)","(2741.5, 4943.0)",148.214,7
"(3509.0, 3325.5)","(3593.5, 3448.0)",148.817,89
"(4595.0, 2199.0)","(4714.667, 2289.667)",150.135,78
"(4714.667, 2289.667)","(4595.0, 2199.0)",150.135,53
"(4737.333, 2113.833)","(4739.333, 1963.333)",150.513,22
"(3272.0, 4830.5)","(3395.0, 4922.0)",153.301,183
"(2398.667, 4989.0)","(2250.333, 4946.0)",154.44,1
"(3852.0, 4241.5)","(3756.375, 4119.125)",155.305,88
"(3756.375, 4119.125)","(3852.0, 4241.5)",155.305,80
"(3114.5, 4829.0)","(3272.0, 4830.5)",157.507,19
"(3077.5, 4993.0)","(2919.0, 5000.25)",158.666,148
"(3224.0, 5295.0)","(3189.5, 5134.5)",164.166,16
"(4817.0, 2447.5)","(4656.5, 2495.0)",167.381,13
"(4656.5, 2495.0)","(4817.0, 2447.5)",167.381,2
"(3628.0, 3759.0)","(3733.6, 3620.0)",174.563,75
"(3222.5, 3629.5)","(3287.5, 3456.0)",185.276,29
"(3287.5, 3456.0)","(3222.5, 3629.5)",185.276,179
"(4498.5, 1701.5)","(4324.5, 1785.0)",192.998,167
"(1219.333, 8563.333)","(1398.5, 8485.5)",195.343,32
"(1398.5, 8485.5)","(1219.333, 8563.333)",195.343,162
"(2455.667, 5350.0)","(2647.0, 5406.5)",199.501,20
"(2647.0, 5406.5)","(2455.667, 5350.0)",199.501,41
"(5017.5, 2464.25)","(4817.0, 2447.5)",201.198,81
"(3368.0, 3771.0)","(3222.5, 3629.5)",202.959,175
"(1017.5, 8633.0)","(1219.333, 8563.333)",213.518,9
"(3968.667, 3609.333)","(3779.0, 3494.5)",221.721,18
"(3900.5, 4592.75)","(3725.8, 4730.6)",222.537,52
"(3725.8, 4730.6)","(3900.5, 4592.75)",222.537,40
"(2724.0, 5170.5)","(2942.667, 5110.333)",226.793,15
"(4266.5, 1520.75)","(4243.5, 1750.5)",230.898,44
"(4941.5, 2225.5)","(4737.333, 2113.833)",232.709,155
"(4317.0, 2018.5)","(4324.5, 1785.0)",233.62,93
"(2650.0, 5646.5)","(2647.0, 5406.5)",240.019,185
"(1232.5, 8851.5)","(1442.0, 8728.5)",242.939,50
"(1442.0, 8728.5)","(1232.5, 8851.5)",242.939,42
"(1679.0, 8800.5)","(1442.0, 8728.5)",247.695,56
"(3099.333, 3233.333)","(2940.0, 3433.5)",255.839,12
"(2940.0, 3433.5)","(3099.333, 3233.333)",255.839,154
"(3215.0, 3978.0)","(3368.0, 3771.0)",257.406,55
"(3588.5, 4316.5)","(3756.375, 4119.125)",259.112,54
"(5205.0, 2651.0)","(5017.5, 2464.25)",264.635,48
"(1954.5, 4842.0)","(2165.0, 5009.5)",269.01,108
"(3669.0, 3108.4)","(3509.0, 3325.5)",269.689,59
"(4045.0, 2224.5)","(4325.5, 2298.0)",289.97,64
