og_centroid,closest_centroid,dist,cluster_id
"(4.621, 4.715)","(4.511, 4.748)",130.12714314853804,0
"(4.511, 4.748)","(4.621, 4.715)",130.12714314853804,9
"(4.562, 4.418)","(4.621, 4.715)",341.51076164595446,18
"(4.146, 4.515)","(4.562, 4.418)",480.4551082879646,11
"(3.428, 3.08)","(3.475, 3.54)",520.8314192230731,4
"(3.475, 3.54)","(3.428, 3.08)",520.8314192230731,6
"(3.832, 3.858)","(3.475, 3.54)",538.2013046661267,17
"(2.778, 3.214)","(3.428, 3.08)",747.9790894216222,8
"(5.836, 5.304)","(4.621, 4.715)",1520.0853589006113,24
"(1.25, 0.959)","(2.778, 3.214)",3067.7122915429995,15
