X,Y,cluster_id
2.28,1.748,70
3.643,4.197,44
2.583,2.829,55
2.174,2.233,2
3.814,4.23,47
2.242,2.462,63
2.11,1.171,42
6.591,6.043,39
5.076,4.587,69
3.658,3.994,73
3.998,3.715,43
1.956,0.918,64
2.186,2.364,60
6.109,5.94,66
3.786,3.291,48
6.651,6.37,53
5.505,6.078,71
3.17,2.749,49
6.466,5.654,67
3.76,4.531,54
4.015,4.481,41
3.048,3.086,45
2.322,2.523,58
2.432,1.986,75
1.416,1.154,77
4.778,4.355,21
6.9,6.114,78
3.975,3.959,46
1.787,1.43,56
1.378,0.836,20
1.506,0.917,27
4.019,3.934,38
6.567,6.477,76
3.497,3.111,65
2.226,1.971,57
3.649,4.482,61
2.209,1.916,37
2.877,2.01,51
5.039,4.817,52
1.227,0.731,68
4.907,4.914,25
5.433,5.662,40
5.64,5.96,22
3.723,3.543,10
6.159,6.02,62
6.202,6.106,32
5.697,5.778,19
3.463,3.614,59
6.942,6.087,30
2.005,1.294,26
2.137,2.243,2
5.844,6.03,34
2.359,1.769,9
3.638,4.658,0
1.172,0.662,28
4.696,5.067,72
1.915,1.732,31
5.089,4.523,18
6.823,6.29,29
5.506,5.612,50
3.293,3.191,33
6.604,6.322,74
4.81,4.785,4
6.488,6.64,35
3.58,4.567,36
5.457,5.55,17
2.327,1.357,15
3.064,3.361,23
4.817,5.203,24
6.845,6.175,16
3.784,3.714,14
3.999,4.13,13
3.598,4.638,0
3.474,3.512,12
4.977,5.16,11
3.518,3.669,8
1.832,1.517,7
2.689,2.256,6
1.426,0.69,5
7.224,6.458,3
7.006,6.249,1
