X,Y,cluster_id
4854,4597,61
7491,7541,65
2957,2160,0
3576,3531,49
4973,4597,60
3978,3987,40
7492,7170,41
1695,1214,45
5090,5330,57
7244,6964,67
4933,5145,73
3299,2241,8
6503,5832,53
6807,6705,51
6896,6634,47
3770,3286,42
1545,807,54
7149,6952,70
7018,6870,68
3443,2378,69
4116,4818,74
1593,658,39
2324,1967,62
7679,7451,44
4613,4281,58
3390,2108,52
2202,1420,30
2157,893,3
5381,4936,43
2169,2135,1
4483,4200,48
3381,3954,2
3308,2225,8
6683,6932,20
1386,686,23
3476,3681,46
3445,3103,50
7189,7063,63
5356,5019,36
7202,6299,64
8144,7266,19
4603,5171,59
4056,4792,56
6751,6463,38
2384,2270,34
2157,1502,71
5645,5843,31
3350,2352,9
5436,5846,22
6251,5672,55
4696,4549,72
4638,4968,21
6960,6950,33
4748,4854,26
4064,4129,25
6036,6027,75
3251,2315,35
5724,4957,27
6812,6769,37
1696,890,24
5396,5708,29
3104,3452,10
3361,3986,2
2151,2105,1
6252,6841,16
5697,5942,14
6632,6797,28
2955,2115,0
3810,3587,18
6113,6255,11
2873,2637,66
2710,2414,17
2626,1439,12
7390,7497,13
3733,3076,32
5291,5723,15
4287,5226,5
2482,2505,7
2517,1331,6
1292,856,4
2143,875,3
