og_centroid,closest_centroid,dist,cluster_id
"(4621.459, 4715.296)","(4510.735, 4748.349)",130.12714314853804,0
"(4510.735, 4748.349)","(4621.459, 4715.296)",130.12714314853804,9
"(4561.53, 4418.015)","(4621.459, 4715.296)",341.51076164595446,18
"(4146.164, 4515.466)","(4561.53, 4418.015)",480.4551082879646,11
"(3428.326, 3079.79)","(3474.956, 3539.932)",520.8314192230731,4
"(3474.956, 3539.932)","(3428.326, 3079.79)",520.8314192230731,6
"(3832.061, 3857.557)","(3474.956, 3539.932)",538.2013046661267,17
"(2777.843, 3214.105)","(3428.326, 3079.79)",747.9790894216222,8
"(5836.277, 5303.747)","(4621.459, 4715.296)",1520.0853589006113,24
"(1249.842, 958.87)","(2777.843, 3214.105)",3067.7122915429995,15
