X,Y,cluster_id
6.427,6.56,39
7.189,6.505,27
6.427,6.466,22
6.916,6.316,37
7.007,6.252,33
5.926,5.986,7
5.905,5.972,7
5.961,5.505,38
5.969,5.484,38
5.963,5.375,35
5.841,5.31,24
5.818,5.307,24
5.85,5.294,24
3.847,3.698,5
3.624,3.628,32
3.481,3.56,6
3.454,3.546,6
2.795,3.231,8
2.793,3.218,8
2.747,3.211,8
2.776,3.197,8
3.347,3.19,36
3.433,3.11,4
3.421,3.075,4
3.431,3.055,4
3.451,2.974,34
2.49,2.767,16
2.53,2.645,26
2.389,2.115,25
2.142,2.018,10
2.149,1.991,10
2.672,1.929,14
2.661,1.908,14
2.247,1.809,20
2.382,1.295,40
1.983,0.924,23
1.966,0.915,23
3.47,3.515,6
3.488,3.533,6
3.482,3.545,6
3.85,3.724,5
3.824,3.847,17
3.826,3.865,17
3.847,3.861,17
3.719,4.244,28
3.914,4.305,13
3.483,4.631,21
4.145,4.529,11
4.14,4.519,11
4.153,4.498,11
4.564,4.432,18
4.582,4.408,18
4.546,4.422,18
4.554,4.41,18
4.498,4.733,9
4.5,4.759,9
4.534,4.753,9
4.593,4.715,0
4.604,4.689,0
4.63,4.741,0
4.658,4.715,0
4.258,4.001,29
5.454,5.049,12
5.54,5.882,3
5.504,5.886,3
1.258,0.971,15
1.244,0.972,15
1.247,0.953,15
1.251,0.938,15
2.273,1.788,20
2.407,1.9,31
2.439,2.124,42
2.718,1.725,30
2.703,1.709,30
4.223,4.778,2
4.187,4.751,2
4.434,5.114,1
4.398,5.132,1
4.999,5.174,41
6.162,5.399,19
6.166,5.388,19
