X,Y,cluster_id
3641.0,3233.0,39
7517.0,6755.0,1
2470.0,2518.0,48
4266.0,4292.0,49
4549.0,4338.0,38
2495.0,1796.0,40
2759.0,2325.0,6
3955.0,4027.0,65
7471.0,6768.0,1
7361.0,6759.0,66
6737.0,5879.0,51
2385.0,2116.0,67
3112.0,3809.0,59
3137.0,3952.0,4
7482.0,7469.0,37
4369.0,4463.0,19
4083.0,4930.0,71
7266.0,6591.0,57
5769.0,5657.0,41
2839.0,2207.0,54
4065.0,4046.0,52
6726.0,6769.0,42
3114.0,3943.0,4
6299.0,6020.0,53
7554.0,6784.0,1
7606.0,6914.0,47
5022.0,5622.0,58
1430.0,800.0,50
6390.0,6808.0,62
1424.0,974.0,20
2165.0,956.0,63
1542.0,1049.0,56
6258.0,6762.0,0
5149.0,5524.0,2
2477.0,2815.0,73
5143.0,5575.0,2
3296.0,3912.0,24
6663.0,6333.0,64
2902.0,2353.0,3
2914.0,2032.0,43
6510.0,5916.0,60
2751.0,2340.0,6
1589.0,856.0,72
2726.0,1516.0,29
2629.0,2109.0,61
4737.0,4490.0,28
7695.0,7353.0,55
4091.0,3828.0,25
2891.0,2344.0,3
7205.0,7102.0,45
6449.0,5995.0,69
4716.0,5139.0,30
2386.0,2367.0,23
7886.0,6854.0,11
4207.0,3717.0,32
5590.0,5571.0,9
6330.0,6363.0,70
3245.0,3596.0,35
6499.0,6762.0,14
4627.0,5093.0,68
4788.0,5101.0,36
1649.0,804.0,34
5079.0,5350.0,44
6425.0,6519.0,46
6240.0,6812.0,0
4409.0,5137.0,31
6090.0,5647.0,33
2799.0,2750.0,27
7593.0,6744.0,17
7094.0,6878.0,26
3019.0,2366.0,15
3328.0,3638.0,16
2388.0,1616.0,18
2844.0,2970.0,7
6528.0,6255.0,12
2412.0,2011.0,22
4783.0,4622.0,13
1851.0,1350.0,21
4320.0,4125.0,10
6634.0,6441.0,8
6634.0,7022.0,5
