og_centroid,closest_centroid,dist,cluster_id
"(5204.346, 5310.018)","(5079.656, 5347.24)",130.127,0
"(5079.656, 5347.24)","(5204.346, 5310.018)",130.127,9
"(4315.384, 4344.096)","(4333.44, 4178.928)",166.152,17
"(4333.44, 4178.928)","(4315.384, 4344.096)",166.152,5
"(3002.772, 2160.504)","(3052.5, 1933.176)",232.703,14
"(3052.5, 1933.176)","(3002.772, 2160.504)",232.703,30
"(6941.052, 6073.92)","(6717.72, 6187.584)",250.593,19
"(6717.72, 6187.584)","(6941.052, 6073.92)",250.593,38
"(6572.384, 5972.688)","(6717.72, 6187.584)",259.428,24
"(2544.564, 2025.084)","(2415.804, 2257.296)",265.521,20
"(2415.804, 2257.296)","(2544.564, 2025.084)",265.521,10
"(4669.104, 5084.984)","(4735.26, 5365.296)",288.013,11
"(4735.26, 5365.296)","(4669.104, 5084.984)",288.013,2
"(5136.858, 4975.242)","(5204.346, 5310.018)",341.511,18
"(4973.244, 5768.892)","(5079.656, 5347.24)",434.872,1
"(6218.22, 6625.812)","(6661.776, 6732.816)",456.28,3
"(6661.776, 6732.816)","(6218.22, 6625.812)",456.28,7
"(3913.238, 3986.41)","(4333.44, 4178.928)",462.204,6
"(3860.728, 3468.232)","(3913.238, 3986.41)",520.831,4
"(3128.202, 3619.488)","(3860.728, 3468.232)",747.979,8
"(1407.48, 1079.808)","(2223.552, 1035.408)",817.279,15
"(2223.552, 1035.408)","(1407.48, 1079.808)",817.279,23
