og_coord,starfish_coord,dist
"(973, 869)","(974.0, 872.0)",3.162
"(604, 1224)","(600.0, 1223.0)",4.123
"(140, 2252)","(146.0, 2252.0)",6.0
"(2117, 1727)","(2124.0, 1723.0)",8.062
"(1114, 90)","(1106.0, 86.0)",8.944
"(2334, 885)","(2344.0, 884.0)",10.05
"(943, 2536)","(933.0, 2540.0)",10.77
"(447, 2156)","(458.0, 2155.0)",11.045
"(112, 524)","(104.0, 516.0)",11.314
"(2018, 2574)","(2008.0, 2580.0)",11.662
"(2384, 2552)","(2386.0, 2540.0)",12.166
"(952, 1972)","(964.0, 1969.0)",12.369
"(1795, 2016)","(1782.0, 2015.0)",13.038
"(2183, 2269)","(2193.0, 2258.0)",14.866
"(1800, 208)","(1816.0, 210.0)",16.125
"(2462, 405)","(2467.0, 421.0)",16.763
"(2116, 1691)","(2112.0, 1708.0)",17.464
"(1454, 3337)","(1439.0, 3327.0)",18.028
"(1981, 455)","(1987.0, 472.0)",18.028
"(2807, 384)","(2789.0, 380.0)",18.439
"(975, 2369)","(962.0, 2355.0)",19.105
"(651, 926)","(666.0, 940.0)",20.518
"(241, 1983)","(262.0, 1987.0)",21.378
"(2223, 2485)","(2243.0, 2477.0)",21.541
"(3156, 3331)","(3162.0, 3352.0)",21.84
"(628, 3405)","(632.0, 3427.0)",22.361
"(432, 2496)","(453.0, 2487.0)",22.847
"(1366, 187)","(1345.0, 196.0)",22.847
"(3093, 3359)","(3095.0, 3382.0)",23.087
"(678, 960)","(666.0, 940.0)",23.324
"(2144, 146)","(2133.0, 125.0)",23.707
"(2992, 2409)","(2985.0, 2386.0)",24.042
"(2614, 3520)","(2618.0, 3496.0)",24.331
"(2690, 167)","(2684.0, 192.0)",25.71
"(1412, 180)","(1391.0, 195.0)",25.807
"(2331, 1431)","(2313.0, 1450.0)",26.173
"(1536, 504)","(1544.0, 529.0)",26.249
"(3308, 1581)","(3311.0, 1608.0)",27.166
"(2795, 3649)","(2784.0, 3674.0)",27.313
"(2333, 1431)","(2313.0, 1450.0)",27.586
"(620, 2106)","(644.0, 2092.0)",27.785
"(3289, 1591)","(3311.0, 1608.0)",27.803
"(2004, 899)","(1978.0, 886.0)",29.069
"(2716, 2425)","(2741.0, 2441.0)",29.682
"(1907, 1868)","(1927.0, 1890.0)",29.732
"(1524, 1193)","(1548.0, 1175.0)",30.0
"(2903, 3715)","(2904.0, 3685.0)",30.017
"(809, 236)","(787.0, 258.0)",31.113
"(2921, 481)","(2937.0, 454.0)",31.385
