og_coord,starfish_coord,dist
"(144.0, 521.0)","(141.0, 526.0)",5.831
"(2912.0, 3661.0)","(2912.0, 3655.0)",6.0
"(3090.0, 3387.0)","(3095.0, 3382.0)",7.071
"(1546.0, 2120.0)","(1546.0, 2112.0)",8.0
"(2005.0, 2701.0)","(2008.0, 2709.0)",8.544
"(1391.0, 186.0)","(1391.0, 195.0)",9.0
"(2656.0, 1926.0)","(2658.0, 1936.0)",10.198
"(1807.0, 3182.0)","(1811.0, 3172.0)",10.77
"(1641.0, 1198.0)","(1646.0, 1188.0)",11.18
"(2246.0, 2696.0)","(2240.0, 2685.0)",12.53
"(96.0, 1760.0)","(91.0, 1772.0)",13.0
"(3544.0, 2273.0)","(3531.0, 2269.0)",13.601
"(3303.0, 2729.0)","(3288.0, 2732.0)",15.297
"(1444.0, 1342.0)","(1445.0, 1325.0)",17.029
"(2839.0, 2115.0)","(2856.0, 2112.0)",17.263
"(1830.0, 2762.0)","(1846.0, 2769.0)",17.464
"(786.0, 1450.0)","(804.0, 1449.0)",18.028
"(675.0, 1696.0)","(676.0, 1714.0)",18.028
"(646.0, 1530.0)","(645.0, 1549.0)",19.026
"(930.0, 326.0)","(924.0, 345.0)",19.925
"(1283.0, 985.0)","(1295.0, 1001.0)",20.0
"(1005.0, 119.0)","(985.0, 115.0)",20.396
"(2041.0, 3151.0)","(2061.0, 3155.0)",20.396
"(1426.0, 1317.0)","(1445.0, 1325.0)",20.616
"(1989.0, 2700.0)","(2008.0, 2709.0)",21.024
"(219.0, 634.0)","(227.0, 654.0)",21.541
"(677.0, 2386.0)","(672.0, 2408.0)",22.561
"(3084.0, 681.0)","(3093.0, 660.0)",22.847
"(1417.0, 3320.0)","(1439.0, 3327.0)",23.087
"(117.0, 1398.0)","(139.0, 1389.0)",23.77
"(3465.0, 2650.0)","(3485.0, 2663.0)",23.854
"(3522.0, 2292.0)","(3531.0, 2269.0)",24.698
"(1613.0, 1364.0)","(1613.0, 1338.0)",26.0
"(104.0, 490.0)","(104.0, 516.0)",26.0
"(959.0, 2540.0)","(933.0, 2540.0)",26.0
"(1905.0, 1639.0)","(1916.0, 1663.0)",26.401
"(991.0, 169.0)","(1009.0, 189.0)",26.907
"(151.0, 501.0)","(141.0, 526.0)",26.926
"(1270.0, 2096.0)","(1256.0, 2073.0)",26.926
"(2169.0, 2677.0)","(2196.0, 2682.0)",27.459
"(383.0, 2874.0)","(362.0, 2856.0)",27.659
"(2328.0, 392.0)","(2340.0, 367.0)",27.731
"(310.0, 181.0)","(282.0, 174.0)",28.862
"(1440.0, 3298.0)","(1439.0, 3327.0)",29.017
"(2167.0, 2272.0)","(2193.0, 2258.0)",29.53
"(1619.0, 1226.0)","(1603.0, 1201.0)",29.682
"(1251.0, 1483.0)","(1274.0, 1503.0)",30.48
"(1836.0, 3154.0)","(1811.0, 3172.0)",30.806
"(2234.0, 2811.0)","(2209.0, 2793.0)",30.806
"(2909.0, 3529.0)","(2934.0, 3547.0)",30.806
"(1652.0, 1219.0)","(1646.0, 1188.0)",31.575
"(2738.0, 1919.0)","(2741.0, 1951.0)",32.14
"(2016.0, 3226.0)","(2048.0, 3230.0)",32.249
"(2703.0, 1832.0)","(2679.0, 1810.0)",32.558
"(3133.0, 2364.0)","(3156.0, 2390.0)",34.713
"(2079.0, 3125.0)","(2061.0, 3155.0)",34.986
"(2469.0, 456.0)","(2467.0, 421.0)",35.057
"(2057.0, 3190.0)","(2061.0, 3155.0)",35.228
"(2396.0, 3469.0)","(2419.0, 3442.0)",35.468
"(1369.0, 987.0)","(1333.0, 985.0)",36.056
"(2265.0, 2659.0)","(2240.0, 2685.0)",36.069
"(737.0, 1198.0)","(773.0, 1194.0)",36.222
"(2702.0, 1667.0)","(2719.0, 1635.0)",36.235
"(3190.0, 985.0)","(3156.0, 972.0)",36.401
"(3480.0, 1863.0)","(3457.0, 1833.0)",37.802
"(2050.0, 1373.0)","(2071.0, 1405.0)",38.275
"(139.0, 567.0)","(116.0, 536.0)",38.601
"(1578.0, 1428.0)","(1542.0, 1442.0)",38.626
"(3182.0, 3509.0)","(3220.0, 3516.0)",38.639
"(2043.0, 3005.0)","(2043.0, 2966.0)",39.0
"(2181.0, 3723.0)","(2206.0, 3753.0)",39.051
"(2231.0, 1881.0)","(2194.0, 1894.0)",39.217
"(3200.0, 3482.0)","(3220.0, 3516.0)",39.446
"(2251.0, 2647.0)","(2240.0, 2685.0)",39.56
"(1078.0, 128.0)","(1053.0, 159.0)",39.825
"(1653.0, 1344.0)","(1613.0, 1338.0)",40.447
"(3117.0, 2379.0)","(3156.0, 2390.0)",40.522
"(1632.0, 1374.0)","(1613.0, 1338.0)",40.706
"(1641.0, 542.0)","(1676.0, 521.0)",40.817
"(2794.0, 3276.0)","(2755.0, 3290.0)",41.437
"(3144.0, 3314.0)","(3162.0, 3352.0)",42.048
"(1294.0, 1540.0)","(1274.0, 1503.0)",42.059
"(1647.0, 490.0)","(1676.0, 521.0)",42.45
"(173.0, 554.0)","(141.0, 526.0)",42.521
"(3262.0, 2698.0)","(3288.0, 2732.0)",42.802
"(1607.0, 906.0)","(1587.0, 944.0)",42.942
