og_coord,goldstar_coord,dist
"(9.801, 5.819)","(9.807, 5.817)",0.006
"(3.552, 0.906)","(3.558, 0.903)",0.006
"(9.732, 4.741)","(9.726, 4.74)",0.007
"(9.834, 5.639)","(9.83, 5.632)",0.008
"(3.074, 0.931)","(3.075, 0.939)",0.008
"(10.061, 2.247)","(10.07, 2.247)",0.009
"(11.65, 6.566)","(11.649, 6.575)",0.009
"(3.007, 1.598)","(2.999, 1.603)",0.009
"(2.35, 1.577)","(2.341, 1.58)",0.01
"(1.674, 0.807)","(1.67, 0.816)",0.01
"(1.724, 1.85)","(1.73, 1.858)",0.01
"(9.161, 3.944)","(9.152, 3.938)",0.011
"(4.315, 0.567)","(4.308, 0.576)",0.011
"(10.27, 6.637)","(10.274, 6.625)",0.012
"(1.465, 0.903)","(1.47, 0.892)",0.013
"(8.628, 4.082)","(8.63, 4.07)",0.013
"(11.009, 5.892)","(11.016, 5.881)",0.013
"(8.084, 4.174)","(8.084, 4.161)",0.013
"(3.637, 0.974)","(3.628, 0.964)",0.014
"(3.062, 1.019)","(3.056, 1.007)",0.014
"(9.89, 5.649)","(9.876, 5.647)",0.014
"(9.175, 4.817)","(9.186, 4.827)",0.014
"(2.264, 2.186)","(2.253, 2.177)",0.014
"(2.238, 2.174)","(2.253, 2.177)",0.015
"(3.324, 1.232)","(3.317, 1.218)",0.015
"(1.174, 1.503)","(1.159, 1.503)",0.016
"(8.722, 4.371)","(8.732, 4.384)",0.016
"(9.924, 5.63)","(9.928, 5.646)",0.016
"(9.328, 3.508)","(9.317, 3.521)",0.017
"(9.939, 2.688)","(9.928, 2.701)",0.017
"(11.332, 6.587)","(11.332, 6.604)",0.017
"(3.238, 1.928)","(3.222, 1.929)",0.017
"(1.901, 1.657)","(1.91, 1.672)",0.017
"(2.908, 1.813)","(2.912, 1.796)",0.017
"(9.823, 5.821)","(9.807, 5.817)",0.017
"(9.52, 2.056)","(9.508, 2.043)",0.018
"(2.285, 1.917)","(2.299, 1.907)",0.018
"(10.609, 5.434)","(10.61, 5.452)",0.018
"(9.496, 2.057)","(9.508, 2.043)",0.019
"(9.607, 5.515)","(9.604, 5.496)",0.019
"(11.008, 6.424)","(11.011, 6.443)",0.019
"(9.297, 4.818)","(9.278, 4.822)",0.02
"(10.164, 2.862)","(10.164, 2.882)",0.02
"(10.17, 3.834)","(10.169, 3.854)",0.02
"(6.655, 3.354)","(6.637, 3.364)",0.021
"(11.353, 7.451)","(11.366, 7.434)",0.021
"(10.029, 4.811)","(10.049, 4.805)",0.021
"(1.757, 1.384)","(1.738, 1.375)",0.021
"(2.781, 1.747)","(2.772, 1.766)",0.021
"(9.579, 4.227)","(9.559, 4.22)",0.021
"(9.465, 5.664)","(9.463, 5.685)",0.021
"(1.685, 1.657)","(1.701, 1.642)",0.021
"(9.625, 2.306)","(9.609, 2.292)",0.022
"(2.549, 2.09)","(2.57, 2.087)",0.022
"(3.73, 1.036)","(3.711, 1.046)",0.022
"(2.251, 1.934)","(2.238, 1.916)",0.022
"(10.107, 4.423)","(10.102, 4.402)",0.022
"(9.153, 2.694)","(9.169, 2.678)",0.022
"(9.736, 5.343)","(9.751, 5.36)",0.023
"(7.548, 4.642)","(7.528, 4.631)",0.023
"(9.998, 3.559)","(10.0, 3.535)",0.024
"(3.677, 0.845)","(3.654, 0.843)",0.024
"(9.255, 4.814)","(9.278, 4.822)",0.024
"(7.138, 4.395)","(7.161, 4.387)",0.024
"(9.925, 2.677)","(9.928, 2.701)",0.024
"(3.832, 1.368)","(3.814, 1.352)",0.024
"(3.577, 0.918)","(3.558, 0.903)",0.024
"(8.948, 5.119)","(8.96, 5.141)",0.024
"(9.877, 5.885)","(9.886, 5.908)",0.024
"(1.12, 1.55)","(1.097, 1.556)",0.024
"(10.089, 2.687)","(10.083, 2.711)",0.024
"(1.696, 0.801)","(1.703, 0.777)",0.025
"(9.043, 4.472)","(9.02, 4.483)",0.025
"(7.406, 4.154)","(7.425, 4.17)",0.025
"(10.07, 5.081)","(10.062, 5.105)",0.025
"(1.714, 1.382)","(1.738, 1.375)",0.025
"(8.098, 4.678)","(8.123, 4.674)",0.025
"(9.079, 5.276)","(9.097, 5.294)",0.025
"(9.178, 4.403)","(9.178, 4.377)",0.026
"(1.686, 1.897)","(1.661, 1.904)",0.026
"(1.638, 0.822)","(1.612, 0.818)",0.026
"(10.024, 4.801)","(10.049, 4.805)",0.026
"(3.234, 2.209)","(3.228, 2.235)",0.026
"(9.654, 5.108)","(9.679, 5.101)",0.027
"(10.188, 3.835)","(10.169, 3.854)",0.027
"(8.218, 4.04)","(8.198, 4.058)",0.027
"(1.813, 1.201)","(1.825, 1.226)",0.027
"(8.193, 4.085)","(8.198, 4.058)",0.027
"(10.026, 5.587)","(10.011, 5.611)",0.028
"(9.386, 5.108)","(9.406, 5.127)",0.028
"(3.227, 2.263)","(3.228, 2.235)",0.028
"(3.458, 2.256)","(3.43, 2.253)",0.028
"(11.372, 7.512)","(11.388, 7.535)",0.028
"(10.242, 6.072)","(10.27, 6.066)",0.029
"(11.601, 7.001)","(11.611, 7.028)",0.029
"(9.153, 3.967)","(9.152, 3.938)",0.029
"(11.316, 6.579)","(11.332, 6.604)",0.029
"(4.204, 0.441)","(4.231, 0.453)",0.03
"(2.288, 1.106)","(2.267, 1.127)",0.03
"(3.268, 1.594)","(3.29, 1.574)",0.03
"(9.727, 5.765)","(9.742, 5.791)",0.03
"(11.438, 6.895)","(11.429, 6.865)",0.032
"(9.423, 4.82)","(9.453, 4.811)",0.032
"(8.217, 3.784)","(8.232, 3.812)",0.032
"(2.963, 1.543)","(2.942, 1.567)",0.032
"(8.993, 3.695)","(8.967, 3.714)",0.032
"(8.82, 4.373)","(8.846, 4.354)",0.032
"(11.08, 5.854)","(11.072, 5.885)",0.032
"(10.273, 5.178)","(10.241, 5.179)",0.033
"(10.795, 5.639)","(10.783, 5.609)",0.033
"(8.746, 3.694)","(8.766, 3.668)",0.033
"(1.949, 1.216)","(1.92, 1.2)",0.033
"(9.751, 4.719)","(9.726, 4.74)",0.034
"(11.39, 6.965)","(11.376, 6.935)",0.034
"(4.165, 0.593)","(4.199, 0.589)",0.034
"(2.93, 2.15)","(2.927, 2.116)",0.034
"(9.073, 2.974)","(9.039, 2.971)",0.034
"(10.13, 5.615)","(10.108, 5.589)",0.034
"(9.668, 3.393)","(9.633, 3.394)",0.035
"(1.964, 2.138)","(1.962, 2.103)",0.035
"(3.43, 1.332)","(3.459, 1.313)",0.035
"(1.67, 1.414)","(1.666, 1.449)",0.035
"(9.34, 3.416)","(9.324, 3.448)",0.035
"(9.776, 5.723)","(9.794, 5.754)",0.035
"(1.729, 1.621)","(1.701, 1.642)",0.035
"(9.673, 5.066)","(9.679, 5.101)",0.036
"(7.659, 4.247)","(7.679, 4.218)",0.036
"(7.276, 4.327)","(7.261, 4.36)",0.036
"(1.937, 2.129)","(1.962, 2.103)",0.036
"(9.981, 5.027)","(9.962, 5.057)",0.036
"(10.731, 6.214)","(10.73, 6.178)",0.036
"(1.666, 1.633)","(1.701, 1.642)",0.036
"(10.616, 5.412)","(10.632, 5.444)",0.036
"(2.26, 1.178)","(2.277, 1.145)",0.037
"(1.773, 1.387)","(1.738, 1.375)",0.037
"(9.44, 4.15)","(9.415, 4.178)",0.037
"(1.917, 1.263)","(1.911, 1.3)",0.038
"(10.021, 3.832)","(10.057, 3.844)",0.038
