og_coord,goldstar_coord,dist
"(8.631, 4.071)","(8.63, 4.07)",0.002
"(9.31, 2.752)","(9.305, 2.748)",0.006
"(11.48, 6.158)","(11.485, 6.154)",0.006
"(11.511, 6.233)","(11.515, 6.228)",0.007
"(3.658, 0.851)","(3.654, 0.843)",0.009
"(2.807, 2.177)","(2.816, 2.182)",0.01
"(3.615, 0.872)","(3.622, 0.864)",0.01
"(2.444, 1.023)","(2.452, 1.03)",0.011
"(3.977, 0.699)","(3.97, 0.706)",0.011
"(9.368, 3.346)","(9.366, 3.335)",0.011
"(10.459, 3.499)","(10.465, 3.51)",0.011
"(10.227, 6.519)","(10.236, 6.512)",0.012
"(2.918, 1.807)","(2.912, 1.796)",0.012
"(9.176, 3.363)","(9.164, 3.367)",0.012
"(3.439, 1.644)","(3.427, 1.64)",0.012
"(9.206, 2.525)","(9.208, 2.512)",0.013
"(2.633, 2.17)","(2.623, 2.161)",0.013
"(9.188, 3.685)","(9.202, 3.687)",0.014
"(10.31, 6.701)","(10.313, 6.687)",0.014
"(9.38, 3.337)","(9.366, 3.335)",0.015
"(9.474, 3.94)","(9.463, 3.952)",0.015
"(10.303, 6.675)","(10.313, 6.687)",0.015
"(2.838, 1.389)","(2.823, 1.394)",0.015
"(3.145, 1.302)","(3.133, 1.312)",0.016
"(9.359, 5.493)","(9.343, 5.495)",0.016
"(10.275, 6.641)","(10.274, 6.625)",0.016
"(8.449, 4.702)","(8.433, 4.702)",0.016
"(10.263, 6.637)","(10.274, 6.625)",0.016
"(10.252, 6.701)","(10.236, 6.708)",0.017
"(9.447, 3.947)","(9.463, 3.952)",0.017
"(3.122, 0.989)","(3.125, 1.007)",0.018
"(9.745, 2.05)","(9.739, 2.067)",0.018
"(2.606, 2.153)","(2.623, 2.161)",0.019
"(9.602, 3.649)","(9.612, 3.666)",0.019
"(3.637, 0.567)","(3.656, 0.571)",0.019
"(2.638, 2.148)","(2.623, 2.161)",0.019
"(3.223, 2.148)","(3.235, 2.133)",0.02
"(9.537, 3.701)","(9.552, 3.687)",0.02
"(9.936, 5.665)","(9.928, 5.646)",0.021
"(9.185, 3.364)","(9.164, 3.367)",0.021
"(9.359, 5.51)","(9.343, 5.495)",0.021
"(3.206, 1.914)","(3.222, 1.929)",0.022
"(9.366, 5.48)","(9.388, 5.48)",0.022
"(3.348, 2.35)","(3.341, 2.371)",0.022
"(9.349, 3.32)","(9.366, 3.335)",0.022
"(6.458, 3.503)","(6.46, 3.48)",0.023
"(3.453, 1.29)","(3.459, 1.313)",0.023
"(3.045, 1.149)","(3.055, 1.128)",0.023
"(2.475, 1.034)","(2.452, 1.03)",0.023
"(8.239, 3.79)","(8.232, 3.812)",0.024
