og_coord,starfish_coord,dist
"(7568.0, 4144.0)","(7566.0, 4139.0)",5.385
"(9180.0, 2642.0)","(9174.0, 2642.0)",6.0
"(9132.0, 3623.0)","(9128.0, 3618.0)",6.403
"(2786.0, 1033.0)","(2791.0, 1029.0)",6.403
"(9661.0, 6062.0)","(9655.0, 6065.0)",6.708
"(8948.0, 5241.0)","(8943.0, 5247.0)",7.81
"(6541.0, 3616.0)","(6538.0, 3608.0)",8.544
"(10153.0, 6608.0)","(10148.0, 6601.0)",8.602
"(9683.0, 5360.0)","(9692.0, 5362.0)",9.22
"(9188.0, 4971.0)","(9184.0, 4980.0)",9.849
"(8357.0, 4763.0)","(8364.0, 4770.0)",9.899
"(9842.0, 6155.0)","(9847.0, 6146.0)",10.296
"(9464.0, 5612.0)","(9454.0, 5609.0)",10.44
"(9566.0, 5564.0)","(9570.0, 5574.0)",10.77
"(8016.0, 2896.0)","(8026.0, 2891.0)",11.18
"(9051.0, 3364.0)","(9043.0, 3372.0)",11.314
"(8536.0, 5223.0)","(8528.0, 5215.0)",11.314
"(3114.0, 1397.0)","(3122.0, 1389.0)",11.314
"(9230.0, 4918.0)","(9239.0, 4926.0)",12.042
"(9550.0, 5776.0)","(9540.0, 5783.0)",12.207
"(2090.0, 1837.0)","(2078.0, 1840.0)",12.369
"(9090.0, 2401.0)","(9101.0, 2395.0)",12.53
"(10063.0, 6263.0)","(10052.0, 6269.0)",12.53
"(1513.0, 1821.0)","(1520.0, 1832.0)",13.038
"(961.0, 1163.0)","(960.0, 1177.0)",14.036
"(8842.0, 1688.0)","(8843.0, 1702.0)",14.036
"(2974.0, 1621.0)","(2988.0, 1623.0)",14.142
"(1719.0, 1143.0)","(1729.0, 1153.0)",14.142
"(5936.0, 3439.0)","(5939.0, 3425.0)",14.318
"(1100.0, 1095.0)","(1085.0, 1096.0)",15.033
"(2310.0, 2061.0)","(2325.0, 2062.0)",15.033
"(10360.0, 5963.0)","(10368.0, 5976.0)",15.264
"(1504.0, 863.0)","(1489.0, 860.0)",15.297
"(10495.0, 6800.0)","(10510.0, 6796.0)",15.524
"(9381.0, 2785.0)","(9365.0, 2786.0)",16.031
"(8875.0, 4868.0)","(8891.0, 4865.0)",16.279
"(10494.0, 5664.0)","(10508.0, 5674.0)",17.205
"(9614.0, 5628.0)","(9605.0, 5643.0)",17.493
"(3088.0, 630.0)","(3093.0, 647.0)",17.72
"(7368.0, 3154.0)","(7385.0, 3149.0)",17.72
