og_coord,goldstar_coord,dist
"(10224.0, 5562.0)","(10224.0, 5558.0)",4.0
"(8412.0, 4927.0)","(8415.0, 4924.0)",4.243
"(9160.0, 5934.0)","(9158.0, 5939.0)",5.385
"(8775.0, 3827.0)","(8772.0, 3822.0)",5.831
"(2606.0, 1028.0)","(2609.0, 1034.0)",6.708
"(9365.0, 2779.0)","(9365.0, 2786.0)",7.0
"(9089.0, 5767.0)","(9094.0, 5772.0)",7.071
"(9369.0, 2792.0)","(9365.0, 2786.0)",7.211
"(9310.0, 2851.0)","(9312.0, 2844.0)",7.28
"(7938.0, 3440.0)","(7934.0, 3433.0)",8.062
"(3550.0, 519.0)","(3542.0, 518.0)",8.062
"(3320.0, 503.0)","(3329.0, 503.0)",9.0
"(3100.0, 641.0)","(3093.0, 647.0)",9.22
"(8732.0, 1624.0)","(8739.0, 1631.0)",9.899
"(8602.0, 1787.0)","(8593.0, 1793.0)",10.817
"(2744.0, 1258.0)","(2743.0, 1269.0)",11.045
"(8968.0, 5464.0)","(8979.0, 5469.0)",12.083
"(2662.0, 1340.0)","(2651.0, 1335.0)",12.083
"(1477.0, 864.0)","(1489.0, 860.0)",12.649
"(9196.0, 3138.0)","(9209.0, 3139.0)",13.038
"(9337.0, 3091.0)","(9332.0, 3078.0)",13.928
"(8828.0, 3230.0)","(8814.0, 3226.0)",14.56
"(7936.0, 3418.0)","(7934.0, 3433.0)",15.133
"(9143.0, 5942.0)","(9158.0, 5939.0)",15.297
"(2883.0, 1728.0)","(2876.0, 1714.0)",15.652
"(8773.0, 1608.0)","(8786.0, 1617.0)",15.811
"(8954.0, 4031.0)","(8938.0, 4030.0)",16.031
"(2653.0, 1351.0)","(2651.0, 1335.0)",16.125
"(10274.0, 5560.0)","(10262.0, 5571.0)",16.279
"(3123.0, 1184.0)","(3136.0, 1194.0)",16.401
"(8704.0, 5467.0)","(8694.0, 5481.0)",17.205
"(1506.0, 856.0)","(1489.0, 860.0)",17.464
"(8247.0, 4658.0)","(8261.0, 4669.0)",17.804
"(2795.0, 1704.0)","(2810.0, 1714.0)",18.028
"(2816.0, 1731.0)","(2810.0, 1714.0)",18.028
"(8272.0, 3279.0)","(8290.0, 3278.0)",18.028
"(8016.0, 2876.0)","(8026.0, 2891.0)",18.028
"(3146.0, 1179.0)","(3136.0, 1194.0)",18.028
"(8399.0, 2453.0)","(8386.0, 2440.0)",18.385
"(2914.0, 1732.0)","(2909.0, 1714.0)",18.682
"(7386.0, 3130.0)","(7385.0, 3149.0)",19.026
"(8400.0, 2427.0)","(8386.0, 2440.0)",19.105
"(10233.0, 5541.0)","(10224.0, 5558.0)",19.235
"(2190.0, 1421.0)","(2183.0, 1403.0)",19.313
"(3051.0, 656.0)","(3069.0, 664.0)",19.698
"(9591.0, 6119.0)","(9578.0, 6134.0)",19.849
"(8613.0, 1797.0)","(8593.0, 1793.0)",20.396
"(10257.0, 5527.0)","(10261.0, 5547.0)",20.396
"(3103.0, 629.0)","(3093.0, 647.0)",20.591
"(7683.0, 2993.0)","(7703.0, 2988.0)",20.616
"(9166.0, 5958.0)","(9158.0, 5939.0)",20.616
"(9000.0, 5470.0)","(8979.0, 5469.0)",21.024
"(7387.0, 3170.0)","(7385.0, 3149.0)",21.095
"(8817.0, 3247.0)","(8814.0, 3226.0)",21.213
"(10260.0, 5405.0)","(10279.0, 5415.0)",21.471
"(2887.0, 1629.0)","(2882.0, 1650.0)",21.587
"(3521.0, 524.0)","(3542.0, 518.0)",21.84
"(9218.0, 3119.0)","(9209.0, 3139.0)",21.932
"(3183.0, 674.0)","(3197.0, 691.0)",22.023
"(8478.0, 3290.0)","(8496.0, 3303.0)",22.204
"(8393.0, 4918.0)","(8415.0, 4924.0)",22.804
"(8007.0, 3423.0)","(7985.0, 3429.0)",22.804
"(2668.0, 1762.0)","(2648.0, 1773.0)",22.825
"(8181.0, 4649.0)","(8192.0, 4669.0)",22.825
"(8388.0, 2417.0)","(8386.0, 2440.0)",23.087
"(9091.0, 5795.0)","(9094.0, 5772.0)",23.195
"(8409.0, 2434.0)","(8386.0, 2440.0)",23.77
"(7459.0, 3058.0)","(7481.0, 3068.0)",24.166
"(8158.0, 2990.0)","(8135.0, 2982.0)",24.352
"(2201.0, 919.0)","(2187.0, 939.0)",24.413
"(8958.0, 5424.0)","(8972.0, 5404.0)",24.413
"(2633.0, 1028.0)","(2609.0, 1034.0)",24.739
"(8698.0, 5456.0)","(8694.0, 5481.0)",25.318
"(2869.0, 1628.0)","(2882.0, 1650.0)",25.554
"(8956.0, 1810.0)","(8962.0, 1785.0)",25.71
"(3172.0, 684.0)","(3197.0, 691.0)",25.962
"(2876.0, 1740.0)","(2876.0, 1714.0)",26.0
"(7475.0, 3255.0)","(7473.0, 3281.0)",26.077
"(8375.0, 2464.0)","(8386.0, 2440.0)",26.401
"(8798.0, 3247.0)","(8814.0, 3226.0)",26.401
"(5759.0, 3364.0)","(5774.0, 3386.0)",26.627
"(9129.0, 6001.0)","(9107.0, 6016.0)",26.627
"(9225.0, 3294.0)","(9198.0, 3293.0)",27.019
"(2784.0, 1722.0)","(2810.0, 1714.0)",27.203
"(2754.0, 1294.0)","(2743.0, 1269.0)",27.313
"(2811.0, 1742.0)","(2810.0, 1714.0)",28.018
"(3475.0, 705.0)","(3447.0, 704.0)",28.018
"(3117.0, 2175.0)","(3108.0, 2148.0)",28.46
"(8360.0, 2452.0)","(8386.0, 2440.0)",28.636
"(9326.0, 3106.0)","(9332.0, 3078.0)",28.636
"(3164.0, 1187.0)","(3136.0, 1194.0)",28.862
"(8766.0, 1596.0)","(8786.0, 1617.0)",29.0
"(2850.0, 1701.0)","(2876.0, 1714.0)",29.069
"(9220.0, 3274.0)","(9198.0, 3293.0)",29.069
"(8757.0, 1654.0)","(8739.0, 1631.0)",29.206
"(2195.0, 894.0)","(2186.0, 866.0)",29.411
"(7527.0, 3101.0)","(7504.0, 3082.0)",29.833
"(8956.0, 5488.0)","(8979.0, 5469.0)",29.833
"(2824.0, 1757.0)","(2806.0, 1781.0)",30.0
"(3305.0, 485.0)","(3329.0, 503.0)",30.0
"(2783.0, 1700.0)","(2810.0, 1714.0)",30.414
"(10224.0, 5589.0)","(10224.0, 5558.0)",31.0
"(3439.0, 527.0)","(3450.0, 556.0)",31.016
"(9240.0, 3136.0)","(9209.0, 3139.0)",31.145
"(3315.0, 475.0)","(3329.0, 503.0)",31.305
"(9225.0, 3309.0)","(9198.0, 3293.0)",31.385
"(1416.0, 1769.0)","(1447.0, 1774.0)",31.401
"(3224.0, 793.0)","(3205.0, 818.0)",31.401
"(1474.0, 888.0)","(1489.0, 860.0)",31.765
"(7450.0, 3075.0)","(7481.0, 3068.0)",31.78
"(2173.0, 910.0)","(2187.0, 939.0)",32.202
"(9007.0, 5453.0)","(8979.0, 5469.0)",32.249
"(8166.0, 2991.0)","(8135.0, 2982.0)",32.28
"(10255.0, 5437.0)","(10279.0, 5415.0)",32.558
"(9003.0, 5394.0)","(8972.0, 5404.0)",32.573
"(8788.0, 3461.0)","(8814.0, 3481.0)",32.802
"(2576.0, 1034.0)","(2609.0, 1034.0)",33.0
"(9207.0, 3106.0)","(9209.0, 3139.0)",33.061
"(2756.0, 1421.0)","(2727.0, 1437.0)",33.121
"(3358.0, 487.0)","(3329.0, 503.0)",33.121
"(2926.0, 1745.0)","(2923.0, 1712.0)",33.136
"(2743.0, 1844.0)","(2746.0, 1811.0)",33.136
"(2671.0, 1797.0)","(2648.0, 1773.0)",33.242
"(8730.0, 1599.0)","(8739.0, 1631.0)",33.242
"(8374.0, 4897.0)","(8384.0, 4865.0)",33.526
"(3199.0, 785.0)","(3205.0, 818.0)",33.541
"(8595.0, 1827.0)","(8593.0, 1793.0)",34.059
"(8263.0, 3299.0)","(8290.0, 3278.0)",34.205
"(2839.0, 1772.0)","(2806.0, 1781.0)",34.205
"(2993.0, 680.0)","(2973.0, 652.0)",34.409
"(2629.0, 1006.0)","(2609.0, 1034.0)",34.409
"(2844.0, 1727.0)","(2876.0, 1714.0)",34.54
"(9554.0, 6109.0)","(9578.0, 6134.0)",34.655
"(2857.0, 1743.0)","(2876.0, 1714.0)",34.67
"(2869.0, 1748.0)","(2876.0, 1714.0)",34.713
"(10213.0, 5525.0)","(10224.0, 5558.0)",34.785
"(9188.0, 3076.0)","(9209.0, 3048.0)",35.0
"(2830.0, 1743.0)","(2810.0, 1714.0)",35.228
"(9352.0, 3107.0)","(9332.0, 3078.0)",35.228
"(2867.0, 1618.0)","(2882.0, 1650.0)",35.341
"(9301.0, 3061.0)","(9332.0, 3078.0)",35.355
"(8214.0, 4641.0)","(8192.0, 4669.0)",35.609
"(8705.0, 5447.0)","(8694.0, 5481.0)",35.735
"(2630.0, 1364.0)","(2651.0, 1335.0)",35.805
"(7670.0, 3003.0)","(7703.0, 2988.0)",36.249
"(3172.0, 1200.0)","(3136.0, 1194.0)",36.497
"(2855.0, 1625.0)","(2882.0, 1650.0)",36.797
"(3160.0, 1166.0)","(3136.0, 1194.0)",36.878
"(9210.0, 3176.0)","(9209.0, 3139.0)",37.014
"(7897.0, 3429.0)","(7934.0, 3433.0)",37.216
"(1398.0, 843.0)","(1433.0, 830.0)",37.336
"(9210.0, 3329.0)","(9198.0, 3293.0)",37.947
"(3170.0, 1177.0)","(3136.0, 1194.0)",38.013
"(8388.0, 2402.0)","(8386.0, 2440.0)",38.053
"(7988.0, 2893.0)","(8026.0, 2891.0)",38.053
"(2645.0, 1021.0)","(2609.0, 1034.0)",38.275
"(9120.0, 5980.0)","(9107.0, 6016.0)",38.275
"(9169.0, 5976.0)","(9158.0, 5939.0)",38.601
"(8229.0, 4647.0)","(8261.0, 4669.0)",38.833
"(2708.0, 1667.0)","(2742.0, 1648.0)",38.949
"(9011.0, 5405.0)","(8972.0, 5404.0)",39.013
"(2780.0, 1639.0)","(2742.0, 1648.0)",39.051
"(10264.0, 5508.0)","(10261.0, 5547.0)",39.115
"(2771.0, 1717.0)","(2810.0, 1714.0)",39.115
"(2223.0, 880.0)","(2186.0, 866.0)",39.56
"(8168.0, 4626.0)","(8176.0, 4587.0)",39.812
"(2915.0, 1626.0)","(2946.0, 1601.0)",39.825
"(8751.0, 3856.0)","(8772.0, 3822.0)",39.962
"(2687.0, 1782.0)","(2648.0, 1773.0)",40.025
"(9154.0, 5979.0)","(9158.0, 5939.0)",40.2
"(7530.0, 4157.0)","(7566.0, 4139.0)",40.249
"(7990.0, 3389.0)","(7985.0, 3429.0)",40.311
"(8759.0, 1587.0)","(8786.0, 1617.0)",40.361
"(8352.0, 2462.0)","(8386.0, 2440.0)",40.497
"(3483.0, 685.0)","(3447.0, 704.0)",40.706
"(3012.0, 664.0)","(2973.0, 652.0)",40.804
"(7714.0, 3619.0)","(7726.0, 3580.0)",40.804
"(6888.0, 3873.0)","(6867.0, 3908.0)",40.817
"(2646.0, 1611.0)","(2681.0, 1589.0)",41.34
"(2654.0, 729.0)","(2678.0, 763.0)",41.617
"(8333.0, 2650.0)","(8291.0, 2651.0)",42.012
"(387.0, 1548.0)","(367.0, 1585.0)",42.059
"(2229.0, 1280.0)","(2234.0, 1322.0)",42.297
