og_coord,starfish_coord,dist
"(4264.0, 1354.0)","(4287.645, 1341.5)",26.746
"(4841.0, 2299.0)","(4900.165, 2270.505)",65.669
"(4964.0, 2288.0)","(4900.165, 2270.505)",66.189
"(3864.0, 2802.0)","(3827.143, 2871.468)",78.64
"(4274.0, 1425.0)","(4287.645, 1341.5)",84.608
"(4974.0, 2228.0)","(4900.165, 2270.505)",85.196
"(3430.0, 4990.0)","(3339.082, 5025.514)",97.608
"(2645.0, 4411.0)","(2645.663, 4312.537)",98.465
"(4386.0, 1334.0)","(4287.645, 1341.5)",98.641
"(3842.0, 2969.0)","(3827.143, 2871.468)",98.657
"(4343.0, 1426.0)","(4287.645, 1341.5)",101.017
"(3296.0, 5117.0)","(3339.082, 5025.514)",101.122
"(981.0, 8084.0)","(884.555, 8045.446)",103.866
"(1755.0, 6113.0)","(1737.105, 6010.526)",104.025
"(4186.0, 1367.0)","(4287.645, 1341.5)",104.795
"(4196.0, 1394.0)","(4287.645, 1341.5)",105.617
"(3266.0, 5104.0)","(3339.082, 5025.514)",107.243
"(1917.0, 6089.0)","(1897.125, 5982.967)",107.88
"(3768.0, 2781.0)","(3827.143, 2871.468)",108.085
"(5000.0, 2228.0)","(4900.165, 2270.505)",108.507
"(2006.0, 5784.0)","(1897.125, 5782.942)",108.88
"(1015.0, 9649.0)","(1085.468, 9733.656)",110.147
"(3742.0, 2947.0)","(3827.143, 2871.468)",113.817
"(973.0, 9771.0)","(1085.468, 9733.656)",118.506
"(1218.0, 9427.0)","(1337.944, 9437.619)",120.413
"(964.0, 9767.0)","(1085.468, 9733.656)",125.961
"(3388.0, 4905.0)","(3339.082, 5025.514)",130.064
"(3812.0, 2741.0)","(3827.143, 2871.468)",131.344
"(3846.0, 2740.0)","(3827.143, 2871.468)",132.813
"(2016.0, 5923.0)","(1897.125, 5982.967)",133.144
"(1772.0, 6625.0)","(1657.095, 6549.259)",137.622
"(2030.0, 5746.0)","(1897.125, 5782.942)",137.915
"(3400.0, 4901.0)","(3339.082, 5025.514)",138.617
"(3707.0, 2948.0)","(3827.143, 2871.468)",142.448
"(1810.0, 6134.0)","(1737.105, 6010.526)",143.386
"(4210.0, 1465.0)","(4287.645, 1341.5)",145.88
"(4012.0, 3393.0)","(3995.164, 3247.515)",146.456
"(987.0, 9844.0)","(1085.468, 9733.656)",147.891
"(1267.0, 9306.0)","(1337.944, 9437.619)",149.521
"(3882.0, 3149.0)","(3995.164, 3247.515)",150.038
"(3484.0, 5072.0)","(3339.082, 5025.514)",152.191
"(3275.0, 4887.0)","(3339.082, 5025.514)",152.619
"(911.0, 8196.0)","(884.555, 8045.446)",152.859
"(4205.0, 1473.0)","(4287.645, 1341.5)",155.314
"(2774.0, 4406.0)","(2645.663, 4312.537)",158.763
"(4798.0, 2148.0)","(4900.165, 2270.505)",159.515
"(1209.0, 9632.0)","(1085.468, 9733.656)",159.982
"(3453.0, 4913.0)","(3339.082, 5025.514)",160.115
"(3354.0, 5186.0)","(3339.082, 5025.514)",161.178
"(2036.0, 5697.0)","(1897.125, 5782.942)",163.317
"(1891.0, 6148.0)","(1897.125, 5982.967)",165.147
"(1173.0, 9454.0)","(1337.944, 9437.619)",165.755
"(2707.0, 4467.0)","(2645.663, 4312.537)",166.196
"(3494.0, 5090.0)","(3339.082, 5025.514)",167.804
"(2031.0, 5681.0)","(1897.125, 5782.942)",168.27
"(1805.0, 6466.0)","(1657.095, 6549.259)",169.729
"(3286.0, 4863.0)","(3339.082, 5025.514)",170.963
"(946.0, 9833.0)","(1085.468, 9733.656)",171.232
"(1797.0, 6449.0)","(1657.095, 6549.259)",172.12
"(3181.0, 5094.0)","(3339.082, 5025.514)",172.28
"(1098.0, 8248.0)","(1105.026, 8421.492)",173.634
"(1823.0, 6495.0)","(1657.095, 6549.259)",174.552
"(3715.0, 2736.0)","(3827.143, 2871.468)",175.863
"(3812.0, 3047.0)","(3827.143, 2871.468)",176.184
