og_coord,goldstar_coord,dist
"(3378.198, 4973.952)","(3339.082, 5025.514)",64.72
"(3827.143, 2803.015)","(3827.143, 2871.468)",68.453
"(4906.388, 2339.847)","(4900.165, 2270.505)",69.621
"(4866.383, 2335.402)","(4900.165, 2270.505)",73.163
"(3419.092, 5035.293)","(3339.082, 5025.514)",80.605
"(3757.801, 2913.251)","(3827.143, 2871.468)",80.958
"(3888.484, 2929.253)","(3827.143, 2871.468)",84.272
"(4844.158, 2207.386)","(4900.165, 2270.505)",84.385
"(4204.079, 1314.83)","(4287.645, 1341.5)",87.719
"(3916.043, 3209.288)","(3995.164, 3247.515)",87.872
"(812.546, 9538.965)","(724.535, 9530.075)",88.459
"(798.322, 9900.788)","(768.985, 9986.132)",90.246
"(3765.802, 2803.904)","(3827.143, 2871.468)",91.256
"(3796.028, 2783.457)","(3827.143, 2871.468)",93.349
"(1938.019, 5898.512)","(1897.125, 5982.967)",93.835
"(3740.91, 2914.14)","(3827.143, 2871.468)",96.213
"(3747.133, 2814.572)","(3827.143, 2871.468)",98.177
"(3840.478, 2772.79)","(3827.143, 2871.468)",99.575
"(1253.489, 9384.279)","(1337.944, 9437.619)",99.889
"(3898.263, 3273.296)","(3995.164, 3247.515)",100.272
"(1851.786, 6072.756)","(1897.125, 5982.967)",100.587
"(3730.242, 2907.028)","(3827.143, 2871.468)",103.22
"(1950.465, 5874.509)","(1897.125, 5782.942)",105.97
"(3990.719, 3139.946)","(3995.164, 3247.515)",107.661
"(824.992, 9570.969)","(724.535, 9530.075)",108.462
"(3749.8, 2794.125)","(3827.143, 2871.468)",109.38
"(1261.49, 9358.498)","(1337.944, 9437.619)",110.024
"(3748.022, 2949.7)","(3827.143, 2871.468)",111.267
"(4183.632, 1301.495)","(4287.645, 1341.5)",111.441
"(4895.72, 2383.408)","(4900.165, 2270.505)",112.99
"(1818.893, 6090.536)","(1737.105, 6010.526)",114.415
"(3714.24, 2895.471)","(3827.143, 2871.468)",115.426
