og_coord,starfish_coord,dist
"(2893.0, 3527.0)","(2888.0, 3528.0)",5.099
"(1764.0, 339.0)","(1760.0, 335.0)",5.657
"(2657.0, 3055.0)","(2657.0, 3047.0)",8.0
"(2028.0, 3648.0)","(2038.0, 3648.0)",10.0
"(3544.0, 2273.0)","(3551.0, 2265.0)",10.63
"(3109.0, 3499.0)","(3100.0, 3507.0)",12.042
"(2637.0, 2130.0)","(2636.0, 2142.0)",12.042
"(2151.0, 2740.0)","(2143.0, 2730.0)",12.806
"(2591.0, 1926.0)","(2602.0, 1933.0)",13.038
"(2469.0, 456.0)","(2483.0, 458.0)",14.142
"(1621.0, 1039.0)","(1635.0, 1047.0)",16.125
"(934.0, 994.0)","(948.0, 986.0)",16.125
"(806.0, 524.0)","(800.0, 509.0)",16.155
"(1296.0, 2119.0)","(1289.0, 2134.0)",16.553
"(1223.0, 1015.0)","(1216.0, 1030.0)",16.553
"(1306.0, 2133.0)","(1289.0, 2134.0)",17.029
"(2774.0, 2164.0)","(2767.0, 2180.0)",17.464
"(1613.0, 1364.0)","(1595.0, 1366.0)",18.111
"(959.0, 2540.0)","(950.0, 2524.0)",18.358
"(493.0, 140.0)","(477.0, 150.0)",18.868
"(2521.0, 3614.0)","(2502.0, 3615.0)",19.026
"(1402.0, 1583.0)","(1398.0, 1564.0)",19.416
"(2658.0, 1740.0)","(2639.0, 1735.0)",19.647
"(670.0, 1056.0)","(688.0, 1065.0)",20.125
"(2619.0, 2153.0)","(2636.0, 2142.0)",20.248
"(2909.0, 3529.0)","(2888.0, 3528.0)",21.024
"(1778.0, 2448.0)","(1781.0, 2469.0)",21.213
"(2077.0, 2374.0)","(2074.0, 2352.0)",22.204
"(1253.0, 477.0)","(1275.0, 473.0)",22.361
"(965.0, 1001.0)","(948.0, 986.0)",22.672
"(1574.0, 3526.0)","(1560.0, 3544.0)",22.804
"(517.0, 3247.0)","(540.0, 3242.0)",23.537
"(2059.0, 3637.0)","(2038.0, 3648.0)",23.707
"(1269.0, 450.0)","(1275.0, 473.0)",23.77
"(1598.0, 2153.0)","(1622.0, 2155.0)",24.083
"(3514.0, 2437.0)","(3536.0, 2427.0)",24.166
"(2017.0, 3660.0)","(2038.0, 3648.0)",24.187
"(2396.0, 3469.0)","(2377.0, 3484.0)",24.207
"(2758.0, 1855.0)","(2772.0, 1876.0)",25.239
"(3428.0, 3674.0)","(3405.0, 3663.0)",25.495
"(3000.0, 3481.0)","(3015.0, 3459.0)",26.627
"(96.0, 1760.0)","(108.0, 1784.0)",26.833
"(1059.0, 1637.0)","(1036.0, 1623.0)",26.926
"(2874.0, 3505.0)","(2888.0, 3528.0)",26.926
"(1566.0, 793.0)","(1548.0, 772.0)",27.659
"(855.0, 1455.0)","(852.0, 1483.0)",28.16
"(584.0, 1753.0)","(606.0, 1771.0)",28.425
"(1780.0, 2498.0)","(1781.0, 2469.0)",29.017
"(215.0, 2583.0)","(241.0, 2570.0)",29.069
"(197.0, 1638.0)","(225.0, 1629.0)",29.411
"(2273.0, 2372.0)","(2251.0, 2352.0)",29.732
"(2471.0, 3205.0)","(2475.0, 3175.0)",30.265
"(1709.0, 1700.0)","(1734.0, 1681.0)",31.401
"(494.0, 2943.0)","(466.0, 2958.0)",31.765
"(1548.0, 804.0)","(1548.0, 772.0)",32.0
"(1480.0, 168.0)","(1474.0, 136.0)",32.558
"(2079.0, 2842.0)","(2054.0, 2863.0)",32.65
"(2678.0, 3073.0)","(2657.0, 3047.0)",33.422
"(104.0, 490.0)","(74.0, 506.0)",34.0
"(1251.0, 1483.0)","(1285.0, 1481.0)",34.059
"(2242.0, 2319.0)","(2251.0, 2352.0)",34.205
"(3121.0, 3534.0)","(3100.0, 3507.0)",34.205
"(2368.0, 3451.0)","(2377.0, 3484.0)",34.205
"(991.0, 169.0)","(1026.0, 168.0)",35.014
"(737.0, 1198.0)","(739.0, 1233.0)",35.057
"(659.0, 1085.0)","(688.0, 1065.0)",35.228
"(2057.0, 3190.0)","(2022.0, 3186.0)",35.228
"(2293.0, 2854.0)","(2299.0, 2889.0)",35.511
"(1241.0, 1003.0)","(1216.0, 1030.0)",36.797
"(2990.0, 913.0)","(2971.0, 881.0)",37.216
"(2361.0, 3518.0)","(2377.0, 3484.0)",37.577
"(1625.0, 823.0)","(1660.0, 837.0)",37.696
"(1632.0, 1374.0)","(1595.0, 1366.0)",37.855
"(713.0, 111.0)","(751.0, 112.0)",38.013
"(2655.0, 1700.0)","(2639.0, 1735.0)",38.484
"(2174.0, 1394.0)","(2162.0, 1357.0)",38.897
"(3144.0, 3314.0)","(3163.0, 3280.0)",38.949
"(1740.0, 426.0)","(1708.0, 403.0)",39.408
"(3522.0, 2292.0)","(3551.0, 2265.0)",39.623
"(2041.0, 3151.0)","(2022.0, 3186.0)",39.825
"(1079.0, 520.0)","(1042.0, 536.0)",40.311
"(2016.0, 3226.0)","(2022.0, 3186.0)",40.447
"(1588.0, 779.0)","(1548.0, 772.0)",40.608
"(287.0, 1834.0)","(310.0, 1868.0)",41.049
"(2985.0, 67.0)","(3012.0, 98.0)",41.11
"(675.0, 1696.0)","(710.0, 1673.0)",41.881
"(2080.0, 3646.0)","(2038.0, 3648.0)",42.048
"(2995.0, 3496.0)","(3015.0, 3459.0)",42.059
"(3252.0, 1207.0)","(3294.0, 1203.0)",42.19
"(1995.0, 2442.0)","(1953.0, 2448.0)",42.426
"(1270.0, 2096.0)","(1289.0, 2134.0)",42.485
"(2270.0, 2391.0)","(2251.0, 2352.0)",43.382
"(2060.0, 2820.0)","(2054.0, 2863.0)",43.417
"(2597.0, 2029.0)","(2590.0, 2072.0)",43.566
"(646.0, 1053.0)","(688.0, 1065.0)",43.681
"(2557.0, 1932.0)","(2602.0, 1933.0)",45.011
"(2617.0, 2183.0)","(2636.0, 2142.0)",45.188
"(1617.0, 1550.0)","(1648.0, 1584.0)",46.011
"(2254.0, 2879.0)","(2299.0, 2889.0)",46.098
"(2205.0, 1390.0)","(2175.0, 1354.0)",46.861
"(2409.0, 1420.0)","(2384.0, 1460.0)",47.17
"(1905.0, 1639.0)","(1945.0, 1614.0)",47.17
"(1237.0, 445.0)","(1275.0, 473.0)",47.202
"(3127.0, 1946.0)","(3098.0, 1908.0)",47.802
"(3303.0, 2729.0)","(3350.0, 2720.0)",47.854
"(2567.0, 557.0)","(2526.0, 582.0)",48.021
"(2971.0, 3480.0)","(3015.0, 3459.0)",48.754
"(1986.0, 3221.0)","(2022.0, 3186.0)",50.21
"(2089.0, 2788.0)","(2078.0, 2739.0)",50.22
"(2866.0, 720.0)","(2900.0, 757.0)",50.249
"(1688.0, 1660.0)","(1734.0, 1681.0)",50.567
"(1542.0, 3135.0)","(1591.0, 3121.0)",50.961
"(637.0, 1070.0)","(688.0, 1065.0)",51.245
"(3053.0, 3424.0)","(3015.0, 3459.0)",51.662
"(809.0, 673.0)","(842.0, 713.0)",51.856
"(2590.0, 2166.0)","(2636.0, 2142.0)",51.884
"(3000.0, 154.0)","(3000.0, 206.0)",52.0
"(1629.0, 795.0)","(1660.0, 837.0)",52.202
"(319.0, 1621.0)","(356.0, 1584.0)",52.326
"(1682.0, 1688.0)","(1734.0, 1681.0)",52.469
"(1496.0, 1167.0)","(1544.0, 1190.0)",53.226
"(1466.0, 869.0)","(1489.0, 821.0)",53.226
"(2190.0, 417.0)","(2224.0, 458.0)",53.263
"(1005.0, 119.0)","(1026.0, 168.0)",53.31
"(3332.0, 2166.0)","(3326.0, 2112.0)",54.332
"(1342.0, 2122.0)","(1289.0, 2134.0)",54.342
"(1903.0, 3698.0)","(1954.0, 3717.0)",54.424
"(2656.0, 1926.0)","(2602.0, 1933.0)",54.452
"(2264.0, 2847.0)","(2299.0, 2889.0)",54.672
"(1574.0, 3173.0)","(1591.0, 3121.0)",54.708
"(2738.0, 1919.0)","(2772.0, 1876.0)",54.818
"(1126.0, 1729.0)","(1073.0, 1744.0)",55.082
"(1446.0, 856.0)","(1489.0, 821.0)",55.444
"(1440.0, 3298.0)","(1495.0, 3308.0)",55.902
"(1563.0, 826.0)","(1548.0, 772.0)",56.045
"(2571.0, 3737.0)","(2566.0, 3793.0)",56.223
"(1734.0, 2575.0)","(1733.0, 2632.0)",57.009
"(1038.0, 226.0)","(981.0, 221.0)",57.219
"(2095.0, 3642.0)","(2038.0, 3648.0)",57.315
"(1258.0, 978.0)","(1202.0, 994.0)",58.241
"(2569.0, 2017.0)","(2590.0, 2072.0)",58.873
"(2169.0, 2677.0)","(2143.0, 2730.0)",59.034
"(1518.0, 176.0)","(1474.0, 136.0)",59.464
"(1294.0, 1540.0)","(1285.0, 1481.0)",59.682
"(3559.0, 136.0)","(3570.0, 76.0)",61.0
"(2794.0, 3276.0)","(2853.0, 3259.0)",61.4
"(2234.0, 2811.0)","(2182.0, 2778.0)",61.587
"(3350.0, 3635.0)","(3405.0, 3663.0)",61.717
"(1748.0, 450.0)","(1708.0, 403.0)",61.717
"(1653.0, 1344.0)","(1595.0, 1366.0)",62.032
"(536.0, 1759.0)","(475.0, 1771.0)",62.169
"(3350.0, 3693.0)","(3405.0, 3663.0)",62.65
"(1833.0, 2289.0)","(1895.0, 2280.0)",62.65
"(3328.0, 110.0)","(3385.0, 136.0)",62.65
"(3343.0, 3653.0)","(3405.0, 3663.0)",62.801
"(139.0, 567.0)","(150.0, 629.0)",62.968
"(2016.0, 2444.0)","(1953.0, 2448.0)",63.127
"(1002.0, 1388.0)","(1032.0, 1332.0)",63.53
"(1578.0, 1428.0)","(1595.0, 1366.0)",64.288
"(1631.0, 262.0)","(1638.0, 326.0)",64.382
"(2203.0, 1413.0)","(2175.0, 1354.0)",65.307
"(1078.0, 128.0)","(1026.0, 168.0)",65.605
"(2971.0, 3508.0)","(3015.0, 3459.0)",65.856
"(1607.0, 1431.0)","(1595.0, 1366.0)",66.098
"(1741.0, 170.0)","(1801.0, 198.0)",66.212
"(3571.0, 1748.0)","(3577.0, 1682.0)",66.272
"(1922.0, 1754.0)","(1861.0, 1781.0)",66.708
"(1619.0, 1226.0)","(1555.0, 1206.0)",67.052
"(2916.0, 1898.0)","(2905.0, 1831.0)",67.897
"(2200.0, 3109.0)","(2154.0, 3159.0)",67.941
"(774.0, 707.0)","(842.0, 713.0)",68.264
"(130.0, 452.0)","(191.0, 420.0)",68.884
"(219.0, 634.0)","(150.0, 629.0)",69.181
"(1409.0, 1285.0)","(1358.0, 1238.0)",69.354
"(2508.0, 3542.0)","(2523.0, 3474.0)",69.635
"(2834.0, 2161.0)","(2767.0, 2180.0)",69.642
"(1702.0, 749.0)","(1721.0, 816.0)",69.642
"(822.0, 646.0)","(842.0, 713.0)",69.921
"(3250.0, 105.0)","(3269.0, 173.0)",70.605
"(1843.0, 2435.0)","(1781.0, 2469.0)",70.711
"(1440.0, 872.0)","(1489.0, 821.0)",70.725
"(800.0, 656.0)","(842.0, 713.0)",70.803
"(3105.0, 2570.0)","(3169.0, 2602.0)",71.554
"(144.0, 521.0)","(74.0, 506.0)",71.589
"(1421.0, 1273.0)","(1358.0, 1238.0)",72.069
"(2265.0, 2659.0)","(2335.0, 2678.0)",72.533
"(3385.0, 2184.0)","(3452.0, 2156.0)",72.615
"(1807.0, 3182.0)","(1864.0, 3228.0)",73.246
"(786.0, 1450.0)","(852.0, 1483.0)",73.79
"(2536.0, 823.0)","(2478.0, 869.0)",74.027
"(2664.0, 1892.0)","(2602.0, 1933.0)",74.33
"(2811.0, 3381.0)","(2738.0, 3366.0)",74.525
"(3523.0, 134.0)","(3570.0, 76.0)",74.653
"(3011.0, 541.0)","(3027.0, 614.0)",74.733
"(2185.0, 3091.0)","(2154.0, 3159.0)",74.733
"(1043.0, 263.0)","(981.0, 221.0)",74.887
"(2891.0, 1963.0)","(2867.0, 2034.0)",74.947
"(3290.0, 2533.0)","(3252.0, 2598.0)",75.293
"(3330.0, 3671.0)","(3405.0, 3663.0)",75.425
"(3542.0, 284.0)","(3467.0, 292.0)",75.425
"(629.0, 1112.0)","(688.0, 1065.0)",75.432
"(1546.0, 2120.0)","(1620.0, 2105.0)",75.505
"(3190.0, 985.0)","(3137.0, 931.0)",75.664
"(1336.0, 519.0)","(1275.0, 473.0)",76.4
"(1913.0, 1725.0)","(1861.0, 1781.0)",76.42
"(2985.0, 3332.0)","(2936.0, 3273.0)",76.694
"(151.0, 501.0)","(74.0, 506.0)",77.162
"(2696.0, 1890.0)","(2772.0, 1876.0)",77.279
"(1103.0, 158.0)","(1026.0, 168.0)",77.647
"(3307.0, 2530.0)","(3363.0, 2476.0)",77.795
"(2549.0, 1990.0)","(2602.0, 1933.0)",77.833
"(3019.0, 519.0)","(3097.0, 522.0)",78.058
"(173.0, 554.0)","(150.0, 629.0)",78.447
"(1283.0, 985.0)","(1249.0, 1056.0)",78.721
"(1751.0, 469.0)","(1708.0, 403.0)",78.772
"(1417.0, 3320.0)","(1495.0, 3308.0)",78.918
"(1836.0, 3154.0)","(1864.0, 3228.0)",79.12
"(3004.0, 3314.0)","(2936.0, 3273.0)",79.404
"(1209.0, 2444.0)","(1207.0, 2364.0)",80.025
"(2702.0, 1667.0)","(2696.0, 1747.0)",80.225
"(925.0, 650.0)","(1002.0, 673.0)",80.362
"(1735.0, 244.0)","(1801.0, 198.0)",80.449
"(265.0, 1801.0)","(310.0, 1868.0)",80.709
"(1870.0, 2462.0)","(1930.0, 2408.0)",80.722
"(1099.0, 133.0)","(1026.0, 168.0)",80.957
"(1603.0, 1447.0)","(1595.0, 1366.0)",81.394
"(781.0, 659.0)","(842.0, 713.0)",81.468
"(2703.0, 1832.0)","(2772.0, 1876.0)",81.835
"(2531.0, 3719.0)","(2566.0, 3793.0)",81.86
"(2110.0, 1578.0)","(2082.0, 1655.0)",81.933
"(3182.0, 3509.0)","(3100.0, 3507.0)",82.024
"(2005.0, 2701.0)","(2078.0, 2739.0)",82.298
"(2079.0, 3125.0)","(2154.0, 3159.0)",82.347
"(2519.0, 1933.0)","(2602.0, 1933.0)",83.0
"(293.0, 1774.0)","(354.0, 1832.0)",84.172
"(2221.0, 2853.0)","(2182.0, 2778.0)",84.534
"(3124.0, 758.0)","(3139.0, 842.0)",85.329
"(1875.0, 346.0)","(1795.0, 376.0)",85.44
"(1093.0, 1272.0)","(1032.0, 1332.0)",85.563
"(2839.0, 2115.0)","(2867.0, 2034.0)",85.703
"(3508.0, 2508.0)","(3536.0, 2427.0)",85.703
"(1055.0, 87.0)","(1026.0, 168.0)",86.035
"(3322.0, 3686.0)","(3405.0, 3663.0)",86.128
