og_coord,starfish_coord,dist
"(2726, 2491)","(2727.0, 2494.0)",3.162
"(567, 1721)","(572.0, 1721.0)",5.0
"(2214, 334)","(2210.0, 331.0)",5.0
"(2461, 3420)","(2462.0, 3425.0)",5.099
"(971, 31)","(966.0, 28.0)",5.831
"(917, 1393)","(923.0, 1395.0)",6.325
"(453, 571)","(451.0, 563.0)",8.246
"(774, 227)","(768.0, 221.0)",8.485
"(2015, 942)","(2011.0, 934.0)",8.944
"(756, 1468)","(763.0, 1474.0)",9.22
"(1797, 1351)","(1805.0, 1346.0)",9.434
"(1970, 1593)","(1968.0, 1604.0)",11.18
"(2441, 726)","(2446.0, 716.0)",11.18
"(130, 1846)","(142.0, 1848.0)",12.166
"(3780, 1654)","(3779.0, 1667.0)",13.038
"(1541, 952)","(1541.0, 966.0)",14.0
"(513, 1750)","(515.0, 1734.0)",16.125
"(3017, 1169)","(3033.0, 1166.0)",16.279
"(1431, 2167)","(1423.0, 2182.0)",17.0
"(3180, 492)","(3163.0, 493.0)",17.029
"(3177, 1043)","(3192.0, 1052.0)",17.493
"(1003, 770)","(987.0, 761.0)",18.358
"(2618, 859)","(2632.0, 846.0)",19.105
"(1761, 537)","(1741.0, 540.0)",20.224
"(1094, 1375)","(1107.0, 1391.0)",20.616
"(811, 1472)","(810.0, 1493.0)",21.024
"(1876, 126)","(1896.0, 119.0)",21.19
"(2689, 822)","(2692.0, 801.0)",21.213
"(2889, 3453)","(2877.0, 3472.0)",22.472
"(2155, 565)","(2171.0, 581.0)",22.627
"(1872, 2745)","(1854.0, 2760.0)",23.431
"(1939, 1135)","(1956.0, 1152.0)",24.042
"(1970, 1633)","(1995.0, 1629.0)",25.318
"(2984, 472)","(3010.0, 469.0)",26.173
"(3216, 3497)","(3225.0, 3472.0)",26.571
"(635, 3092)","(635.0, 3119.0)",27.0
"(2325, 1725)","(2331.0, 1698.0)",27.659
"(3728, 91)","(3749.0, 73.0)",27.659
"(1094, 985)","(1121.0, 994.0)",28.46
"(1580, 2982)","(1552.0, 2988.0)",28.636
"(2243, 636)","(2218.0, 622.0)",28.653
"(2355, 482)","(2371.0, 458.0)",28.844
"(536, 3415)","(506.0, 3413.0)",30.067
"(3483, 3312)","(3467.0, 3286.0)",30.529
"(3152, 1963)","(3134.0, 1938.0)",30.806
"(2608, 2492)","(2639.0, 2491.0)",31.016
"(1893, 3102)","(1918.0, 3124.0)",33.302
"(1897, 1576)","(1898.0, 1610.0)",34.015
"(86, 518)","(120.0, 521.0)",34.132
"(1531, 3624)","(1533.0, 3589.0)",35.057
"(2776, 2986)","(2786.0, 3020.0)",35.44
"(2155, 655)","(2122.0, 642.0)",35.468
"(1345, 880)","(1329.0, 912.0)",35.777
"(876, 1517)","(909.0, 1531.0)",35.847
"(1192, 1325)","(1189.0, 1361.0)",36.125
"(2824, 133)","(2857.0, 118.0)",36.249
"(2005, 1403)","(2033.0, 1427.0)",36.878
"(1134, 1101)","(1141.0, 1138.0)",37.656
"(1333, 132)","(1298.0, 118.0)",37.696
"(2227, 2798)","(2195.0, 2778.0)",37.736
"(335, 2110)","(340.0, 2148.0)",38.328
"(415, 579)","(451.0, 563.0)",39.395
"(2312, 2748)","(2333.0, 2714.0)",39.962
"(3462, 214)","(3489.0, 244.0)",40.361
"(3220, 2284)","(3203.0, 2321.0)",40.719
"(2541, 3113)","(2542.0, 3072.0)",41.012
"(144, 1977)","(180.0, 1997.0)",41.183
"(2679, 1999)","(2700.0, 2035.0)",41.677
"(2637, 3043)","(2606.0, 3071.0)",41.773
"(481, 1975)","(448.0, 1949.0)",42.012
"(2059, 1484)","(2050.0, 1526.0)",42.953
"(3049, 389)","(3033.0, 429.0)",43.081
"(3143, 2136)","(3100.0, 2130.0)",43.417
"(2242, 1264)","(2253.0, 1222.0)",43.417
"(1649, 3125)","(1641.0, 3082.0)",43.738
"(2317, 2892)","(2276.0, 2908.0)",44.011
"(1825, 1607)","(1785.0, 1626.0)",44.283
"(1502, 944)","(1541.0, 966.0)",44.777
"(574, 1160)","(617.0, 1147.0)",44.922
"(2346, 1765)","(2319.0, 1801.0)",45.0
"(2931, 636)","(2908.0, 675.0)",45.277
"(852, 1920)","(894.0, 1903.0)",45.31
"(2444, 2026)","(2480.0, 1998.0)",45.607
"(287, 3585)","(250.0, 3612.0)",45.804
"(339, 429)","(372.0, 461.0)",45.967
"(1153, 1253)","(1191.0, 1227.0)",46.043
"(593, 2258)","(569.0, 2218.0)",46.648
"(2771, 2445)","(2740.0, 2410.0)",46.755
"(2744, 2361)","(2734.0, 2315.0)",47.074
"(1645, 320)","(1639.0, 273.0)",47.381
"(3789, 118)","(3756.0, 84.0)",47.381
"(3190, 48)","(3206.0, 93.0)",47.76
"(219, 593)","(176.0, 614.0)",47.854
"(1653, 3018)","(1632.0, 2975.0)",47.854
"(1389, 3361)","(1344.0, 3378.0)",48.104
"(479, 1702)","(515.0, 1734.0)",48.166
"(1063, 2166)","(1041.0, 2123.0)",48.301
"(1896, 1699)","(1937.0, 1673.0)",48.549
"(951, 136)","(986.0, 170.0)",48.795
"(1844, 2192)","(1872.0, 2152.0)",48.826
"(1759, 1422)","(1735.0, 1379.0)",49.244
"(3302, 2332)","(3318.0, 2285.0)",49.649
"(1261, 3435)","(1301.0, 3405.0)",50.0
"(3312, 1303)","(3323.0, 1352.0)",50.22
"(3324, 1301)","(3323.0, 1352.0)",51.01
"(2994, 3830)","(2996.0, 3779.0)",51.039
"(3495, 1402)","(3544.0, 1417.0)",51.245
"(871, 1488)","(856.0, 1439.0)",51.245
"(2488, 3839)","(2537.0, 3824.0)",51.245
"(2211, 279)","(2210.0, 331.0)",52.01
"(2013, 882)","(2011.0, 934.0)",52.038
"(3702, 2611)","(3706.0, 2663.0)",52.154
"(1126, 261)","(1175.0, 243.0)",52.202
"(1670, 1337)","(1652.0, 1288.0)",52.202
"(2936, 3553)","(2900.0, 3515.0)",52.345
"(149, 1900)","(142.0, 1848.0)",52.469
"(3601, 2343)","(3560.0, 2309.0)",53.263
"(74, 3506)","(75.0, 3560.0)",54.009
"(1043, 2602)","(992.0, 2584.0)",54.083
"(685, 199)","(735.0, 220.0)",54.231
"(3125, 3264)","(3137.0, 3317.0)",54.342
"(1549, 211)","(1593.0, 179.0)",54.406
"(1470, 3181)","(1440.0, 3227.0)",54.918
"(130, 3558)","(75.0, 3560.0)",55.036
"(2814, 1400)","(2759.0, 1403.0)",55.082
"(2735, 727)","(2680.0, 724.0)",55.082
"(3068, 910)","(3053.0, 857.0)",55.082
"(911, 714)","(898.0, 660.0)",55.543
"(2142, 513)","(2127.0, 459.0)",56.045
"(1205, 430)","(1149.0, 433.0)",56.08
"(3335, 2377)","(3357.0, 2325.0)",56.462
"(409, 1990)","(448.0, 1949.0)",56.586
"(1950, 2586)","(1983.0, 2632.0)",56.613
"(1740, 857)","(1778.0, 815.0)",56.639
"(420, 492)","(372.0, 461.0)",57.14
"(1026, 1941)","(1083.0, 1950.0)",57.706
"(1618, 37)","(1645.0, 88.0)",57.706
"(2899, 3180)","(2954.0, 3162.0)",57.871
"(2978, 3295)","(2921.0, 3285.0)",57.871
"(920, 1776)","(951.0, 1825.0)",57.983
"(1737, 1042)","(1686.0, 1070.0)",58.181
"(1692, 1128)","(1686.0, 1070.0)",58.31
"(3588, 105)","(3611.0, 159.0)",58.694
"(1586, 1191)","(1630.0, 1230.0)",58.796
"(3108, 1885)","(3134.0, 1938.0)",59.034
"(2488, 3478)","(2462.0, 3425.0)",59.034
"(3259, 2340)","(3203.0, 2321.0)",59.135
"(1226, 3260)","(1167.0, 3266.0)",59.304
"(2596, 1038)","(2564.0, 988.0)",59.363
"(305, 2100)","(340.0, 2148.0)",59.405
"(1046, 2558)","(992.0, 2584.0)",59.933
"(1465, 2139)","(1423.0, 2182.0)",60.108
"(3080, 2958)","(3064.0, 2900.0)",60.166
"(396, 3554)","(436.0, 3599.0)",60.208
"(2679, 2290)","(2734.0, 2315.0)",60.415
"(1337, 3567)","(1285.0, 3536.0)",60.539
"(1908, 2323)","(1898.0, 2263.0)",60.828
"(2730, 1689)","(2685.0, 1730.0)",60.877
"(3037, 2367)","(3083.0, 2327.0)",60.959
"(1857, 166)","(1896.0, 119.0)",61.074
"(3145, 2300)","(3203.0, 2321.0)",61.685
"(117, 2446)","(134.0, 2385.0)",63.325
"(1370, 2147)","(1423.0, 2182.0)",63.514
"(164, 2441)","(134.0, 2385.0)",63.53
"(2684, 292)","(2680.0, 356.0)",64.125
"(1362, 123)","(1298.0, 118.0)",64.195
"(1191, 2154)","(1129.0, 2173.0)",64.846
"(1530, 3491)","(1588.0, 3520.0)",64.846
"(2581, 3380)","(2542.0, 3432.0)",65.0
"(1984, 2774)","(1935.0, 2817.0)",65.192
"(785, 1723)","(802.0, 1660.0)",65.253
"(382, 3637)","(436.0, 3599.0)",66.03
"(779, 584)","(715.0, 567.0)",66.219
"(746, 2053)","(706.0, 2000.0)",66.4
"(3059, 3733)","(3117.0, 3766.0)",66.731
"(2099, 1173)","(2154.0, 1134.0)",67.424
"(1913, 309)","(1979.0, 294.0)",67.683
"(2860, 3406)","(2877.0, 3472.0)",68.154
"(474, 3011)","(532.0, 2975.0)",68.264
"(3078, 1769)","(3024.0, 1727.0)",68.411
"(458, 2914)","(411.0, 2864.0)",68.622
"(3572, 2624)","(3509.0, 2595.0)",69.354
"(2561, 819)","(2533.0, 883.0)",69.857
"(3780, 195)","(3711.0, 183.0)",70.036
"(1715, 92)","(1645.0, 88.0)",70.114
"(3289, 1131)","(3254.0, 1070.0)",70.328
"(1741, 1789)","(1719.0, 1722.0)",70.52
"(1820, 1564)","(1785.0, 1626.0)",71.197
"(3290, 3690)","(3318.0, 3756.0)",71.694
"(2883, 3172)","(2954.0, 3162.0)",71.701
"(3080, 1084)","(3149.0, 1104.0)",71.84
"(1990, 365)","(1979.0, 294.0)",71.847
"(821, 3608)","(819.0, 3536.0)",72.028
"(3634, 3183)","(3651.0, 3113.0)",72.035
"(2157, 1273)","(2207.0, 1221.0)",72.139
"(2013, 476)","(1976.0, 538.0)",72.201
"(1017, 3285)","(1089.0, 3276.0)",72.56
"(1013, 1971)","(1083.0, 1950.0)",73.082
"(592, 1078)","(617.0, 1147.0)",73.389
"(598, 3603)","(578.0, 3532.0)",73.763
"(3094, 1876)","(3134.0, 1938.0)",73.783
"(378, 552)","(451.0, 563.0)",73.824
"(510, 3591)","(436.0, 3599.0)",74.431
"(1514, 3216)","(1440.0, 3227.0)",74.813
"(2478, 978)","(2553.0, 976.0)",75.027
"(2801, 279)","(2757.0, 218.0)",75.213
"(709, 1531)","(784.0, 1539.0)",75.425
"(1842, 3125)","(1918.0, 3124.0)",76.007
"(179, 3640)","(250.0, 3612.0)",76.322
"(168, 690)","(176.0, 614.0)",76.42
"(2743, 3800)","(2676.0, 3763.0)",76.538
"(2749, 1976)","(2700.0, 2035.0)",76.694
"(2614, 1527)","(2566.0, 1587.0)",76.837
"(2726, 870)","(2692.0, 801.0)",76.922
"(381, 1859)","(456.0, 1879.0)",77.621
"(888, 737)","(898.0, 660.0)",77.647
"(2627, 1677)","(2685.0, 1730.0)",78.568
"(3319, 152)","(3242.0, 169.0)",78.854
"(1836, 1561)","(1898.0, 1610.0)",79.025
"(2387, 856)","(2309.0, 843.0)",79.076
"(1390, 2254)","(1423.0, 2182.0)",79.202
"(430, 407)","(372.0, 461.0)",79.246
"(2050, 439)","(2127.0, 459.0)",79.555
