og_coord,starfish_coord,dist
"(1416.36, 1094.016)","(1418.0, 1086.0)",8.182
"(1403.928, 1073.592)","(1418.0, 1086.0)",18.761
"(1401.264, 1094.904)","(1418.0, 1086.0)",18.957
"(7238.088, 7387.272)","(7238.0, 7363.0)",24.272
"(1408.368, 1056.72)","(1418.0, 1086.0)",30.824
"(3885.888, 3348.648)","(3909.0, 3306.0)",48.508
"(3126.648, 3599.952)","(3132.0, 3551.0)",49.244
"(4795.2, 4505.712)","(4850.0, 4479.0)",60.964
"(3145.296, 3623.928)","(3132.0, 3551.0)",74.13
"(3093.792, 3615.936)","(3132.0, 3551.0)",75.343
"(3922.296, 5215.224)","(3995.0, 5193.0)",76.025
"(6141.408, 5685.864)","(6182.0, 5751.0)",76.749
"(5629.032, 5827.056)","(5673.0, 5762.0)",78.52
"(7237.2, 7281.6)","(7238.0, 7363.0)",81.404
"(3147.072, 3638.136)","(3132.0, 3551.0)",88.43
"(4331.664, 4347.648)","(4421.0, 4363.0)",90.645
"(6715.056, 6052.608)","(6823.0, 6056.0)",107.997
"(4308.576, 4352.976)","(4421.0, 4363.0)",112.87
"(6713.28, 6199.128)","(6788.0, 6290.0)",117.647
"(6938.832, 6080.136)","(6823.0, 6056.0)",118.32
"(4305.912, 4331.664)","(4421.0, 4363.0)",119.278
"(6943.272, 6067.704)","(6823.0, 6056.0)",120.84
"(6238.2, 6623.592)","(6324.0, 6530.0)",126.969
"(5160.168, 4963.92)","(5279.0, 5016.0)",129.743
"(6722.16, 6176.04)","(6788.0, 6290.0)",131.612
"(3863.688, 3440.112)","(3909.0, 3306.0)",141.56
"(5139.744, 4990.56)","(5279.0, 5016.0)",141.561
"(5245.416, 5310.24)","(5376.0, 5254.0)",142.18
"(4187.808, 4779.216)","(4034.0, 4784.0)",153.882
"(6588.072, 5962.032)","(6594.0, 5806.0)",156.145
"(5128.2, 4966.584)","(5279.0, 5016.0)",158.69
"(6198.24, 6628.032)","(6324.0, 6530.0)",159.455
"(5119.32, 4979.904)","(5279.0, 5016.0)",163.709
"(8095.896, 7325.112)","(8148.0, 7169.0)",164.578
"(4715.28, 5350.2)","(4832.0, 5232.0)",166.117
"(3852.144, 3462.312)","(3909.0, 3306.0)",166.331
"(4755.24, 5380.392)","(4832.0, 5232.0)",167.07
"(4081.248, 4085.688)","(4204.0, 3971.0)",167.992
"(6577.416, 5979.792)","(6594.0, 5806.0)",174.581
"(6551.664, 5976.24)","(6594.0, 5806.0)",175.425
"(3009.432, 2172.048)","(3182.0, 2124.0)",179.132
"(5214.336, 5338.656)","(5349.0, 5460.0)",181.27
"(3866.352, 3502.272)","(4001.0, 3378.0)",183.231
"(3908.088, 3958.704)","(4035.0, 3823.0)",185.802
"(2996.112, 2148.96)","(3182.0, 2124.0)",187.556
"(3927.624, 3979.128)","(4035.0, 3823.0)",189.488
"(4335.216, 4193.136)","(4421.0, 4363.0)",190.296
"(5185.032, 5280.936)","(5376.0, 5254.0)",192.858
"(6650.232, 6724.824)","(6449.0, 6703.0)",202.412
"(3921.408, 3991.56)","(4035.0, 3823.0)",203.262
"(2848.704, 2978.352)","(2803.0, 2775.0)",208.425
"(4668.216, 5100.672)","(4832.0, 5232.0)",209.934
"(5172.6, 5310.24)","(5376.0, 5254.0)",211.032
"(4331.664, 4164.72)","(4421.0, 4363.0)",217.476
"(3060.936, 1942.056)","(3182.0, 2124.0)",218.541
"(3919.632, 4009.32)","(4035.0, 3823.0)",219.146
"(4662.0, 5089.128)","(4832.0, 5232.0)",222.064
"(3769.56, 3591.96)","(3654.0, 3401.0)",223.204
"(3889.44, 3993.336)","(4035.0, 3823.0)",224.058
"(4993.224, 5758.68)","(5207.0, 5682.0)",227.112
"(6673.32, 6740.808)","(6449.0, 6703.0)",227.484
"(4677.096, 5065.152)","(4832.0, 5232.0)",227.67
"(2213.784, 1030.08)","(2060.0, 856.0)",232.279
"(4407.144, 4847.592)","(4400.0, 5087.0)",239.515
"(3044.064, 1924.296)","(3182.0, 2124.0)",242.71
"(5065.152, 5329.776)","(4832.0, 5232.0)",252.824
"(2233.32, 1040.736)","(2060.0, 856.0)",253.312
"(2746.584, 2391.384)","(2976.0, 2502.0)",254.691
"(7890.768, 7040.064)","(7710.0, 6853.0)",260.135
"(5106.0, 5352.864)","(5349.0, 5460.0)",265.569
"(5067.816, 5359.08)","(4832.0, 5232.0)",267.878
"(7787.76, 7112.88)","(7710.0, 6853.0)",271.264
"(4953.264, 5779.104)","(5207.0, 5682.0)",271.682
"(2419.8, 2242.2)","(2197.0, 2041.0)",300.202
"(2690.64, 2381.616)","(2976.0, 2502.0)",309.714
"(2411.808, 2272.392)","(2197.0, 2041.0)",315.729
"(2804.304, 3115.992)","(2576.0, 2878.0)",329.792
"(2529.912, 2037.072)","(2197.0, 2041.0)",332.935
"(2682.648, 1458.096)","(2423.0, 1230.0)",345.608
"(2559.216, 2013.096)","(2197.0, 2041.0)",363.289
"(2710.176, 2140.08)","(2976.0, 2502.0)",449.053
